dict	suspect	suggestion	status	cls_confidence	opus_confirm_reason	opus_review	review_fp_type	opus_review_reason
SHS	nyaNkuBUrUha	nyaNkuBUruha	BOTH_RUNS	high	Body etym: '{#nyaNku#} a deer, and {#BUruha#} a tree' - short u in the same entry; MW headword is nyaNkuBUruha.	fileable	none	L22657: 'E. nyaNku a deer, and BUruha a tree'; SHS lemma BUruha (L29712) has short u. Headword long U unsupported.
SHS	pAniyavarRikA	pAnIyavarRikA	BOTH_RUNS	high	f. (-kA) 'Sand. pAnIyamiva varRavati-varRi-Rvul' — the entry's own Skt gloss spells pAnIya- with long I; MW/PW/PWG/AP/VCP/SKD/LRV: pAnIyavarRikA.	fileable	none	Body gloss reads 'pAnIyamiva varRavati'; neighbours pAnIyamUlaka, pAnIyaSAlikA. Dropped length in headword only.
SHS	paNKagrAha	paNkagrAha	BOTH_RUNS	high	Body: 'The makara... E. {#paNka#} mud, and {#grAha#} a shark.' Etym has paNka (k), SHS headword paNka exists, no paNKa. MW: paNkagrAha.	fileable	none	L22753 'E. paNka mud, and grAha a shark'; WIL L22768 paNkagrAha, same gloss; flanked by paNkagati/paNkaja.
SHS	padazwIva	padazWIva	BOTH_RUNS	high	Body etym: '{#pad#} a foot, and {#azWIvat#} the knee' - W in the same entry; MW has padazWIva.	fileable	none	L23126: 'E. pad a foot, and azWIvat the knee' - etymon spelt with W; headword zw contradicts it. 'deriv. irr.' covers only the vowel, not the aspirate.
SHS	pitfrupa	pitfrUpa	BOTH_RUNS	high	'm. (-paH) An epithet of SIVA' - no etym, no variant note; 'rupa' is no word, rUpa 'form' is the only reading.	fileable	none	L24873 'epithet of SIVA' = MW/PW pitfrUpa 'N. of a Rudra'; no derivation, but 'rupa' is no stem; INM/LRV/VCP/PWG agree.
SHS	pratipaTan	pratipaTam	BOTH_RUNS	medium	Full body: 'Ind. Along the road.' Avyayibhava in -am; no spelling note. MW: pratipaTam (prati-paTam) 'along the road'.	fileable	none	'Ind. Along the road' -- avyayIBAva adverb; SHS's own parallel utpaTam and 130 -am adverb headwords; MW pratipaTam.
SHS	pratyupaveza	pratyupaveSa	BOTH_RUNS	medium	'm. Besetting any one in order to bring him to compliance.' No etym/variant note; MW has praty-upaveSa (root viS) with the same gloss.	fileable	none	'm. Besetting any one to bring him to compliance' < prati-upa-viS; SHS's own upaveSa, praveSa keep S; MW pratyupaveSa.
SHS	purUzadantikA	puruzadantikA	BOTH_RUNS	high	'f. A medicinal root; see medA' - no etym/variant; neighbours puruzadaDna, puruzadvayasa gloss puruza with short u.	fileable	none	L25353 'A medicinal root; see medA' identical to WIL L25131 puruzadantikA; PW/PWG/VCP/SKD/YAT all puruza-.
SHS	saptAtitama	saptatitama	BOTH_RUNS	high	Body: 'The seventieth'; immediately preceded by headword saptati 'Seventy' (all short) - ordinal is saptatitama, the long A is a scan error.	fileable	none	'mfn. The seventieth' - ordinal of saptati (preceding entry glosses 'many seventies'); MW saptatitama; saptAti is not a word.
SHS	svarRabalkala	svarRavalkala	BOTH_RUNS	high	'A plant (Bignonia Indica.) E. {#svarRa#} gold, {#valkala#} bark.' Etym itself spells valkala; SHS has <k1>valkala<. MW: svarRavalkala.	fileable	none	Entry's own E. reads '{#valkala#} bark'; alphabetized between svarRavarRA and svarRavindu (v slot); SHS headword valkala.
SHS	vAcanIka	vAcanika	BOTH_RUNS	high	Body: 'Verbal. 2. Textual. E. vacana and Wak aff.' - Wak yields vrddhi + short -ika, i.e. vAcanika; cf. neighbour vAcanaka.	fileable	none	L35747: 'mfn. (-kaH-kI-kaM) Verbal. E. vacana and Wak aff.' Wak yields -ika everywhere in SHS (aDamarRika etc.); long I unsupported.
SHS	vArttayana	vArttAyana	BOTH_RUNS	high	m. (-naH) 'A spy, an emissary. E. vArttA news, ayana going' — A+a=A sandhi; wil/MW/MW72/PW/VCP/LRV: vArttAyana.	fileable	none	Etym 'vArttA news, ayana going' (A+a=A); alphabetically between vArttAku and vArttAramBa, i.e. vArttA-yana.
SHS	viSamaSIla	vizamaSIla	BOTH_RUNS	high	'1. Uneven. 2. Uneasy. E. {#vizama, SIla#} having.' Etym and neighbours (vizamaSizwa, vizamasAhasa) use vizama. MW: vizamaSIla.	fileable	none	Entry's own E. reads '{#vizama, SIla#}'; sits between vizamaSizwa and vizamasAhasa (z slot); MW vizamaSIla.
SHS	jAmbabat	jAmbavat	RUN1_ONLY_LLM_VARIANCE					
SHS	kARqapfzwa	kARqapfzWa	RUN1_ONLY_SETTLED_MISSING					
SHS	maYjarinamra	maYjarInamra	RUN1_ONLY_LLM_VARIANCE					
SHS	natyuha	natyUha	RUN1_ONLY_LLM_VARIANCE					
SHS	zuh	suh	RUN1_ONLY_LLM_VARIANCE					
YAT	AkASabartman	AkASavartman	NET_NEW	high	YAT L4332: '(rtma) 5. n. Firmament' = AkASavartman (MW L22142); stem (rtma) itself shows vartman; no v.l.	fileable	none	L4332 '{#AkASa-bartman#} 5. n. Firmament' - plain definition, no marker; 'bartman' unattested, MW has AkASavartman; sits before AkASavallI
YAT	BImabikrama	BImavikrama	NET_NEW	high	L28117 '{#BIma-bikrama#} {%a.%} Gigantic.' - no v.l./w.r.; sorted between BImaraTI and BImavikrAnta, i.e. in the v-slot => vikrama.	fileable	none	L28117 'a. Gigantic' - plain def, no apparatus; next entries BImavikrAnta/BImavigraha spell vi-; MW has BImavikrama, no 'bikrama'
YAT	BawwArakabAra	BawwArakavAra	NET_NEW	high	L27690 '{#BawwAraka-bAra#} 1. {%n.%} Sunday.' - Sunday = BawwAraka-vAra (Lord's day); bare gloss, no variant marker or cross-ref.	fileable	none	L27690 '1. n. Sunday' = bhattaraka-vAra (day); no marker/xref; MW has BawwArakavAra; 'bAra' unattested
YAT	BrAtfbala	BrAtfvala	NET_NEW	medium	YAT L28501: 'a. Having a brother' = BrAtfvala (MW L153729); next entry BrAtfmat 'Idem'; no v.l. marker.	fileable	none	Gloss 'Having a brother' requires the possessive suffix -vala; WIL L28989 and MW L153729 both read BrAtfvala, YAT alone has b.
YAT	Gftabara	Gftavara	NET_NEW	high	L13959 '{#Gfta-bara#} 1. {%m.%} A sweetmeat.' - placed after Gfta-lolIkfta and before Gfta-vikrayin, i.e. v-slot => Gfta-vara; no marker.	fileable	none	L13959 '1. m. A sweetmeat' matches MW Gftavara = Gftapura; sorted between GftalolIkfta (la) and Gftavikrayin (va), i.e. the va- slot
YAT	aBizizenayizu	aBizizeRayizu	NET_NEW	high	L2143 '{#aBi-zizenayizu#} {%a.%} Desirous of sending forth an army.' - YAT's own L2148 aBi-zeRana has retroflex R; dental n here is a bare slip.	fileable	none	L2143 'a. Desirous of sending forth an army' = MW aBizizeRayizu 'desirous of marching against'; nati requires R after z; no marker
YAT	aDyabasAyin	aDyavasAyin	NET_NEW	high	L933 'a. Persevering, resolute, determined' directly follows L932 aDya_vasAya 'Perseverance' spelled with v; MW aDyavasAyin.	fileable	none	L933 sits right after aDyavasAya (L932) and before aDyaSana — the va-slot; a ba-headword would sort earlier
YAT	advEzwf	advezwf	NET_NEW	high	L793 '{#a-dvEzwf#} 4. {%m.%} A friend.' - a-dvezwf 'non-hater'; sorted BEFORE a-dvEta, so short e, not E; no variant marker.	fileable	none	L793 '(zwA) 4. m. A friend' = MW advezwf 'not an enemy, a friend'; placed between advitIya and advEta, the e- slot, not ai-
YAT	apekzabudDi	apekzAbudDi	NET_NEW	medium	L1872 'f. Clearness of understanding, or perception' = MW apekzAbudDi 'clearness of understanding'; placed after apekzA, before apekzita (A-order).	fileable	none	L1872 sits after apekzA (L1871), before apekzita; short-a form would belong with apekzaka/apekzaRIya before apekzA
YAT	araRyabAsa	araRyavAsa	NET_NEW	high	L2598 '{#araRya-bAsa#} 1. {%m.%} Hermitage.' - sits between araRya-vAyasa and araRya-vAsin, i.e. exactly the vAsa slot; no marker.	fileable	none	L2598 '1. m. Hermitage'; sorted between araRyavAyasa and araRyavAsin, exactly the vAsa slot; MW araRyavAsa; no apparatus note
YAT	avedabid	avedavid	NET_NEW	high	L3515 '{#a-vedabid#} 5. {%m.%} Brahman not knowing the vedas.' - gloss is literally a-veda-vid; no v.l./w.r./cross-ref.	fileable	none	L3515 '5. m. Brahman not knowing the vedas' = a-veda-vid; MW has avedavid; 'bid' unattested; plain def, no marker
YAT	darSanapratiBAvya	darSanaprAtiBAvya	NET_NEW	high	L18104 'n. Bail.' follows darSanapratiBU 'a bail or surety'; MW has prAtiBAvya (bail) and no pratiBAvya. No variant note.	fileable	none	L18104 follows darSanapratiBU; prati- < prAti- ordering fits, and gloss 'Bail' = prAtiBAvya (suretyship)
YAT	dfQavanDinI	dfQabanDinI	NET_NEW	high	L18990 '{#dfQa-vanDinI#} 3. {%f.%} A creeper.' - sorted before dfQa-Bakti (b-slot) => banDinI; neighbour dfQa-vadDa shows same b/v slip.	fileable	none	L18990 '3. f. A creeper'; sorted between dfQavadDa and dfQaBakti, i.e. the ba- slot (ba<Ba); MW dfQabanDinI; no marker
YAT	dibodBava	divodBava	NET_NEW	high	L18493 '{#dibodBava#} {%a.%} Born or produced in heaven.' - sorted between divodAsa and divOkas => divodBava; no marker.	fileable	none	L18493 'a. Born or produced in heaven' = divodBava; immediately precedes divOkas (o before O), the divo- slot; MW has divodBava
YAT	dinavala	dinabala	NET_NEW	medium	L18443 '{#dina-vala#} 1. {%m.%} A name of certain signs in the zodiac.' - sorted between dina-praRI and dina-maRi, i.e. b-slot => dinabala.	fileable	none	L18443 '1. m. A name of certain signs in the zodiac' = MW dinabala 'N. of the 5th-8th, 11th, 12th signs'; sorted dinapraRI < X < dinamaRi (pa<ba<ma)
YAT	garhyabAdin	garhyavAdin	NET_NEW	high	L12822 '{#garhya-bAdin#} {%a.%} Speaking ill, vilely or inaccurately.' - 'speaking' = -vAdin; bAdin is no word; no variant marker.	fileable	none	L12822 'a. Speaking ill, vilely or inaccurately' = garhya-vAdin; MW has garhyavAdin; 'bAdin' unattested; plain def, no marker
YAT	gfhavali	gfhabali	NET_NEW	high	Body: 'Offering of the remains of food to spirits, birds' = gfhabali (MW gfha-bali); next entry gfhabalipriya uses b.	fileable	none	L13305 sorts between gfhapotaka and gfhabalipriya (L13306, b-form); 'Offering ... to spirits' = gfha-bali
YAT	iBayubati	iBayuvati	NET_NEW	high	L5754 '{#iBa-yubati#} 2. {%f.%} Elephant's cub.' - feminine gloss = iBa-yuvati (young female); yubati unattested; no marker.	fileable	none	L5754 '2. f. Elephant's cub' matches MW iBayuvati 'an elephant's cub' verbatim; 'yubati' unattested; no apparatus/xref
YAT	indrasAbarRi	indrasAvarRi	NET_NEW	high	L5714 '{#indra-sAbarRi#} 2. {%m.%} Last Menu.' - the Manu name is sAvarRi; bare definition, no v.l./w.r./cross-ref.	fileable	none	L5714 '2. m. Last Menu' = Indra-sAvarRi, the last Manu; MW indrasAvarRi; 'sAbarRi' unattested; plain def
