# H453 blind second annotation, 10-07-2026. Annotator B = Opus 4.8 (claude-opus-4-8),
# 10 parallel general-purpose agents, fresh prompt, evidence = irr_inputs.tsv rows only
# (dict, wrong, right, wrong_entry_text, right_entry_text) -- NO access to the original
# verdicts, notes, prompts, or tier labels. Inputs built by detectors/irr_build_inputs.py;
# agreement computed by detectors/irr_agreement.py. Label set: PASS | SCAN-FIRST |
# EDITORIAL | DNF | DROP (same five-way taxonomy as file_first_verified.tsv).
row_id	a2_label	a2_reason
053	SCAN-FIRST	lakzmIPala fits the fruit semantically, but body spells pala; English gloss does not spell Pala.
054	SCAN-FIRST	Gloss 'illusion; Durga' points to mAyA, but that is semantic inference; body spells mayA, no SLP1 spelling proof.
055	EDITORIAL	Corrected mAyA-vin exists as its own separate entry (m. a juggler); duplicate/collision merge decision.
056	SCAN-FIRST	pAradfSvan fits 'long-sighted', but body and inflection consistently show z; only semantic support.
057	SCAN-FIRST	pAnIya 'water' fits 'trough for watering', but body spells pARIya; gloss does not spell the member.
058	SCAN-FIRST	PAlguna is dental-n by name, but body says only 'Idem' with retroflex inflection; nothing in body proves it.
059	PASS	Inflection (zwaH-zwA-zwaM) shows zwa, matching corrected vizwa, not the headword's vizWa.
060	EDITORIAL	Corrected prati-zidDa exists as its own separate entry (forbidden, prohibited, unlawful); duplicate/collision merge decision.
061	EDITORIAL	Separate saNgati entry exists with own body, both numbered f.; duplicate/split, merge decision not simple fix
062	SCAN-FIRST	vESizwya plausibly correct but body gives no etymology proving W vs w; no separate entry, check page
063	EDITORIAL	Separate vizWABU entry duplicates same definition 'Born in filth'; collision requiring merge, not plain correction
064	SCAN-FIRST	Body itself restates zazWi spelling; no etymology decides w vs W; no separate entry, verify scan
065	EDITORIAL	Full separate EtareyabrAhmaRa entry exists; v/b catalogue variants both with bodies, editorial merge
066	EDITORIAL	Separate QuRQi entry with multiple bodies exists; collides with QuRqi as catalogue variants, merge decision
067	EDITORIAL	Full separate SAkawAyana entry exists though body spells SAkawAyana; catalogue collision, editorial merge
068	EDITORIAL	Separate SAkawAyanasmfti entry with own body exists; both spellings collide as catalogue variants
069	EDITORIAL	Full separate SatapaTabrAhmaRa entry exists; v/b catalogue variants each with bodies, editorial merge
070	EDITORIAL	Separate SrAvaRa entry exists with own body; collision as catalogue variants, merge decision
071	EDITORIAL	Separate bfhannArAyaRa entry with cross-reference exists; both spellings collide, editorial resolution needed
072	EDITORIAL	Multiple separate dakziRAmUrti entries exist with own bodies; catalogue collision requiring merge, not simple fix
073	EDITORIAL	Corrected gAyatrIBAzya exists as separate entry with own body; collapsing the s/z typo is a merge decision.
074	EDITORIAL	Full separate vistara entry already exists; vistAra/vistara duplicate requires editorial merge, not simple respell.
075	EDITORIAL	kAWaka entry exists separately with extensive body; w/W duplicate is an editorial merge.
076	EDITORIAL	Correct mahAnArAyaRa entry exists separately; nAraya/nArAya duplicate needs editorial merge.
077	EDITORIAL	mEtrAyaRIya entry exists separately with variants; e/E duplicate is an editorial merge decision.
078	EDITORIAL	paramArTasAra entries (Lbody link) exist separately; parA/para duplicate requires editorial merge.
079	EDITORIAL	rAsayAtrAviveka entry exists separately (same work); yAtra/yAtrA duplicate is an editorial merge.
080	EDITORIAL	rUpa gosvAmin entries exist separately; rupa/rUpa duplicate of same author needs editorial merge.
081	EDITORIAL	sAttvikabrahma entry exists separately; v/b duplicate of same work requires editorial merge.
082	EDITORIAL	saMnyAsaviDi entry exists separately with own body; nyasa/nyAsa duplicate is an editorial merge.
083	EDITORIAL	viSvarUpanibanDa entry exists separately (same Purana part); v/b duplicate requires editorial merge.
084	EDITORIAL	vivekacUqAmaRi entry exists separately with multiple sub-bodies; I/i duplicate is an editorial merge.
085	EDITORIAL	Both zadarTasaMkzepa and zaqarTasaMkzepa exist as separate catalogue entries with own bodies; merge/respell is editorial.
086	EDITORIAL	Both headwords exist as separate kavya catalogue entries with distinct bodies; resolving is an editorial merge decision.
087	PASS	Etymology (BAva + ba) spells the second element as ba(nDana), proving BAvabanDana; no rival entry.
088	SCAN-FIRST	Etymology abbreviation Da does not disambiguate b/v; gloss 'white/bright' only semantically hints Davala. Check scan.
089	EDITORIAL	Separate arTabanDa entry already exists with own body; body quote supports respell but collision needs editorial merge.
090	EDITORIAL	Separate avakASa homonym entry exists with full body; typo entry collides, requiring editorial merge not simple respell.
091	SCAN-FIRST	Etymology names desiderative formation; ruki grammar implies zu but body doesn't spell biBedayizu. Verify scan.
092	EDITORIAL	Separate divAkIrtya homonym entry exists; wrong entry's own etymology spells divA, but collision is editorial merge.
093	EDITORIAL	Separate duzWu errata/apparatus entry exists alongside duzwu; both headwords present, editorial apparatus resolution needed.
094	EDITORIAL	Separate paRabanDa entry exists with own body; etymology ba supports respell but collision is editorial merge.
095	EDITORIAL	Separate pfzwabanDu entry exists with etymology and RV citation; both headwords collide, editorial merge required.
096	EDITORIAL	Separate tArAvalI entry exists with own body; body quote spells tArAvalI but collision needs editorial merge.
097	SCAN-FIRST	Marked f. suggests feminine -A, but inline lemma tfzitottara keeps -a; body silent on ending, need scan.
098	PASS	Etymology root muz and cross-ref izwimuz decisively show retroflex; dental -s is the error, -z correct.
099	PASS	Gloss 'banyan tree' (=vawa, short a) and in-text 'ArunDatIvawa' confirm short a; long vAwa is typo.
100	PASS	Body repeatedly spells aSvaSiras (aSva=horse), citation aSvaSiro; display AsvaSiras is the error.
101	PASS	Body 'king of BalIhas' and citation balIhAnAm show long I; display Baliha short i is typo.
102	PASS	Citation brahmopanizadaM shows z; upanizad always retroflex; display Brahmopanisad (s) is error.
103	PASS	All citations dakziRApaTa- have retroflex R (dakziRa=south); display with dental n is typo.
104	PASS	Body 'the KIkawas' and citation kIkawAwavIn show long I; display Kikawa short i is error.
105	PASS	Body 'went to MAkandI' and citation mAkandIm show long I; display MAkandi short i is typo.
106	PASS	nadI (river) always long I; citations mahAnadI and homonyms confirm; short i is typo.
107	EDITORIAL	Body confirms long I, but Supratika collides with existing SupratIka homonyms; respell needs renumbering decision.
108	PASS	Citations vESAKam/vESAKe show S; month VESAKa; display with dental s is error.
109	EDITORIAL	Separate full BawwAraka entry exists alongside the short-a typo entry; a merge decision, not a plain respell.
110	SCAN-FIRST	Body 'a degree of latitude' gives no Sanskrit spelling; aMSa is plausible but body not decisive.
111	EDITORIAL	Separate kat-tfRa cross-reference entry exists next to kattfna; both headwords present, editorial merge.
112	EDITORIAL	Separate prati-voQavya cross-reference entry exists alongside prativoDavya; collision needs editorial resolution.
113	PASS	Etymology '(hitAnAM AvalI yatra)' spells AvalI, decisively fixing the b/v typo.
114	PASS	Etymology 'BAsate iti . BAsa + ac' spells BAsa, proving BAzA is the error.
115	PASS	Etymology 'BAsate iti . BAsa + ac' spells BAsa, decisively correcting BAzA to BAsA.
116	PASS	Inflection {-maH} and etymology 'druma a tree' spell druma, fixing druna.
117	PASS	Inflection {-vAn} and variant jAmbuvat confirm v, proving jAmbabat is the typo.
118	PASS	Inflection {-qyaM} spells qya, decisively correcting kaNkalodya to kaNkaloqya.
119	EDITORIAL	Separate full BagaRa entry exists; Bagama duplicates its zodiac-cycle sense, an editorial merge.
120	EDITORIAL	Separate hEmana entries exist; hemana cross-refs them, collision needs editorial handling.
121	EDITORIAL	Separate cAmIkara (neut, gold) entry exists beside camIkara (masc, place); merge is an editorial call.
122	PASS	Etymology 'E. a neg. and prAkaraRika' and example spell prAkaraRika, fixing aprakaraRika.
