# VCP tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
346	vrahmaloka -> brahmaloka	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmapurohita -> brahmapurohita	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmaranDra -> brahmaranDra	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmasUtra -> brahmasUtra	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmasaras -> brahmasaras	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmasuvarcalA -> brahmasuvarcalA	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmatIrTa -> brahmatIrTa	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmatva -> brahmatva	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmavfkza -> brahmavfkza	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmayajYa -> brahmayajYa	[consensus,intra_dup,spell_correct]	morph✓
346	vrahmizWa -> brahmizWa	[consensus,intra_dup,spell_correct]	morph✓
346	zAmba -> sAmba	[consensus,intra_dup,spell_correct]	morph✓
345	durhaRa -> durhaRA	[consensus,intra_dup,spell_correct]	morph✓
344	aBiSrava -> aBiSrAva	[consensus,intra_dup,spell_correct]	morph✓
344	badarapacana -> badarapAcana	[consensus,intra_dup,spell_correct]	morph✓
344	elAvAlu -> elavAlu	[consensus,intra_dup,spell_correct]	morph✓
342	trowI -> trowi	[consensus,intra_dup,spell_correct]	morph✓
341	AmAtIsAra -> AmAtisAra	[consensus,intra_dup,spell_correct]	morph✓
341	rASikfta -> rASIkfta	[consensus,intra_dup,spell_correct]	morph✓
341	rudantIkA -> rudantikA	[consensus,intra_dup,spell_correct]	morph✓
339	sutanU -> sutanu	[consensus,intra_dup,spell_correct]	morph✓
338	candrasUra -> candraSUra	[consensus,intra_dup,spell_correct]	morph✓
338	uqUpati -> uqupati	[consensus,intra_dup,spell_correct]	morph✓
337	BadravalA -> BadrabalA	[consensus,intra_dup,spell_correct]	morph✓
337	aBiDipsu -> aBidipsu	[consensus,intra_dup,spell_correct]	morph✓
337	vfhatpuzpI -> bfhatpuzpI	[consensus,intra_dup,spell_correct]	morph✓
336	gosAti -> gozAti	[consensus,intra_dup,spell_correct]	morph✓
336	jAtikoza -> jAtikoSa	[consensus,intra_dup,spell_correct]	morph✓
336	suraRadI -> suranadI	[consensus,intra_dup,spell_correct]	morph✓
336	udvAhu -> udbAhu	[consensus,intra_dup,spell_correct]	morph✓
336	vARaliNga -> bARaliNga	[consensus,intra_dup,spell_correct]	morph✓
336	vadarikASrama -> badarikASrama	[consensus,intra_dup,spell_correct]	morph✓
336	vahuDAra -> bahuDAra	[consensus,intra_dup,spell_correct]	morph✓
336	vahuPala -> bahuPala	[consensus,intra_dup,spell_correct]	morph✓
336	vahuSalya -> bahuSalya	[consensus,intra_dup,spell_correct]	morph✓
336	vahuganDa -> bahuganDa	[consensus,intra_dup,spell_correct]	morph✓
336	vahukaRwaka -> bahukaRwaka	[consensus,intra_dup,spell_correct]	morph✓
336	vahukarRikA -> bahukarRikA	[consensus,intra_dup,spell_correct]	morph✓
336	vahumaYjarI -> bahumaYjarI	[consensus,intra_dup,spell_correct]	morph✓
336	vahupattra -> bahupattra	[consensus,intra_dup,spell_correct]	morph✓
336	vahupraja -> bahupraja	[consensus,intra_dup,spell_correct]	morph✓
336	vahuputra -> bahuputra	[consensus,intra_dup,spell_correct]	morph✓
336	vahusAra -> bahusAra	[consensus,intra_dup,spell_correct]	morph✓
336	vahuvalka -> bahuvalka	[consensus,intra_dup,spell_correct]	morph✓
336	vfhacCravas -> bfhacCravas	[consensus,intra_dup,spell_correct]	morph✓
336	vfhadDanus -> bfhadDanus	[consensus,intra_dup,spell_correct]	morph✓
336	vfhadbrahman -> bfhadbrahman	[consensus,intra_dup,spell_correct]	morph✓
336	vfhaddyumna -> bfhaddyumna	[consensus,intra_dup,spell_correct]	morph✓
336	vfhadukTa -> bfhadukTa	[consensus,intra_dup,spell_correct]	morph✓
336	vfhatkaTA -> bfhatkaTA	[consensus,intra_dup,spell_correct]	morph✓
336	vfhatsena -> bfhatsena	[consensus,intra_dup,spell_correct]	morph✓
336	vrAhmaRabruva -> brAhmaRabruva	[consensus,intra_dup,spell_correct]	morph✓
336	vrAhmaRaka -> brAhmaRaka	[consensus,intra_dup,spell_correct]	morph✓
336	vrAhmaRapriya -> brAhmaRapriya	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmAYjali -> brahmAYjali	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmAnanda -> brahmAnanda	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmApeta -> brahmApeta	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmAraRya -> brahmAraRya	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmArpaRa -> brahmArpaRa	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmAsana -> brahmAsana	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmI -> brahmI	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmadAru -> brahmadAru	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmadarBA -> brahmadarBA	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmagarBa -> brahmagarBa	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmagiri -> brahmagiri	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmagranTi -> brahmagranTi	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmajawA -> brahmajawA	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmakuRqa -> brahmakuRqa	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmapAdapa -> brahmapAdapa	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmapurARa -> brahmapurARa	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmapura -> brahmapura	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmaputra -> brahmaputra	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmarAta -> brahmarAta	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmarIti -> brahmarIti	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmasTAna -> brahmasTAna	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmasU -> brahmasU	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmasadana -> brahmasadana	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmasteya -> brahmasteya	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmatuNga -> brahmatuNga	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmaveda -> brahmaveda	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmavidyA -> brahmavidyA	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmavrata -> brahmavrata	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmayAmala -> brahmayAmala	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmayoni -> brahmayoni	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmodya -> brahmodya	[consensus,intra_dup,spell_correct]	morph✓
336	vrahmojJa -> brahmojJa	[consensus,intra_dup,spell_correct]	morph✓
334	nAndiGoza -> nandiGoza	[consensus,intra_dup,spell_correct]	morph✓
331	DaraRIja -> DaraRija	[consensus,intra_dup,spell_correct]	morph✓
327	vfhaka -> bfhaka	[consensus,intra_dup,spell_correct]	morph✓
326	SiNGAna -> SiNGARa	[consensus,intra_dup,spell_correct]	morph✓
326	kozakft -> koSakft	[consensus,intra_dup,spell_correct]	morph✓
326	kozasTa -> koSasTa	[consensus,intra_dup,spell_correct]	morph✓
326	kozavAsin -> koSavAsin	[consensus,intra_dup,spell_correct]	morph✓
326	maNKu -> maNku	[consensus,intra_dup,spell_correct]	morph✓
326	vEbaDika -> vEvaDika	[consensus,intra_dup,spell_correct]	morph✓
326	vahuSiKA -> bahuSiKA	[consensus,intra_dup,spell_correct]	morph✓
326	vahudugDa -> bahudugDa	[consensus,intra_dup,spell_correct]	morph✓
326	vahukaRwA -> bahukaRwA	[consensus,intra_dup,spell_correct]	morph✓
326	vahukanda -> bahukanda	[consensus,intra_dup,spell_correct]	morph✓
326	vahulIkfta -> bahulIkfta	[consensus,intra_dup,spell_correct]	morph✓
326	vahulacCada -> bahulacCada	[consensus,intra_dup,spell_correct]	morph✓
326	vahumala -> bahumala	[consensus,intra_dup,spell_correct]	morph✓
326	vahupAda -> bahupAda	[consensus,intra_dup,spell_correct]	morph✓
326	vahuparRa -> bahuparRa	[consensus,intra_dup,spell_correct]	morph✓
326	vahupuzpa -> bahupuzpa	[consensus,intra_dup,spell_correct]	morph✓
326	vahusutA -> bahusutA	[consensus,intra_dup,spell_correct]	morph✓
326	vahutvac -> bahutvac	[consensus,intra_dup,spell_correct]	morph✓
326	vfhadambAlikA -> bfhadambAlikA	[consensus,intra_dup,spell_correct]	morph✓
326	vfhadrUpa -> bfhadrUpa	[consensus,intra_dup,spell_correct]	morph✓
326	vfhatketu -> bfhatketu	[consensus,intra_dup,spell_correct]	morph✓
326	vfhatpArevata -> bfhatpArevata	[consensus,intra_dup,spell_correct]	morph✓
326	vrAhmaRacARqAla -> brAhmaRacARqAla	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmAdanI -> brahmAdanI	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmAhuti -> brahmAhuti	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmaBUmijA -> brahmaBUmijA	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmaSAlA -> brahmaSAlA	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmabindu -> brahmabindu	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmaparRI -> brahmaparRI	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmapavitra -> brahmapavitra	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmasaMhitA -> brahmasaMhitA	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmasatI -> brahmasatI	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmavAda -> brahmavAda	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmavid -> brahmavid	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmeSaya -> brahmeSaya	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmodumbara -> brahmodumbara	[consensus,intra_dup,spell_correct]	morph✓
326	vrahmottara -> brahmottara	[consensus,intra_dup,spell_correct]	morph✓
325	pUrvavAh -> pUrvavah	[consensus,intra_dup,spell_correct]	morph✓
324	nfpasaBA -> nfpasaBa	[consensus,intra_dup,spell_correct]	morph✓
322	cilamilikA -> cilamIlikA	[consensus,intra_dup,spell_correct]	morph✓
321	dalasUcI -> dalasUci	[consensus,intra_dup,spell_correct]	morph✓
321	durmallIkA -> durmallikA	[consensus,intra_dup,spell_correct]	morph✓
321	marIcapattraka -> maricapattraka	[consensus,intra_dup,spell_correct]	morph✓
321	nagarOzaDI -> nagarOzaDi	[consensus,intra_dup,spell_correct]	morph✓
321	parIyoga -> pariyoga	[consensus,intra_dup,spell_correct]	morph✓
321	pratibanDI -> pratibanDi	[consensus,intra_dup,spell_correct]	morph✓
321	rAjIPalA -> rAjiPalA	[consensus,intra_dup,spell_correct]	morph✓
321	vahupAd -> bahupAd	[consensus,intra_dup,spell_correct]	
321	vrahmasAvarRi -> brahmasAvarRi	[consensus,intra_dup,spell_correct]	
318	dAsaPalI -> dASaPalI	[consensus,intra_dup,spell_correct]	morph✓
318	kASUtarI -> kAsUtarI	[consensus,intra_dup,spell_correct]	morph✓
318	kAmAvaSAyitA -> kAmAvasAyitA	[consensus,intra_dup,spell_correct]	morph✓
318	kAsUkAra -> kASUkAra	[consensus,intra_dup,spell_correct]	morph✓
318	maDUlagna -> maDulagna	[consensus,intra_dup,spell_correct]	morph✓
317	akzEtrajYa -> akzetrajYa	[consensus,intra_dup,spell_correct]	morph✓
317	gAnDinIsuta -> gAndinIsuta	[consensus,intra_dup,spell_correct]	morph✓
317	meKalAdrijA -> mekalAdrijA	[consensus,intra_dup,spell_correct]	morph✓
317	parARasA -> parAnasA	[consensus,intra_dup,spell_correct]	morph✓
317	vfhajjIvantI -> bfhajjIvantI	[consensus,intra_dup,spell_correct]	morph✓
316	cAnUrasUdana -> cARUrasUdana	[consensus,intra_dup,spell_correct]	morph✓
316	duHsupta -> duHzupta	[consensus,intra_dup,spell_correct]	morph✓
316	kOzIDAnya -> kOSIDAnya	[consensus,intra_dup,spell_correct]	morph✓
316	kfzRavalakza -> kfzRabalakza	[consensus,intra_dup,spell_correct]	morph✓
316	kozANga -> koSANga	[consensus,intra_dup,spell_correct]	morph✓
316	kozAgAra -> koSAgAra	[consensus,intra_dup,spell_correct]	morph✓
316	kozaskft -> koSaskft	[consensus,intra_dup,spell_correct]	morph✓
316	kozilA -> koSilA	[consensus,intra_dup,spell_correct]	morph✓
316	kuvrahma -> kubrahma	[consensus,intra_dup,spell_correct]	morph✓
316	netrABisyanda -> netrABizyanda	[consensus,intra_dup,spell_correct]	morph✓
316	vadarAmalaka -> badarAmalaka	[consensus,intra_dup,spell_correct]	morph✓
316	vadarIcCadA -> badarIcCadA	[consensus,intra_dup,spell_correct]	morph✓
316	vahuSAla -> bahuSAla	[consensus,intra_dup,spell_correct]	morph✓
316	vahugranTi -> bahugranTi	[consensus,intra_dup,spell_correct]	morph✓
316	vahuroman -> bahuroman	[consensus,intra_dup,spell_correct]	morph✓
316	vahusUti -> bahusUti	[consensus,intra_dup,spell_correct]	morph✓
316	vahutra -> bahutra	[consensus,intra_dup,spell_correct]	morph✓
316	vahutvakka -> bahutvakka	[consensus,intra_dup,spell_correct]	morph✓
316	vahvfc -> bahvfc	[consensus,intra_dup,spell_correct]	morph✓
316	vfhadBaya -> bfhadBaya	[consensus,intra_dup,spell_correct]	morph✓
316	vfhadagni -> bfhadagni	[consensus,intra_dup,spell_correct]	morph✓
316	vfhaddarBa -> bfhaddarBa	[consensus,intra_dup,spell_correct]	morph✓
316	vfhadrAja -> bfhadrAja	[consensus,intra_dup,spell_correct]	morph✓
316	vfhadraRa -> bfhadraRa	[consensus,intra_dup,spell_correct]	morph✓
316	vfhadukza -> bfhadukza	[consensus,intra_dup,spell_correct]	morph✓
316	vfhajjAtaka -> bfhajjAtaka	[consensus,intra_dup,spell_correct]	morph✓
316	vfhaspatistoma -> bfhaspatistoma	[consensus,intra_dup,spell_correct]	morph✓
316	vfhatsaMhitA -> bfhatsaMhitA	[consensus,intra_dup,spell_correct]	morph✓
316	vrAhmIkanda -> brAhmIkanda	[consensus,intra_dup,spell_correct]	morph✓
316	vrAhmaRAyana -> brAhmaRAyana	[consensus,intra_dup,spell_correct]	morph✓
316	vrAhmaRajAtIya -> brAhmaRajAtIya	[consensus,intra_dup,spell_correct]	morph✓
316	vrAhmaRajIvikA -> brAhmaRajIvikA	[consensus,intra_dup,spell_correct]	morph✓
316	vrAhmaRayajYa -> brAhmaRayajYa	[consensus,intra_dup,spell_correct]	morph✓
316	vrAhmaRika -> brAhmaRika	[consensus,intra_dup,spell_correct]	morph✓
316	vrAhmaka -> brAhmaka	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmAtmaBU -> brahmAtmaBU	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmaBAga -> brahmaBAga	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmaBUti -> brahmaBUti	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmaBUya -> brahmaBUya	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmaBadrA -> brahmaBadrA	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmaGAtaka -> brahmaGAtaka	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmaGna -> brahmaGna	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmaSAsana -> brahmaSAsana	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmaSalya -> brahmaSalya	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmabruvARa -> brahmabruvARa	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmacakra -> brahmacakra	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmadAya -> brahmadAya	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmada -> brahmada	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmadviz -> brahmadviz	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmagArgya -> brahmagArgya	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmagItA -> brahmagItA	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmahan -> brahmahan	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmajIvin -> brahmajIvin	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmajYAna -> brahmajYAna	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmajYa -> brahmajYa	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmaja -> brahmaja	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmakUwa -> brahmakUwa	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmakarmasamADi -> brahmakarmasamADi	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmakft -> brahmakft	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmakfta -> brahmakfta	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmamImAMsA -> brahmamImAMsA	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmamaRqUkI -> brahmamaRqUkI	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmamaha -> brahmamaha	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmamaya -> brahmamaya	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmamitra -> brahmamitra	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmanAla -> brahmanAla	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmanirvARa -> brahmanirvARa	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmaprasUta -> brahmaprasUta	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmapuruza -> brahmapuruza	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmarAtra -> brahmarAtra	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmarzideSa -> brahmarzideSa	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmasArzwitA -> brahmasArzwitA	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmasAyujya -> brahmasAyujya	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmasUnu -> brahmasUnu	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmasaMSita -> brahmasaMSita	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmasamBava -> brahmasamBava	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmasarpa -> brahmasarpa	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmasidDAnta -> brahmasidDAnta	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmasuta -> brahmasuta	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmasva -> brahmasva	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmavAdin -> brahmavAdin	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmavAluka -> brahmavAluka	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmavAwIya -> brahmavAwIya	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmavedi -> brahmavedi	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmavedin -> brahmavedin	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmavftti -> brahmavftti	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmayazwi -> brahmayazwi	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmayoga -> brahmayoga	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmayuga -> brahmayuga	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmin -> brahmin	[consensus,intra_dup,spell_correct]	morph✓
316	vrahmopanizad -> brahmopanizad	[consensus,intra_dup,spell_correct]	morph✓
306	kraTakESIka -> kraTakESika	[consensus,intra_dup,spell_correct]	
306	netrOzaDi -> netrOzaDI	[consensus,intra_dup,spell_correct]	
303	SAlvahan -> sAlvahan	[consensus,intra_dup,spell_correct]	
303	kukUda -> kukuda	[consensus,intra_dup,spell_correct]	
303	kusIraka -> kuSIraka	[consensus,intra_dup,spell_correct]	
303	pAMsupatra -> pAMSupatra	[consensus,intra_dup,spell_correct]	
303	sUrmma -> SUrmma	[consensus,intra_dup,spell_correct]	
303	vfhatkAsa -> vfhatkASa	[consensus,intra_dup,spell_correct]	
303	vikaSita -> vikasita	[consensus,intra_dup,spell_correct]	
301	PeRikA -> PenikA	[consensus,intra_dup,spell_correct]	
301	vahuvIja -> bahuvIja	[consensus,intra_dup,spell_correct]	
301	vfhadgarBa -> bfhadgarBa	[consensus,intra_dup,spell_correct]	
301	vrahmajAmala -> brahmajAmala	[consensus,intra_dup,spell_correct]	
301	vrahmasAt -> brahmasAt	[consensus,intra_dup,spell_correct]	
270	zarva -> sarva	[dict_vs_corpus,spell_correct]	morph✓
266	Amanda -> Ananda	[consensus,intra_dup]	morph✓
266	Biza -> viza	[consensus,intra_dup]	morph✓
266	sarba -> sarva	[consensus,intra_dup]	morph✓
264	Asta -> asta	[consensus,intra_dup]	morph✓
264	anAha -> AnAha	[consensus,intra_dup]	morph✓
264	aprAptA -> aprApta	[consensus,intra_dup]	morph✓
264	arhA -> arha	[consensus,intra_dup]	morph✓
264	icCa -> icCA	[consensus,intra_dup]	morph✓
262	arsas -> arSas	[dict_vs_corpus,spell_correct]	morph✓
262	parasvaDa -> paraSvaDa	[dict_vs_corpus,spell_correct]	morph✓
261	kIyat -> kiyat	[consensus,intra_dup]	morph✓
261	kliba -> klIba	[consensus,intra_dup]	morph✓
260	hanU -> hanu	[dict_vs_corpus,spell_correct]	morph✓
258	sawI -> satI	[dict_vs_corpus,spell_correct]	morph✓
257	arizWa -> arizwa	[consensus,intra_dup]	morph✓
256	araTi -> arati	[consensus,intra_dup]	morph✓
256	lawA -> latA	[consensus,intra_dup]	morph✓
256	tuSa -> tuza	[consensus,intra_dup]	morph✓
255	aSaNkA -> ASaNkA	[consensus,intra_dup]	morph✓
255	agrayaRa -> AgrayaRa	[consensus,intra_dup]	morph✓
255	camIkara -> cAmIkara	[consensus,intra_dup]	morph✓
255	gostanA -> gostana	[consensus,intra_dup]	morph✓
255	harivAt -> harivat	[consensus,intra_dup]	morph✓
255	puYjikAsTalA -> puYjikasTalA	[consensus,intra_dup]	morph✓
254	ASizwa -> aSizwa	[consensus,intra_dup]	morph✓
254	ASmaka -> aSmaka	[consensus,intra_dup]	morph✓
254	ApIqA -> ApIqa	[consensus,intra_dup]	morph✓
254	ira -> irA	[consensus,intra_dup]	morph✓
254	nIrAja -> nIraja	[consensus,intra_dup]	morph✓
252	aBIlApa -> aBilApa	[consensus,intra_dup]	morph✓
251	IlA -> ilA	[consensus,intra_dup]	morph✓
251	kulIka -> kulika	[consensus,intra_dup]	morph✓
249	pisaNga -> piSaNga	[consensus,intra_dup]	morph✓
249	sUrpaRaKA -> SUrpaRaKA	[consensus,intra_dup]	morph✓
249	sikya -> Sikya	[consensus,intra_dup]	morph✓
249	urja -> Urja	[consensus,intra_dup]	morph✓
247	agnimaT -> agnimat	[consensus,intra_dup]	morph✓
