# PW tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
261	saMDI -> saMDi	[consensus,intra_dup]	morph✓
261	sumatI -> sumati	[consensus,intra_dup]	morph✓
258	Buri -> BUri	[consensus,intra_dup]	morph✓
258	aSi -> asi	[consensus,intra_dup]	morph✓
257	utseda -> utseDa	[consensus,intra_dup]	morph✓
256	kran -> kram	[consensus,intra_dup]	morph✓
256	matI -> mati	[consensus,intra_dup]	
256	nahas -> mahas	[consensus,intra_dup]	morph✓
255	Ajeya -> ajeya	[consensus,intra_dup]	morph✓
255	Asaha -> asaha	[consensus,intra_dup]	morph✓
255	Svapaka -> SvapAka	[consensus,intra_dup]	morph✓
255	aSaNkA -> ASaNkA	[consensus,intra_dup]	morph✓
255	ajEkapad -> ajEkapAd	[consensus,intra_dup]	morph✓
255	antarAgni -> antaragni	[consensus,intra_dup]	morph✓
255	arhata -> Arhata	[consensus,intra_dup]	morph✓
255	balasa -> balAsa	[consensus,intra_dup]	morph✓
255	cakraDAra -> cakraDara	[consensus,intra_dup]	morph✓
255	candramasa -> cAndramasa	[consensus,intra_dup]	morph✓
255	kAnyAkubja -> kAnyakubja	[consensus,intra_dup]	morph✓
255	kArawaka -> karawaka	[consensus,intra_dup]	morph✓
255	kalaya -> kalAya	[consensus,intra_dup]	morph✓
255	likza -> likzA	[consensus,intra_dup]	morph✓
255	nIrajana -> nIrAjana	[consensus,intra_dup]	morph✓
255	nirvaha -> nirvAha	[consensus,intra_dup]	morph✓
255	pAlASaka -> palASaka	[consensus,intra_dup]	morph✓
255	paradArika -> pAradArika	[consensus,intra_dup]	morph✓
255	prAgalBa -> pragalBa	[consensus,intra_dup]	morph✓
255	qambAra -> qambara	[consensus,intra_dup]	morph✓
255	sArUpa -> sarUpa	[consensus,intra_dup]	morph✓
255	vIpsa -> vIpsA	[consensus,intra_dup]	morph✓
255	valmIki -> vAlmIki	[consensus,intra_dup]	morph✓
254	Anumati -> anumati	[consensus,intra_dup]	morph✓
254	Savaka -> SAvaka	[consensus,intra_dup]	morph✓
254	hrAs -> hras	[consensus,intra_dup]	morph✓
254	nizpattrA -> nizpattra	[consensus,intra_dup]	morph✓
254	praR -> prAR	[consensus,intra_dup]	morph✓
254	udayAna -> udayana	[consensus,intra_dup]	morph✓
254	upAstaraRa -> upastaraRa	[consensus,intra_dup]	morph✓
254	upayana -> upAyana	[consensus,intra_dup]	morph✓
254	vamaka -> vAmaka	[consensus,intra_dup]	morph✓
253	hetU -> hetu	[consensus,intra_dup]	
252	ASirvAda -> ASIrvAda	[consensus,intra_dup]	morph✓
252	tAmraparRi -> tAmraparRI	[consensus,intra_dup]	morph✓
252	tuvI -> tuvi	[consensus,intra_dup]	morph✓
251	SitI -> Siti	[consensus,intra_dup]	morph✓
251	pariDI -> pariDi	[consensus,intra_dup]	morph✓
251	praRiDI -> praRiDi	[consensus,intra_dup]	morph✓
251	pratiniDI -> pratiniDi	[consensus,intra_dup]	morph✓
251	raktI -> rakti	[consensus,intra_dup]	morph✓
251	unnatI -> unnati	[consensus,intra_dup]	morph✓
249	SinIvAlI -> sinIvAlI	[consensus,intra_dup]	morph✓
249	devayU -> devayu	[consensus,intra_dup]	morph✓
249	prUz -> pruz	[consensus,intra_dup]	morph✓
248	kuwAra -> kuWAra	[consensus,intra_dup]	morph✓
248	viBraMsa -> viBraMSa	[consensus,intra_dup]	morph✓
248	vimarDa -> vimarda	[consensus,intra_dup]	morph✓
247	BetAla -> vetAla	[consensus,intra_dup]	morph✓
247	BuzuRqi -> BuSuRqi	[consensus,intra_dup]	morph✓
247	SUrpanaKA -> SUrpaRaKA	[consensus,intra_dup]	morph✓
247	Saravana -> SaravaRa	[consensus,intra_dup]	morph✓
247	Sazya -> Sasya	[consensus,intra_dup]	morph✓
247	aBijYeya -> avijYeya	[consensus,intra_dup]	morph✓
247	binda -> vinda	[consensus,intra_dup]	morph✓
247	duHzparSa -> duHsparSa	[consensus,intra_dup]	morph✓
247	gokaRWaka -> gokaRwaka	[consensus,intra_dup]	morph✓
247	grAmIna -> grAmIRa	[consensus,intra_dup]	morph✓
247	hemavata -> hEmavata	[consensus,intra_dup]	morph✓
247	kuwuka -> kutuka	[consensus,intra_dup]	morph✓
247	prANgana -> prANgaRa	[consensus,intra_dup]	morph✓
247	prahAna -> prahARa	[consensus,intra_dup]	morph✓
247	vetAna -> vEtAna	[consensus,intra_dup]	morph✓
247	viskamBa -> vizkamBa	[consensus,intra_dup]	morph✓
246	KAliya -> kAliya	[consensus,intra_dup]	morph✓
246	avaRa -> avama	[consensus,intra_dup]	morph✓
246	aviBUti -> aBiBUti	[consensus,intra_dup]	morph✓
246	avyutTAna -> aByutTAna	[consensus,intra_dup]	morph✓
246	druhina -> druhiRa	[consensus,intra_dup]	morph✓
246	niryAna -> niryARa	[consensus,intra_dup]	morph✓
246	pAralokika -> pAralOkika	[consensus,intra_dup]	morph✓
246	pramApana -> pramApaRa	[consensus,intra_dup]	morph✓
246	raz -> ras	[consensus,intra_dup]	morph✓
246	samfdDI -> samfdDi	[consensus,intra_dup]	
246	upAyama -> upAyana	[consensus,intra_dup]	morph✓
245	ASItika -> aSItika	[consensus,intra_dup]	morph✓
245	Atapas -> atapas	[consensus,intra_dup]	morph✓
245	SakawAyana -> SAkawAyana	[consensus,intra_dup]	morph✓
245	aSleza -> aSlezA	[consensus,intra_dup]	morph✓
245	anuhrada -> anuhrAda	[consensus,intra_dup]	morph✓
245	aviSrAma -> aviSrama	[consensus,intra_dup]	morph✓
245	awwawwahAsa -> awwAwwahAsa	[consensus,intra_dup]	morph✓
245	kArtra -> kartra	[consensus,intra_dup]	morph✓
245	kftaSrAma -> kftaSrama	[consensus,intra_dup]	morph✓
245	kikira -> kikirA	[consensus,intra_dup]	morph✓
245	mAhizikA -> mAhizika	[consensus,intra_dup]	morph✓
245	magaDaka -> mAgaDaka	[consensus,intra_dup]	morph✓
245	nizWana -> nizWAna	[consensus,intra_dup]	morph✓
245	prAjvalana -> prajvalana	[consensus,intra_dup]	morph✓
245	sOkArya -> sOkarya	[consensus,intra_dup]	morph✓
245	upasAda -> upasada	[consensus,intra_dup]	morph✓
245	varzarAtra -> varzArAtra	[consensus,intra_dup]	morph✓
245	vfzaRASva -> vfzaRaSva	[consensus,intra_dup]	morph✓
245	vyapayana -> vyapayAna	[consensus,intra_dup]	morph✓
245	wAMkara -> wAMkAra	[consensus,intra_dup]	morph✓
245	yapya -> yApya	[consensus,intra_dup]	morph✓
244	SAntvay -> sAntvay	[dict_vs_corpus,intra_dup]	
244	nizkulA -> nizkula	[consensus,intra_dup]	morph✓
244	paraBUti -> parABUti	[consensus,intra_dup]	morph✓
244	pariRAyana -> pariRayana	[consensus,intra_dup]	morph✓
244	parimARya -> pArimARya	[consensus,intra_dup]	morph✓
244	skAndapurARa -> skandapurARa	[consensus,intra_dup]	morph✓
244	udaravezwa -> udarAvezwa	[consensus,intra_dup]	morph✓
244	vihAvya -> vihavya	[consensus,intra_dup]	morph✓
242	avIkzit -> avikzit	[consensus,intra_dup]	morph✓
242	cIvillikA -> civillikA	[consensus,intra_dup]	morph✓
242	devakinandana -> devakInandana	[consensus,intra_dup]	morph✓
242	padI -> padi	[consensus,intra_dup]	morph✓
241	kartarIkA -> kartarikA	[consensus,intra_dup]	morph✓
241	kfzRAzwami -> kfzRAzwamI	[consensus,intra_dup]	morph✓
241	parImoza -> parimoza	[consensus,intra_dup]	morph✓
241	punaruktI -> punarukti	[consensus,intra_dup]	morph✓
241	rAmagirI -> rAmagiri	[consensus,intra_dup]	morph✓
241	rohiRIkA -> rohiRikA	[consensus,intra_dup]	morph✓
241	sUcIpattraka -> sUcipattraka	[consensus,intra_dup]	morph✓
241	triMSatI -> triMSati	[consensus,intra_dup]	morph✓
241	upacitI -> upaciti	[consensus,intra_dup]	morph✓
241	vitardI -> vitardi	[consensus,intra_dup]	morph✓
241	viviktI -> vivikti	[consensus,intra_dup]	morph✓
240	Apeya -> apeya	[consensus,intra_dup]	
240	BagaDeya -> BAgaDeya	[consensus,intra_dup]	
240	KARqaka -> KaRqaka	[consensus,intra_dup]	
240	aGay -> aGAy	[consensus,intra_dup]	
240	arAlu -> aralu	[consensus,intra_dup]	
240	azwakapAla -> azwAkapAla	[consensus,intra_dup]	
240	caRqika -> caRqikA	[consensus,intra_dup]	
240	carATa -> caraTa	[consensus,intra_dup]	
240	dAtta -> datta	[consensus,intra_dup]	
240	hAhava -> hahava	[consensus,intra_dup]	
240	jAlapada -> jAlapAda	[consensus,intra_dup]	
240	kuSikA -> kuSika	[consensus,intra_dup]	
240	lUta -> lUtA	[consensus,intra_dup]	
240	mahasena -> mahAsena	[consensus,intra_dup]	
240	pARitAla -> pARitala	[consensus,intra_dup]	
240	panaka -> pAnaka	[consensus,intra_dup]	
240	pfzAta -> pfzata	[consensus,intra_dup]	
240	rozARa -> rozaRa	[consensus,intra_dup]	
240	sAMvarga -> saMvarga	[consensus,intra_dup]	
240	svasAra -> svasara	[consensus,intra_dup]	
240	svastivacana -> svastivAcana	[consensus,intra_dup]	
240	upAkfti -> upakfti	[consensus,intra_dup]	
240	vajraDAra -> vajraDara	[consensus,intra_dup]	
240	yAjYadatta -> yajYadatta	[consensus,intra_dup]	
240	yaTASrAdDam -> yaTASradDam	[consensus,intra_dup]	
239	arevata -> Arevata	[consensus,intra_dup]	
239	tripUruza -> tripuruza	[consensus,intra_dup]	morph✓
239	urmilA -> UrmilA	[consensus,intra_dup]	morph✓
239	vAtarasana -> vAtaraSana	[consensus,intra_dup]	morph✓
239	vaNkU -> vaNku	[consensus,intra_dup]	morph✓
238	Durvaha -> durvaha	[consensus,intra_dup]	morph✓
238	agniDamanI -> agnidamanI	[consensus,intra_dup]	morph✓
238	kukula -> kukUla	[consensus,intra_dup]	morph✓
238	kunaWa -> kunawa	[consensus,intra_dup]	morph✓
238	lozWaka -> lozwaka	[consensus,intra_dup]	morph✓
238	maDuGa -> maduGa	[consensus,intra_dup]	morph✓
238	niHSuka -> niHSUka	[consensus,intra_dup]	morph✓
238	vizwarasravas -> vizwaraSravas	[consensus,intra_dup]	morph✓
237	EkIya -> ekIya	[consensus,intra_dup]	morph✓
237	SataGni -> SataGnI	[consensus,intra_dup]	
237	aBIcAra -> aBicAra	[consensus,intra_dup]	
237	amftin -> anftin	[consensus,intra_dup]	morph✓
237	anuvartmam -> anuvartman	[consensus,intra_dup]	morph✓
237	asAdana -> asADana	[consensus,intra_dup]	morph✓
237	banDur -> vanDur	[consensus,intra_dup]	morph✓
237	caSAla -> cazAla	[consensus,intra_dup]	morph✓
237	druGana -> druGaRa	[consensus,intra_dup]	morph✓
237	hemana -> hEmana	[consensus,intra_dup]	morph✓
237	jyotIrata -> jyotIraTa	[consensus,intra_dup]	morph✓
237	karketaRa -> karketana	[consensus,intra_dup]	morph✓
237	karkowaki -> karkowakI	[consensus,intra_dup]	
237	kumBi -> kumBI	[consensus,intra_dup]	
237	nadija -> nadIja	[consensus,intra_dup]	
237	odarika -> Odarika	[consensus,intra_dup]	morph✓
237	parIveza -> pariveza	[consensus,intra_dup]	
237	paryavaskanDa -> paryavaskanda	[consensus,intra_dup]	morph✓
237	poTaki -> poTakI	[consensus,intra_dup]	
237	raTavAhaRa -> raTavAhana	[consensus,intra_dup]	morph✓
237	rudrIya -> rudriya	[consensus,intra_dup]	
237	sAbarRika -> sAvarRika	[consensus,intra_dup]	morph✓
237	saMbalana -> saMvalana	[consensus,intra_dup]	morph✓
237	sahAvam -> sahAvan	[consensus,intra_dup]	morph✓
237	tarkAri -> tarkArI	[consensus,intra_dup]	
237	trihAyana -> trihAyaRa	[consensus,intra_dup]	morph✓
237	vAtApI -> vAtApi	[consensus,intra_dup]	
237	vidiTa -> vidita	[consensus,intra_dup]	morph✓
237	vihewaka -> viheWaka	[consensus,intra_dup]	morph✓
237	viti -> vIti	[consensus,intra_dup]	
236	astiti -> asTiti	[consensus,intra_dup]	morph✓
236	daSEraka -> daSeraka	[consensus,intra_dup]	morph✓
236	prOQI -> prOQi	[consensus,intra_dup]	
235	AkArika -> Akarika	[consensus,intra_dup]	morph✓
235	SAkapUta -> SakapUta	[consensus,intra_dup]	morph✓
235	apratirUpya -> aprAtirUpya	[consensus,intra_dup]	morph✓
235	hAvanIya -> havanIya	[consensus,intra_dup]	morph✓
235	haRqa -> haRqA	[consensus,intra_dup]	morph✓
235	parAvarya -> pArAvarya	[consensus,intra_dup]	morph✓
235	pravaraRIya -> prAvaraRIya	[consensus,intra_dup]	morph✓
235	taRqin -> tARqin	[consensus,intra_dup]	morph✓
234	AntarIpa -> antarIpa	[consensus,intra_dup]	morph✓
234	Azwakya -> azwakya	[consensus,intra_dup]	morph✓
234	asPowaka -> AsPowaka	[consensus,intra_dup]	morph✓
234	avanta -> Avanta	[consensus,intra_dup]	morph✓
234	duravagrAha -> duravagraha	[consensus,intra_dup]	morph✓
234	kAraRin -> karaRin	[consensus,intra_dup]	morph✓
234	mAtulANga -> mAtulaNga	[consensus,intra_dup]	morph✓
234	madaka -> mAdaka	[consensus,intra_dup]	morph✓
234	nicUla -> nicula	[consensus,intra_dup]	
234	pArza -> parza	[consensus,intra_dup]	morph✓
234	pUruzAda -> puruzAda	[consensus,intra_dup]	
234	saMDyAMsa -> saMDyAMSa	[consensus,intra_dup]	
234	spASa -> spaSa	[consensus,intra_dup]	morph✓
233	marU -> maru	[consensus,intra_dup]	
232	Araba -> Arava	[consensus,intra_dup]	
232	Bagama -> BagaRa	[consensus,intra_dup]	
232	aviDAyaka -> aBiDAyaka	[consensus,intra_dup]	
232	kuveRi -> kuveRI	[consensus,intra_dup]	morph✓
232	pUrRaKa -> pUrRaka	[consensus,intra_dup]	
232	samudraPeRa -> samudraPena	[consensus,intra_dup]	
232	vEnava -> vERava	[consensus,intra_dup]	
231	AgniveSI -> AgniveSi	[consensus,intra_dup]	morph✓
231	Sitapuzpa -> SItapuzpa	[consensus,intra_dup]	morph✓
231	pratIsIrA -> pratisIrA	[consensus,intra_dup]	morph✓
231	vedaSrutI -> vedaSruti	[consensus,intra_dup]	morph✓
230	ASvavAra -> aSvavAra	[consensus,intra_dup]	
230	AmlavallI -> amlavallI	[consensus,intra_dup]	
230	GanArava -> Ganarava	[consensus,intra_dup]	
230	SAkalin -> Sakalin	[consensus,intra_dup]	
230	SaRqikA -> SaRqika	[consensus,intra_dup]	
230	avAcanIya -> avacanIya	[consensus,intra_dup]	
230	bAhuPala -> bahuPala	[consensus,intra_dup]	
230	brAhmadeya -> brahmadeya	[consensus,intra_dup]	
230	brAhmapurARa -> brahmapurARa	[consensus,intra_dup]	
230	cAndragupta -> candragupta	[consensus,intra_dup]	
230	dASakaRWa -> daSakaRWa	[consensus,intra_dup]	
230	dUragA -> dUraga	[consensus,intra_dup]	
230	gARqAlI -> gaRqAlI	[consensus,intra_dup]	
230	indramArgA -> indramArga	[consensus,intra_dup]	
230	jAvanikA -> javanikA	[consensus,intra_dup]	
230	kaRqUra -> kaRqUrA	[consensus,intra_dup]	
230	kacaka -> kAcaka	[consensus,intra_dup]	
230	kalinI -> kAlinI	[consensus,intra_dup]	
230	kampilya -> kAmpilya	[consensus,intra_dup]	
230	kasAra -> kAsAra	[consensus,intra_dup]	
230	maDyAhnika -> mADyAhnika	[consensus,intra_dup]	
230	niScira -> niScirA	[consensus,intra_dup]	
230	pEzwikA -> pEzwika	[consensus,intra_dup]	
230	pratyara -> pratyarA	[consensus,intra_dup]	
230	sAhajit -> sahajit	[consensus,intra_dup]	
230	sArparAja -> sarparAja	[consensus,intra_dup]	
230	sArvakAma -> sarvakAma	[consensus,intra_dup]	
230	sadASva -> sadaSva	[consensus,intra_dup]	
230	sarvarAsa -> sarvarasa	[consensus,intra_dup]	
230	sitaKaRqa -> sitAKaRqa	[consensus,intra_dup]	
230	svarRavarRa -> svarRavarRA	[consensus,intra_dup]	
230	triBARqI -> triBaRqI	[consensus,intra_dup]	
230	vIrAy -> vIray	[consensus,intra_dup]	
230	viSvaTa -> viSvaTA	[consensus,intra_dup]	
230	vidravaRa -> vidrAvaRa	[consensus,intra_dup]	
229	Sitodara -> sitodara	[consensus,intra_dup]	morph✓
229	sasUka -> saSUka	[consensus,intra_dup]	morph✓
228	DanAyus -> danAyus	[consensus,intra_dup]	morph✓
228	SamIkaraRa -> samIkaraRa	[consensus,intra_dup]	morph✓
228	jAruTI -> jArUTI	[consensus,intra_dup]	morph✓
228	uruka -> urUka	[consensus,intra_dup]	morph✓
227	Ezya -> ESya	[consensus,intra_dup]	morph✓
227	KaRqIka -> KaRqika	[consensus,intra_dup]	
227	ekAdaSina -> EkAdaSina	[consensus,intra_dup]	morph✓
227	gorASva -> gOrASva	[consensus,intra_dup]	morph✓
227	kavanDin -> kabanDin	[consensus,intra_dup]	morph✓
227	kuRqalIkA -> kuRqalikA	[consensus,intra_dup]	
227	mADuri -> mADurI	[consensus,intra_dup]	
227	mahAmagna -> mahAnagna	[consensus,intra_dup]	morph✓
227	mokya -> mOkya	[consensus,intra_dup]	morph✓
227	nitatni -> nitatnI	[consensus,intra_dup]	
227	poraka -> pOraka	[consensus,intra_dup]	morph✓
227	pratiDI -> pratiDi	[consensus,intra_dup]	
227	raNGanATa -> raNganATa	[consensus,intra_dup]	morph✓
227	vitatI -> vitati	[consensus,intra_dup]	
226	SuBrI -> SuBri	[consensus,intra_dup]	
225	DarANkura -> DArANkura	[consensus,intra_dup]	morph✓
225	JaMkfta -> JAMkfta	[consensus,intra_dup]	morph✓
225	adattadAna -> adattAdAna	[consensus,intra_dup]	morph✓
225	agnyADeyika -> AgnyADeyika	[consensus,intra_dup]	morph✓
225	atisundarA -> atisundara	[consensus,intra_dup]	morph✓
225	avarikA -> avArikA	[consensus,intra_dup]	morph✓
225	daRqAyAma -> daRqayAma	[consensus,intra_dup]	morph✓
225	daSAdaSin -> daSadaSin	[consensus,intra_dup]	morph✓
225	durgAla -> durgala	[consensus,intra_dup]	morph✓
225	indravaMSa -> indravaMSA	[consensus,intra_dup]	morph✓
225	jihvAla -> jihvala	[consensus,intra_dup]	morph✓
225	kArpawin -> karpawin	[consensus,intra_dup]	morph✓
225	paSuka -> pASuka	[consensus,intra_dup]	morph✓
225	saMsargika -> sAMsargika	[consensus,intra_dup]	morph✓
225	susTAla -> susTala	[consensus,intra_dup]	morph✓
225	vAjasa -> vAjasA	[consensus,intra_dup]	morph✓
225	vArzma -> varzma	[consensus,intra_dup]	morph✓
225	veRatawa -> veRAtawa	[consensus,intra_dup]	morph✓
224	ASasya -> ASAsya	[consensus,intra_dup]	morph✓
224	DItikA -> DItika	[consensus,intra_dup]	morph✓
224	Guka -> GUka	[consensus,intra_dup]	
224	aSamya -> aSAmya	[consensus,intra_dup]	morph✓
224	agnitaptA -> agnitapta	[consensus,intra_dup]	morph✓
224	avAkA -> avakA	[consensus,intra_dup]	morph✓
224	badDAppi -> badDappi	[consensus,intra_dup]	morph✓
224	daRqapAtA -> daRqapAta	[consensus,intra_dup]	morph✓
224	druRAsa -> druRasa	[consensus,intra_dup]	morph✓
224	helarAja -> helArAja	[consensus,intra_dup]	morph✓
224	horaSAstra -> horASAstra	[consensus,intra_dup]	morph✓
224	kAlikApUrva -> kalikApUrva	[consensus,intra_dup]	morph✓
224	kUrcAla -> kUrcala	[consensus,intra_dup]	morph✓
224	kanizWineya -> kAnizWineya	[consensus,intra_dup]	morph✓
224	nirUpAKya -> nirupAKya	[consensus,intra_dup]	
224	nirmalI -> nirmAlI	[consensus,intra_dup]	morph✓
224	pAdasTa -> padasTa	[consensus,intra_dup]	morph✓
224	pariSrut -> parisrut	[consensus,intra_dup]	
224	pariyAnika -> pAriyAnika	[consensus,intra_dup]	morph✓
224	sAkampa -> sakampa	[consensus,intra_dup]	morph✓
224	sODakara -> sODAkara	[consensus,intra_dup]	morph✓
224	satyasravas -> satyaSravas	[consensus,intra_dup]	
224	skAndopanizad -> skandopanizad	[consensus,intra_dup]	morph✓
224	upAdAnaka -> upadAnaka	[consensus,intra_dup]	morph✓
224	upakza -> upAkza	[consensus,intra_dup]	morph✓
224	vArjya -> varjya	[consensus,intra_dup]	morph✓
224	viSraMsana -> visraMsana	[consensus,intra_dup]	
224	virUja -> viruja	[consensus,intra_dup]	
223	Dikka -> dikka	[consensus,intra_dup]	
223	DrOpada -> drOpada	[consensus,intra_dup]	
223	SuRwa -> SuRWa	[consensus,intra_dup]	
222	BadraBawa -> Badravawa	[consensus,intra_dup]	
222	Kalidruma -> kalidruma	[consensus,intra_dup]	
222	Kawvara -> kawvara	[consensus,intra_dup]	
222	aSvaBAra -> aSvavAra	[consensus,intra_dup]	
222	amanI -> amani	[consensus,intra_dup]	morph✓
222	amaraka -> anaraka	[consensus,intra_dup]	
222	avyAvftti -> aByAvftti	[consensus,intra_dup]	
