# YAT tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
236	kolamvaka -> kolambaka	[consensus,spell_correct]	morph✓
236	netrAmvu -> netrAmbu	[consensus,spell_correct]	morph✓
236	samanubrata -> samanuvrata	[consensus,spell_correct]	morph✓
236	yojanaballI -> yojanavallI	[consensus,spell_correct]	morph✓
234	gavAhnikA -> gavAhnika	[consensus,spell_correct]	morph✓
232	paYcaSErizaka -> paYcaSErIzaka	[consensus,spell_correct]	morph✓
231	abaDIra -> abaDira	[consensus,spell_correct]	morph✓
231	suraBIsravA -> suraBisravA	[consensus,spell_correct]	morph✓
230	abDijA -> abDija	[consensus,intra_dup]	
228	pitfhu -> pitfhU	[consensus,spell_correct]	morph✓
227	maWacI -> mawacI	[consensus,spell_correct]	morph✓
227	mahAvila -> mahAbila	[consensus,spell_correct]	morph✓
227	suvarRavindu -> suvarRabindu	[consensus,spell_correct]	morph✓
226	aDibinnA -> aDivinnA	[consensus,spell_correct]	morph✓
226	abaqIna -> avaqIna	[consensus,spell_correct]	morph✓
226	agnibAha -> agnivAha	[consensus,spell_correct]	morph✓
226	gfhavali -> gfhabali	[consensus,spell_correct]	morph✓
226	kawuraba -> kawurava	[consensus,spell_correct]	morph✓
226	mimAna -> nimAna	[consensus,spell_correct]	morph✓
226	padmavanDu -> padmabanDu	[consensus,spell_correct]	morph✓
226	sahaBAbin -> sahaBAvin	[consensus,spell_correct]	morph✓
226	vAbadUka -> vAvadUka	[consensus,spell_correct]	morph✓
225	paYcaprasAda -> paYcaprAsAda	[consensus,spell_correct]	morph✓
224	AtapyamAna -> atapyamAna	[consensus,spell_correct]	morph✓
224	Atmada -> AtmadA	[consensus,spell_correct]	morph✓
224	apekzabudDi -> apekzAbudDi	[consensus,spell_correct]	morph✓
224	darSanapratiBAvya -> darSanaprAtiBAvya	[consensus,spell_correct]	morph✓
224	dfQagAtrika -> dfQagAtrikA	[consensus,spell_correct]	morph✓
224	hemaBa -> hemABa	[consensus,spell_correct]	morph✓
224	kaMsyanIla -> kAMsyanIla	[consensus,spell_correct]	morph✓
224	kaRwAkila -> kaRwakila	[consensus,spell_correct]	morph✓
224	muKarika -> muKarikA	[consensus,spell_correct]	morph✓
224	samavAhAra -> samavahAra	[consensus,spell_correct]	morph✓
224	ulluRWa -> ulluRWA	[consensus,spell_correct]	morph✓
222	apakAragIr -> apakAragir	[consensus,spell_correct]	morph✓
222	pawakuwi -> pawakuwI	[consensus,spell_correct]	morph✓
222	viBitsu -> biBitsu	[consensus,spell_correct]	
221	aDyabasAyin -> aDyavasAyin	[consensus,spell_correct]	
219	SUkaramuKa -> sUkaramuKa	[consensus,spell_correct]	morph✓
219	SvasanAsana -> SvasanASana	[consensus,spell_correct]	morph✓
219	kftAvaSakTika -> kftAvasakTika	[consensus,spell_correct]	morph✓
219	madyapAsana -> madyapASana	[consensus,spell_correct]	morph✓
218	asOzwava -> asOzWava	[consensus,spell_correct]	morph✓
218	astrakaRWaka -> astrakaRwaka	[consensus,spell_correct]	morph✓
218	gAQamuzWi -> gAQamuzwi	[consensus,spell_correct]	morph✓
218	karakaRWaka -> karakaRwaka	[consensus,spell_correct]	morph✓
218	reRuruzita -> reRurUzita	[consensus,spell_correct]	morph✓
218	zazWimatta -> zazwimatta	[consensus,spell_correct]	morph✓
217	BrAtfbala -> BrAtfvala	[consensus,spell_correct]	morph✓
217	SAkavAleya -> SAkabAleya	[consensus,spell_correct]	morph✓
217	drORAyaRa -> drORAyana	[consensus,spell_correct]	morph✓
217	garabrata -> garavrata	[consensus,spell_correct]	morph✓
217	kujJiSa -> kujjiSa	[consensus,spell_correct]	morph✓
217	mARavIRa -> mARavIna	[consensus,spell_correct]	morph✓
217	pakzipARIyaSAlikA -> pakzipAnIyaSAlikA	[consensus,spell_correct]	morph✓
217	prAkPAlguRa -> prAkPAlguna	[consensus,spell_correct]	morph✓
217	prAkPalguRIBava -> prAkPalgunIBava	[consensus,spell_correct]	morph✓
217	rAjaSana -> rAjaSaRa	[consensus,spell_correct]	morph✓
217	sTAlIvila -> sTAlIbila	[consensus,spell_correct]	morph✓
217	umAkaWa -> umAkawa	[consensus,spell_correct]	morph✓
216	AkASabartman -> AkASavartman	[consensus,spell_correct]	morph✓
216	BImabikrama -> BImavikrama	[consensus,spell_correct]	morph✓
216	BawwArakabAra -> BawwArakavAra	[consensus,spell_correct]	morph✓
216	Gftabara -> Gftavara	[consensus,spell_correct]	morph✓
216	Rez -> nez	[consensus,spell_correct]	morph✓
216	aBizizenayizu -> aBizizeRayizu	[consensus,spell_correct]	morph✓
216	abaBinna -> avaBinna	[consensus,spell_correct]	morph✓
216	abacUrRita -> avacUrRita	[consensus,spell_correct]	morph✓
216	abasavya -> avasavya	[consensus,spell_correct]	morph✓
216	advEzwf -> advezwf	[consensus,spell_correct]	morph✓
216	agnibARa -> agnivARa	[consensus,spell_correct]	morph✓
216	araRyabAsa -> araRyavAsa	[consensus,spell_correct]	morph✓
216	avedabid -> avedavid	[consensus,spell_correct]	morph✓
216	dfQavanDinI -> dfQabanDinI	[consensus,spell_correct]	morph✓
216	dibodBava -> divodBava	[consensus,spell_correct]	morph✓
216	dinavala -> dinabala	[consensus,spell_correct]	morph✓
216	garhyabAdin -> garhyavAdin	[consensus,spell_correct]	morph✓
216	iBayubati -> iBayuvati	[consensus,spell_correct]	morph✓
216	indrasAbarRi -> indrasAvarRi	[consensus,spell_correct]	morph✓
216	kapawapravanDa -> kapawaprabanDa	[consensus,spell_correct]	morph✓
216	kawolabIRA -> kawolavIRA	[consensus,spell_correct]	morph✓
216	kzudrabaMSA -> kzudravaMSA	[consensus,spell_correct]	morph✓
216	mahAPenA -> mahAPeRA	[consensus,spell_correct]	morph✓
216	marudvadDa -> marudbadDa	[consensus,spell_correct]	morph✓
216	pAradfzvan -> pAradfSvan	[consensus,spell_correct]	morph✓
216	paSupalbala -> paSupalvala	[consensus,spell_correct]	morph✓
216	pattanabaRij -> pattanavaRij	[consensus,spell_correct]	morph✓
216	puMbfza -> puMvfza	[consensus,spell_correct]	morph✓
216	suhfdvala -> suhfdbala	[consensus,spell_correct]	morph✓
211	ElabAluka -> ElavAluka	[consensus,spell_correct]	
211	abalIQa -> avalIQa	[consensus,spell_correct]	
210	visAritA -> visArita	[consensus,intra_dup]	
209	AnuvAta -> anuvAta	[consensus,spell_correct]	
209	kArAyamARa -> kArayamARa	[consensus,spell_correct]	
202	avasfzWa -> avasfzwa	[consensus,spell_correct]	
202	meba -> meva	[intra_dup,spell_correct]	
202	spfhanIya -> spfhaRIya	[consensus,spell_correct]	
201	abaSizwa -> avaSizwa	[consensus,spell_correct]	
201	tOk -> wOk	[consensus,spell_correct]	
166	RaS -> naS	[spell_correct]	morph✓
