pass	dict	wrong	right	opus_confirm_reason	opus_review	opus_review_reason
D7	SHS	jamBari	jamBAri	"Body: ""INDRA'S thunderbolt... E. jamBa the demon, and ari a foe"" - a+a sandhi gives jamBAri; no variant spelling documented."	fileable	'E. jamBa the demon and ari a foe' + gloss jamBasya... ariH - jamBa+ari = jamBAri by sandhi; WIL/MW jamBAri only.
D7	SHS	jvAlajihva	jvAlAjihva	Body: 'AGNI, or fire. E. jAlA (jvAlA), and jihvA a tongue' - first member long-A jvAlA (cf. jvAlAgni, jvAlAmuKI), so jvAlAjihva.	fileable	'E. jAlA (=jvAlA) and jihvA' - first member ends in A; sorted between jvAlAgni and jvAlAmuKI, impossible for jvAla-; MW jvAlAjihva.
D7	SHS	krOYcAdAna	krOYcAdana	Body: 'Long pepper... E. krOYca the heron, and adana eating' - krOYca+adana = krOYcAdana with short -dana; no variant noted.	fileable	'Long pepper... E. krOYca the heron and adana eating' - adana gives krOYcAdana; WIL/MW krOYcAdana only, no krOYcAdAna.
D7	SHS	kzaRadAcAra	kzaRadAcara	Body: 'Nocturnal, nightwalker... E. kzaRadA night, and cara who or what goes' - second member short-a cara, so kzaRadAcara.	fileable	'mfn. (-raH-rI-raM) Nocturnal... E. kzaRadA night and cara who goes' - cara gives kzaRadAcara; WIL/MW kzaRadAcara.
D7	SHS	metrAvaruRa	mEtrAvaruRa	Body: 'E. mitra the sun, varuRa..., aR aff.' - vrddhi aR gives mE-; neighbours mEtraBa and mEtrAvaruRi both spelled mE-.	fileable	'E. mitra, varuRa, aR aff.' - aR forces vrddhi mE-; next entry mEtrAvaruRi in same mE- block; WIL/MW mEtrAvaruRa only.
D7	SHS	muzwimuzwi	muzwImuzwi	Ind. 'Fist to fist ... E. muzwi repeated in this sense, and the final made long' — the note requires long I; wil/MW/AP/AP90/LRV/PW: muzwImuzwi.	fileable	Etym 'muzwi repeated, and the final made long'; placed after all muzwi- entries and before muzRat, i.e. sorted as muzwI-.
D7	SHS	nErASyA	nErASya	Body 'n. (-SyaM) Despair. E. nirASa and zyaY aff.' - neuter -SyaM nom. requires stem nErASya; the key's final long A contradicts its own declension.	fileable	'n. (-SyaM) Despair. E. nirASa and zyaY aff.' - neuter stem in -SyaM = nErASya; final A spurious; WIL/MW have nErASya.
D7	SHS	navagrahA	navagraha	'm. plu. (-hAH) The nine planets. E. nava for navan, and graha a planet' — stem is graha (short a); final A spurious; wil/MW/PW/PWG/VCP: navagraha.	fileable	'm. plu. (-hAH)' gives nom.pl., stem = navagraha; etym 'nava for navan, and graha'; cf. azwadikpAla/-lAH, daSendriya/-yAH.
D7	SHS	pAripAWya	pAripAwya	Body: 'E. pari-pAwI orderly course, zyaY aff.' - base pAwI has w; gloss 'regularity' belongs to pariPAwI, no variant noted.	fileable	L24587 'E. pari-pAwI orderly course, zyaY aff.'; WIL L24513 pAripAwya, MW/PW/PWG/VCP/MW72 pAripAwya.
D7	SHS	padminIballaBa	padminIvallaBa	'The sun. E. {#padminI#} a lotus, and {#ballaBa#} a friend.' No <k1>ballaBa< in SHS (only vallaBa); b/v error undocumented. MW: padminIvallaBa.	fileable	L23187 headword only; WIL L23201 padminIvallaBa (same gloss 'the sun'); SHS has 22 vallaBa headwords vs 2 ballaBa; MW/PW/PWG agree.
D7	SHS	parRarUh	parRaruh	'm. (-ruw) The spring.' Nom. -ruw and SHS root entry <k1>ruh< are short u; compound-final -ruh never long.	fileable	L23918 m. (-ruw) 'The spring', cf. neighbour jalaruh (ruh+kvip); VCP/MW/PW parRaruh, VCP glosses vasantakAle.
D7	SHS	parikzaRa	parIkzaRa	'n. (-RaM) Trial, experiment... E. pari about, Ikz to see' - pari+Ikz gives parIkzaRa; entry sits in the parI- block (next: parIkzaRIya, parIkzA), no parIkzaRa entry exists.	fileable	'n. (-RaM) Trial... E. pari, Ikz to see, lyuw' - pari+Ikz = parIkz; neighbours parIkzaka/parIkzaRIya; WIL/MW parIkzaRa only.
D7	SHS	parinala	parimala	Body: 'An exquisite scent... E. pari extension, mal to increase, aff. ac' - pari+mal=parimala; sits between parimarddana and parimalita (E. parimala).	fileable	'exquisite scent... E. pari, mal to increase, ac' - mal gives parimala; next entry parimalita cites E. parimala; WIL/MW parimala.
D7	SHS	paripadIn	paripadin	m. (-dI) 'An enemy. E. pari against, pad to go, ini aff.' — ini gives an -in stem (cf. neighbouring paripanTin); wil/MW/MW72/PW/BUR/YAT: paripadin.	fileable	'm. (-dI)' with 'ini aff.' - SHS heads in-stems by the stem (cf. paripanTin m. (-nTI), vAgmin), so paripadin.
D7	SHS	prARinizu	prARiRizu	SHS L27826 'mfn. Wishing for life. E. prARa nom. v., desid. form, u aff.' = MW/PW/PWG prARiRizu 'wishing to live' (Pan. 8.4.21); no variant noted.	fileable	Sorted before prARidyUta and prARin, i.e. the R slot (R<d<n), so print had prARiRizu; MW prARiRizu. E. 'prARa nom. v., desid.'
D7	SHS	pracayaRa	pracayana	Full body: 'n. ({#-RaM#}) Collecting, gathering.' No etym, no variant note; palatal c blocks Ratva. MW has pra-cayana only.	fileable	'n. (-RaM) Collecting, gathering', no marker; SHS's own cayana, vicayana, saYcayana all dental n; MW has pracayana.
D7	SHS	pranipAta	praRipAta	Body: 'Salutation, reverence, obeisance... E. pra and ni before, pat to go, aff. GaY'; neighbours praRipatya and praRipAtarasa show natva praRi-.	fileable	'Salutation, obeisance. E. pra and ni, pat, GaY' - Ratva obligatory; sits before praRipAtarasa/praRihita in the praRi- block; WIL/MW praRipAta.
D7	SHS	pravyahAra	pravyAhAra	Body: 'Prolongation of discourse' (no etymology); SHS has headword vyAhAra (long A) and no vyahAra, so pra+vyAhAra.	fileable	'm. Prolongation of discourse' - only pra+vi+A+hf > pravyAhAra can yield this sense; no apparatus note; MW has pravyAhAra (3x), no pravyahAra.
D7	SHS	saMyuyuzu	saMyuyUzu	'Wishing to mix, join... E. {#sam#} before {#yu#} to join, desid. v., {#u#} aff.' MW headword: saM-yuyUzu (long U). No variant note.	fileable	E. 'sam before yu to join, desid. v., u aff.' requires yuyUzu (cf. SHS pratirurUzu, prorRunUzu); MW saMyuyUzu.
D7	SHS	tEmana	temana	Body: 'Wetting, moistening; a sauce. E. {#tim#} to be wet, affix {#lyuw#}' - lyuT gives guna temana; MW has temana (3), no tEmana.	fileable	L17859: 'E. tim to be wet, affix lyuw' = temana (no vrddhi stated); alphabetised as temana (tema < X < teva < tevana). No separate temana entry.
D7	SHS	vAgvanDana	vAgbanDana	n. (-naM) 'Stopping any one's speech. E. vAk, vanDana obstructing' — obstructing = banDana; wil/MW/PW/CAE/CCS all have vAgbanDana. No v.l. marker.	fileable	Gloss 'Stopping speech'/'obstructing' = banDana; 'vanDana' occurs only here and in sannibanDana's etym (headword there has b) - v/b typo.
D7	SHS	virukzaRa	virUkzaRa	Body: 'Astringent, drying... E. vi before rUkz to be rough, aff. lyuw' - own etymology gives long-U rUkz, so virUkzaRa; no variant documented.	fileable	'Astringent, drying... E. vi before rUkz to be rough, lyuw' - rUkz gives virUkzaRa; sorted after virudDAnna (U-block); MW virUkzaRa.
D9	SKD	mahotka	mahotkA	L26941: 'strI, (mahAn utkaH darSanotsuko loko yasyAH .) vidyut' - fem bahuvrihi requires mahotkA; short -a contradicts strI + yasyAH.	fileable	'strI, (mahAn utkaH ... yasyAH .)' requires fem. mahotkA; MW L161293 has k1 mahotkA. No apparatus/redirect/variant note.
D9	WIL	paYcaSErizaka	paYcaSErIzaka	'E. paYca, and SirIza Mimosa sirisha, WaY aff.' — base SirIza has long I, so vrddhi form paYcaSErIzaka.	fileable	L22891: E. {paYca}+{SirIza}+{WaY}; vrddhi of SirIza keeps the long I, so SErIzaka; short i unsupported.
D9	WIL	vapuzmAt	vapuzmat	'mfn. (-zmAn-zmantI-zmat) Having a body... E. vapus and matup aff.' — stem is vapuzmat; only 3 -mAt headwords vs hundreds of -mat.	fileable	L33595: infl. {-zmAn-zmantI-zmat} and E. {vapus}+{matup}; WIL writes all other matup stems -mat (Ayuzmat, arcizmat).
D7	YAT	AkASabartman	AkASavartman	YAT L4332: '(rtma) 5. n. Firmament' = AkASavartman (MW L22142); stem (rtma) itself shows vartman; no v.l.	fileable	L4332 '{#AkASa-bartman#} 5. n. Firmament' - plain definition, no marker; 'bartman' unattested, MW has AkASavartman; sits before AkASavallI
D7	YAT	BImabikrama	BImavikrama	L28117 '{#BIma-bikrama#} {%a.%} Gigantic.' - no v.l./w.r.; sorted between BImaraTI and BImavikrAnta, i.e. in the v-slot => vikrama.	fileable	L28117 'a. Gigantic' - plain def, no apparatus; next entries BImavikrAnta/BImavigraha spell vi-; MW has BImavikrama, no 'bikrama'
D7	YAT	BawwArakabAra	BawwArakavAra	L27690 '{#BawwAraka-bAra#} 1. {%n.%} Sunday.' - Sunday = BawwAraka-vAra (Lord's day); bare gloss, no variant marker or cross-ref.	fileable	L27690 '1. n. Sunday' = bhattaraka-vAra (day); no marker/xref; MW has BawwArakavAra; 'bAra' unattested
D7	YAT	BrAtfbala	BrAtfvala	YAT L28501: 'a. Having a brother' = BrAtfvala (MW L153729); next entry BrAtfmat 'Idem'; no v.l. marker.	fileable	Gloss 'Having a brother' requires the possessive suffix -vala; WIL L28989 and MW L153729 both read BrAtfvala, YAT alone has b.
D7	YAT	Gftabara	Gftavara	L13959 '{#Gfta-bara#} 1. {%m.%} A sweetmeat.' - placed after Gfta-lolIkfta and before Gfta-vikrayin, i.e. v-slot => Gfta-vara; no marker.	fileable	L13959 '1. m. A sweetmeat' matches MW Gftavara = Gftapura; sorted between GftalolIkfta (la) and Gftavikrayin (va), i.e. the va- slot
D7	YAT	aBizizenayizu	aBizizeRayizu	L2143 '{#aBi-zizenayizu#} {%a.%} Desirous of sending forth an army.' - YAT's own L2148 aBi-zeRana has retroflex R; dental n here is a bare slip.	fileable	L2143 'a. Desirous of sending forth an army' = MW aBizizeRayizu 'desirous of marching against'; nati requires R after z; no marker
D7	YAT	aDyabasAyin	aDyavasAyin	L933 'a. Persevering, resolute, determined' directly follows L932 aDya_vasAya 'Perseverance' spelled with v; MW aDyavasAyin.	fileable	L933 sits right after aDyavasAya (L932) and before aDyaSana — the va-slot; a ba-headword would sort earlier
D7	YAT	advEzwf	advezwf	L793 '{#a-dvEzwf#} 4. {%m.%} A friend.' - a-dvezwf 'non-hater'; sorted BEFORE a-dvEta, so short e, not E; no variant marker.	fileable	L793 '(zwA) 4. m. A friend' = MW advezwf 'not an enemy, a friend'; placed between advitIya and advEta, the e- slot, not ai-
D7	YAT	apekzabudDi	apekzAbudDi	L1872 'f. Clearness of understanding, or perception' = MW apekzAbudDi 'clearness of understanding'; placed after apekzA, before apekzita (A-order).	fileable	L1872 sits after apekzA (L1871), before apekzita; short-a form would belong with apekzaka/apekzaRIya before apekzA
D7	YAT	araRyabAsa	araRyavAsa	L2598 '{#araRya-bAsa#} 1. {%m.%} Hermitage.' - sits between araRya-vAyasa and araRya-vAsin, i.e. exactly the vAsa slot; no marker.	fileable	L2598 '1. m. Hermitage'; sorted between araRyavAyasa and araRyavAsin, exactly the vAsa slot; MW araRyavAsa; no apparatus note
D7	YAT	avedabid	avedavid	L3515 '{#a-vedabid#} 5. {%m.%} Brahman not knowing the vedas.' - gloss is literally a-veda-vid; no v.l./w.r./cross-ref.	fileable	L3515 '5. m. Brahman not knowing the vedas' = a-veda-vid; MW has avedavid; 'bid' unattested; plain def, no marker
D7	YAT	darSanapratiBAvya	darSanaprAtiBAvya	L18104 'n. Bail.' follows darSanapratiBU 'a bail or surety'; MW has prAtiBAvya (bail) and no pratiBAvya. No variant note.	fileable	L18104 follows darSanapratiBU; prati- < prAti- ordering fits, and gloss 'Bail' = prAtiBAvya (suretyship)
D7	YAT	dfQavanDinI	dfQabanDinI	L18990 '{#dfQa-vanDinI#} 3. {%f.%} A creeper.' - sorted before dfQa-Bakti (b-slot) => banDinI; neighbour dfQa-vadDa shows same b/v slip.	fileable	L18990 '3. f. A creeper'; sorted between dfQavadDa and dfQaBakti, i.e. the ba- slot (ba<Ba); MW dfQabanDinI; no marker
D7	YAT	dibodBava	divodBava	L18493 '{#dibodBava#} {%a.%} Born or produced in heaven.' - sorted between divodAsa and divOkas => divodBava; no marker.	fileable	L18493 'a. Born or produced in heaven' = divodBava; immediately precedes divOkas (o before O), the divo- slot; MW has divodBava
D7	YAT	dinavala	dinabala	L18443 '{#dina-vala#} 1. {%m.%} A name of certain signs in the zodiac.' - sorted between dina-praRI and dina-maRi, i.e. b-slot => dinabala.	fileable	L18443 '1. m. A name of certain signs in the zodiac' = MW dinabala 'N. of the 5th-8th, 11th, 12th signs'; sorted dinapraRI < X < dinamaRi (pa<ba<ma)
D7	YAT	garhyabAdin	garhyavAdin	L12822 '{#garhya-bAdin#} {%a.%} Speaking ill, vilely or inaccurately.' - 'speaking' = -vAdin; bAdin is no word; no variant marker.	fileable	L12822 'a. Speaking ill, vilely or inaccurately' = garhya-vAdin; MW has garhyavAdin; 'bAdin' unattested; plain def, no marker
D7	YAT	gfhavali	gfhabali	Body: 'Offering of the remains of food to spirits, birds' = gfhabali (MW gfha-bali); next entry gfhabalipriya uses b.	fileable	L13305 sorts between gfhapotaka and gfhabalipriya (L13306, b-form); 'Offering ... to spirits' = gfha-bali
D7	YAT	iBayubati	iBayuvati	L5754 '{#iBa-yubati#} 2. {%f.%} Elephant's cub.' - feminine gloss = iBa-yuvati (young female); yubati unattested; no marker.	fileable	L5754 '2. f. Elephant's cub' matches MW iBayuvati 'an elephant's cub' verbatim; 'yubati' unattested; no apparatus/xref
D7	YAT	indrasAbarRi	indrasAvarRi	L5714 '{#indra-sAbarRi#} 2. {%m.%} Last Menu.' - the Manu name is sAvarRi; bare definition, no v.l./w.r./cross-ref.	fileable	L5714 '2. m. Last Menu' = Indra-sAvarRi, the last Manu; MW indrasAvarRi; 'sAbarRi' unattested; plain def
D7	YAT	kArAyamARa	kArayamARa	'{#kArAyamARa#} (RaH-RA-RaM) p. Effecting' = MW kArayamARa 'pr.p. Caus. kf'; every YAT causative participle is short -ayamARa (BIzayamARa, spfhayamARa).	fileable	'p. Effecting', filed among kAra- (after kAramihikA, before kArayitf), NOT in the kArA- block at L9513-17; parallels spfhayamARa.
D7	YAT	kaMsyanIla	kAMsyanIla	L9164 'm. Blue vitriol, used as a collyrium' sits inside the kAMsya block (after kAMsyakAra, before kAka); MW has kAMsyanIla.	fileable	L9164 sits between kAMsyakAra and kAka, i.e. inside the kAMsya- run; 'Blue vitriol' = kAMsya-nIla
D7	YAT	kaRwAkila	kaRwakila	L8153 'm. A thorny kind of bamboo' = MW kaRwakila 'Bambusa Spinosa'; filed between kaRwakiPala and kaRwakIPala, i.e. as kaRwakila.	fileable	L8153 sits between kaRwakiPala and kaRwakIPala, exactly the kaRwaki-la slot; kaRwA- would sort far earlier
D7	YAT	kapawapravanDa	kapawaprabanDa	L8374 '{#kapawa-pravanDa#} 1. {%m.%} Fraud.' - kapawa-prabanDa 'fraudulent contrivance'; pravanDa unattested; no marker.	fileable	L8374 '1. m. Fraud' = MW kapawaprabanDa 'series of frauds... fraud, plot'; 'pravanDa' unattested; no marker or xref
D7	YAT	kawolabIRA	kawolavIRA	L8077 '{#kawola-bIRA#} 1. {%f.%} A kind of lute, played by common people.' - lute = vIRA; bIRA no word; no variant marker.	fileable	Def only: '(RA) f. A kind of lute'; YAT spells vIRA 4x (incl. parallel kaRqolavIRA); bIRA hapax. No w.r./v.l./redirect.
D7	YAT	kawuraba	kawurava	L8069 '{#kawu-raba#} {#(vaH)#} 1. m. A frog.' — the paradigm marker (vaH) itself shows the stem is -rava; no v.l./w.r. note.	fileable	L8069 entry's own inflection is {(vaH)} 1. m. 'A frog' = kawu-rava; b in headword contradicts nom. ravaH
D7	YAT	kzudrabaMSA	kzudravaMSA	Body '{#kzudra-baMSA#} f. A plant (Lycopodium imbricatum)'; YAT spells vaMSa in ~40 entries (vaMSa, karRavaMSa), never baMSa; MW kzudravaMSA = plant.	fileable	'(SA) f. A plant (Lycopodium)'; sits at the v-slot between kzudraroga and kzudraSaNKa; vaMSa 12x in YAT, baMS hapax.
D7	YAT	nirAlamva	nirAlamba	L21384 'nirA_lamva a. Self-supported'; YAT has 30+ -lamba headwords with b (avalamba, Alamba); Wilson nirAlamba.	fileable	L21384 'Self-supported, not relying on others' = nirAlamba; YAT spells lamba with b throughout (Alamba, anAlamba, avalamba, ~25 entries).
D7	YAT	padmavanDu	padmabanDu	L22652 '(nDuH) 2. m. A bee; the sun' = padma-bandhu; sits right after L22651 padmabanDa (b spelled correctly), before padmaBU.	fileable	L22652 sits between padmabanDa (L22651) and padmaBU; ba-slot; 'A bee; the sun' = padma-banDu
D7	YAT	puMbfza	puMvfza	'{#puM-bfza#} (zaH) m. The musk rat' = MW puMvfza 'the musk rat'; YAT spells vfza in ~30 entries (vfza, govfza, nIlavfza), never bfza.	fileable	'(zaH) m. The musk rat'; alphabetized at v-slot between puMliNga and puMScalI; vfza 5x elsewhere, bfza hapax.
D7	YAT	reRuruzita	reRurUzita	YAT L32073: 'Dusty, covered with dust; m. An ass' = reRurUzita (MW L179395); no marker documenting short u.	fileable	Def. 'Dusty, covered with dust; an ass' = reRu-rUzita; both WIL L32501 and MW L179395 read reRurUzita, so YAT alone drops the long U.
D7	YAT	sahaBAbin	sahaBAvin	L41095 '{#saha-BAbin#} {#(vI)#} 5. m. A friend, a partisan.' — the (vI) marker shows stem -BAvin; MW has sahaBAvin. No variant note.	fileable	L41095 inflection printed {(vI)} 5. m. 'A friend' = saha-BAvin; headword b contradicts its own -vI
D7	YAT	spfhanIya	spfhaRIya	'{#spfhanIya#} a. Desirable' = MW spfhaRIya; YAT otherwise applies Ratva throughout (karaRIya, garhaRIya, pariharaRIya, DAraRIya, and neighbour spfhayamARa).	fileable	'a. Desirable' = spfhaRIya; YAT writes karaRIya/smaraRIya/haraRIya with R (varRanIya correctly n, blocked); no v.l. note.
D7	YAT	vAbadUka	vAvadUka	L34160 '(kaH-kA-kaM) a. Talking much.' Immediately followed by L34161 vAvadUkatA 'Garrulity' — YAT's own correct spelling. No v.l. note.	fileable	L34160 sorts after vAlmIka, before vAvadUkatA 'Garrulity' (L34161); a ba-headword would precede vAlmIka
D7	YAT	viqbarAha	viqvarAha	L34609 'viqba_rAha m. A tame hog'; YAT has varAha (L33271), no barAha; Wilson viqvarAha, MW viq-varAha.	fileable	L34609 '(haH) m. A tame hog' = viq-varAha; all 11 other varAha entries in YAT (varAha, mahAvarAha, nfvarAha...) use v.
