# gold_corrections.tsv -- held-out detection-level gold set (H825, ruling D11)
# Generated by detectors/build_gold_set.py from corrections_draft/file_first_verified.tsv.
# class=POSITIVE (PASS/SCAN-FIRST): a genuine fileable typo -- detectors should flag `wrong`.
# class=HARM (EDITORIAL/DNF/DROP): NOT a plain typo -- flagging/"correcting" `wrong` here is
#   the harm case (duplicate/apparatus collision, do-not-file spelling, or already-stale).
row_id	dict	wrong	right	class	verdict
038	YAT	AkzadyUta	akzadyUta	HARM	EDITORIAL
039	YAT	AparAhnika	AparAhRika	POSITIVE	SCAN-FIRST
040	YAT	RaB	naB	POSITIVE	PASS
041	YAT	RiS	niS	HARM	DNF
042	YAT	Rij	nij	POSITIVE	PASS
043	YAT	aSanayA	aSanAyA	POSITIVE	PASS
044	YAT	ambukfta	ambUkfta	POSITIVE	PASS
045	YAT	arsasa	arSasa	POSITIVE	SCAN-FIRST
046	YAT	asaMSakta	asaMsakta	POSITIVE	SCAN-FIRST
047	YAT	avasfzWa	avasfzwa	POSITIVE	PASS
048	YAT	cInapizWa	cInapizwa	POSITIVE	PASS
049	YAT	drAvana	drAvaRa	POSITIVE	PASS
050	YAT	duzwu	duzWu	POSITIVE	PASS
051	YAT	gaDABft	gadABft	HARM	EDITORIAL
052	YAT	hantAkAra	hantakAra	POSITIVE	PASS
053	YAT	lakzmIpala	lakzmIPala	POSITIVE	PASS
054	YAT	mahAmayA	mahAmAyA	POSITIVE	PASS
055	YAT	mayAvin	mAyAvin	HARM	EDITORIAL
056	YAT	pAradfzvan	pAradfSvan	POSITIVE	PASS
057	YAT	pakzipARIyaSAlikA	pakzipAnIyaSAlikA	POSITIVE	PASS
058	YAT	prAkPAlguRa	prAkPAlguna	POSITIVE	PASS
059	YAT	prAyopavizWa	prAyopavizwa	POSITIVE	PASS
060	YAT	pratisidDa	pratizidDa	HARM	EDITORIAL
061	YAT	saNGati	saNgati	POSITIVE	SCAN-FIRST
062	YAT	vESizWya	vESizwya	POSITIVE	PASS
063	YAT	vizwABU	vizWABU	HARM	EDITORIAL
064	YAT	zazWihAyana	zazwihAyana	POSITIVE	PASS
065	ACC	EtareyavrAhmaRa	EtareyabrAhmaRa	POSITIVE	PASS
066	ACC	QuRqi	QuRQi	POSITIVE	PASS
067	ACC	SAkawayanavyAkaraRa	SAkawAyanavyAkaraRa	POSITIVE	PASS
068	ACC	SakawAyanasmfti	SAkawAyanasmfti	POSITIVE	SCAN-FIRST
069	ACC	SatapaTavrAhmaRa	SatapaTabrAhmaRa	POSITIVE	PASS
070	ACC	SravaRadvAdaSIvratakalpa	SrAvaRadvAdaSIvratakalpa	POSITIVE	PASS
071	ACC	bfhannArayaRopanizad	bfhannArAyaRopanizad	POSITIVE	PASS
072	ACC	dakziRamUrtisaMhitA	dakziRAmUrtisaMhitA	POSITIVE	PASS
073	ACC	gAyatrIBAsya	gAyatrIBAzya	HARM	EDITORIAL
074	ACC	jEminIyanyAyamAlAvistAra	jEminIyanyAyamAlAvistara	POSITIVE	PASS
075	ACC	kAwakopanizad	kAWakopanizad	POSITIVE	PASS
076	ACC	mahAnArayaRopanizad	mahAnArAyaRopanizad	POSITIVE	PASS
077	ACC	metrAyaRIyopanizad	mEtrAyaRIyopanizad	POSITIVE	PASS
078	ACC	parAmArTasAra	paramArTasAra	POSITIVE	PASS
079	ACC	rAsayAtraviveka	rAsayAtrAviveka	POSITIVE	SCAN-FIRST
080	ACC	rupagosvAmin	rUpagosvAmin	POSITIVE	PASS
081	ACC	sAttvikavrahmavidyAvilAsa	sAttvikabrahmavidyAvilAsa	POSITIVE	SCAN-FIRST
082	ACC	saMnyasaviDi	saMnyAsaviDi	POSITIVE	PASS
083	ACC	viSvarUpanivanDa	viSvarUpanibanDa	POSITIVE	PASS
084	ACC	vivekacUqAmaRI	vivekacUqAmaRi	POSITIVE	PASS
085	ACC	zadarTasaMkzepa	zaqarTasaMkzepa	POSITIVE	SCAN-FIRST
086	ACC	zadftuvarRana	zaqftuvarRana	POSITIVE	PASS
087	PWG	BAvavanDana	BAvabanDana	POSITIVE	PASS
088	PWG	Dabalapakza	Davalapakza	POSITIVE	PASS
089	PWG	arTavanDa	arTabanDa	POSITIVE	PASS
090	PWG	avakaSa	avakASa	POSITIVE	PASS
091	PWG	biBedayisu	biBedayizu	POSITIVE	PASS
092	PWG	dIvAkIrtya	divAkIrtya	POSITIVE	PASS
093	PWG	duzwu	duzWu	HARM	EDITORIAL
094	PWG	paRavanDa	paRabanDa	POSITIVE	PASS
095	PWG	pfzwavanDu	pfzwabanDu	HARM	EDITORIAL
096	PWG	tarAvalI	tArAvalI	POSITIVE	PASS
097	PWG	tfzitottara	tfzitottarA	POSITIVE	PASS
098	PWG	yajYamus	yajYamuz	POSITIVE	PASS
099	MCI	arunDatIvAwa	arunDatIvawa	POSITIVE	PASS
100	MCI	asvaSiras	aSvaSiras	POSITIVE	PASS
101	MCI	baliha	balIha	POSITIVE	PASS
102	MCI	brahmopanisad	brahmopanizad	POSITIVE	PASS
103	MCI	dakzinApaTa	dakziRApaTa	POSITIVE	PASS
104	MCI	kikawa	kIkawa	POSITIVE	PASS
105	MCI	mAkandi	mAkandI	POSITIVE	PASS
106	MCI	mahAnadi	mahAnadI	POSITIVE	PASS
107	MCI	supratika	supratIka	POSITIVE	PASS
108	MCI	vEsAKa	vESAKa	POSITIVE	PASS
109	MW	Bawwaraka	BawwAraka	HARM	EDITORIAL
110	MW	akzAMsa	akzAMSa	POSITIVE	SCAN-FIRST
111	MW	kattfna	kattfRa	HARM	EDITORIAL
112	MW	prativoDavya	prativoQavya	POSITIVE	SCAN-FIRST
113	SKD	hitAbalI	hitAvalI	POSITIVE	PASS
114	SKD	pUzaBAzA	pUzaBAsA	POSITIVE	PASS
115	SKD	vfzaBAzA	vfzaBAsA	POSITIVE	PASS
116	WIL	boDidruna	boDidruma	POSITIVE	PASS
117	WIL	jAmbabat	jAmbavat	POSITIVE	PASS
118	WIL	kaNkalodya	kaNkaloqya	POSITIVE	PASS
119	PW	Bagama	BagaRa	POSITIVE	PASS
120	PW	hemana	hEmana	HARM	EDITORIAL
121	VCP	camIkara	cAmIkara	POSITIVE	PASS
122	GST	aprakaraRika	aprAkaraRika	POSITIVE	PASS
