# BUR tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
234	SiSAya -> SiSaya	[consensus,spell_correct]	morph✓
234	asvaDyAya -> asvADyAya	[consensus,spell_correct]	morph✓
234	divoja -> divojA	[consensus,spell_correct]	morph✓
233	Ude -> ude	[consensus,spell_correct]	
233	kamawa -> kamaWa	[consensus,intra_dup]	
230	vikrAyika -> vikrayika	[consensus,intra_dup]	
230	yavamaDyA -> yavamaDya	[consensus,intra_dup]	
227	svADya -> svAdya	[consensus,spell_correct]	morph✓
226	citrodana -> citrOdana	[consensus,spell_correct]	morph✓
225	anagnitra -> anagnitrA	[consensus,spell_correct]	morph✓
224	Avfzwa -> avfzwa	[consensus,spell_correct]	morph✓
224	DOrtikA -> DOrtika	[consensus,spell_correct]	morph✓
224	nAryANga -> nAryaNga	[consensus,spell_correct]	morph✓
224	niryAt -> niryat	[consensus,spell_correct]	morph✓
224	ratodvAha -> ratodvaha	[consensus,spell_correct]	morph✓
224	sUtyaSOca -> sUtyASOca	[consensus,spell_correct]	morph✓
224	tOrayaRa -> tOrayARa	[consensus,spell_correct]	morph✓
224	tarAj -> tArAj	[consensus,spell_correct]	morph✓
221	pratitAli -> pratitAlI	[consensus,spell_correct]	morph✓
221	sOmi -> sOmI	[consensus,spell_correct]	morph✓
220	samAsANga -> samAsaNga	[consensus,intra_dup]	
219	AprAmi -> aprAmi	[consensus,spell_correct]	
219	arita -> Arita	[consensus,spell_correct]	
218	anusayAna -> anuSayAna	[consensus,spell_correct]	morph✓
218	ratu -> ratU	[consensus,spell_correct]	morph✓
218	susipra -> suSipra	[consensus,spell_correct]	morph✓
217	surasAzWa -> surasAzwa	[consensus,spell_correct]	morph✓
217	vizwala -> vizWala	[consensus,spell_correct]	morph✓
216	DyAyan -> DyAyam	[consensus,spell_correct]	morph✓
216	KolmuKa -> Kolmuka	[consensus,spell_correct]	morph✓
216	adambitva -> adamBitva	[consensus,spell_correct]	morph✓
216	cAgaleyin -> CAgaleyin	[consensus,spell_correct]	morph✓
216	cakrivat -> cakfvat	[consensus,spell_correct]	morph✓
216	gulaYca -> GulaYca	[consensus,spell_correct]	morph✓
216	nirvezwaRa -> nirvezwana	[consensus,spell_correct]	morph✓
216	parEzwukA -> parezwukA	[consensus,spell_correct]	morph✓
216	svOrasa -> svorasa	[consensus,spell_correct]	morph✓
216	varamukI -> varamuKI	[consensus,spell_correct]	morph✓
216	vfzAyana -> vfzAyaRa	[consensus,spell_correct]	morph✓
216	vreha -> vrEha	[consensus,spell_correct]	morph✓
210	Awaruza -> awaruza	[consensus,intra_dup]	
203	uvASa -> uvAsa	[consensus,intra_dup]	
201	have -> havE	[consensus,spell_correct]	
