# SCH tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
355	Akampya -> akampya	[consensus,intra_dup,spell_correct]	morph✓
355	anavamA -> anavama	[consensus,intra_dup,spell_correct]	morph✓
355	upaDana -> upaDAna	[consensus,intra_dup,spell_correct]	morph✓
355	utkA -> utka	[consensus,intra_dup,spell_correct]	morph✓
354	ASAnta -> aSAnta	[consensus,intra_dup,spell_correct]	morph✓
354	AcAraRa -> AcaraRa	[consensus,intra_dup,spell_correct]	morph✓
354	AvaleKana -> avaleKana	[consensus,intra_dup,spell_correct]	morph✓
354	BArita -> Barita	[consensus,intra_dup,spell_correct]	morph✓
354	Davana -> DAvana	[consensus,intra_dup,spell_correct]	morph✓
354	GoRa -> GoRA	[consensus,intra_dup,spell_correct]	morph✓
354	apIqa -> ApIqa	[consensus,intra_dup,spell_correct]	morph✓
354	apacAya -> apacaya	[consensus,intra_dup,spell_correct]	morph✓
354	avasAra -> avasara	[consensus,intra_dup,spell_correct]	morph✓
354	avaskAra -> avaskara	[consensus,intra_dup,spell_correct]	morph✓
354	gogrAha -> gograha	[consensus,intra_dup,spell_correct]	morph✓
354	kUrcA -> kUrca	[consensus,intra_dup,spell_correct]	morph✓
354	kalAguru -> kAlAguru	[consensus,intra_dup,spell_correct]	morph✓
354	kuwwanA -> kuwwana	[consensus,intra_dup,spell_correct]	morph✓
354	mahila -> mahilA	[consensus,intra_dup,spell_correct]	morph✓
354	pfzatA -> pfzata	[consensus,intra_dup,spell_correct]	morph✓
354	prasADanA -> prasADana	[consensus,intra_dup,spell_correct]	morph✓
354	turaMgamA -> turaMgama	[consensus,intra_dup,spell_correct]	morph✓
354	varANgA -> varANga	[consensus,intra_dup,spell_correct]	morph✓
351	kariRi -> kariRI	[consensus,intra_dup,spell_correct]	morph✓
351	pakzatI -> pakzati	[consensus,intra_dup,spell_correct]	morph✓
351	parImala -> parimala	[consensus,intra_dup,spell_correct]	morph✓
351	pratoli -> pratolI	[consensus,intra_dup,spell_correct]	morph✓
351	upaDI -> upaDi	[consensus,intra_dup,spell_correct]	morph✓
350	ANgula -> aNgula	[consensus,dict_vs_corpus,intra_dup]	
350	pratyagam -> pratyAgam	[consensus,dict_vs_corpus,intra_dup]	
349	Ari -> ari	[consensus,intra_dup,spell_correct]	
348	pfzWi -> pfzwi	[consensus,intra_dup,spell_correct]	morph✓
348	sIlana -> SIlana	[consensus,intra_dup,spell_correct]	morph✓
347	aRUka -> anUka	[consensus,intra_dup,spell_correct]	morph✓
347	akaRqita -> aKaRqita	[consensus,intra_dup,spell_correct]	morph✓
347	anugAnin -> anugAmin	[consensus,intra_dup,spell_correct]	morph✓
347	marubaka -> maruvaka	[consensus,intra_dup,spell_correct]	morph✓
346	Aku -> AKu	[consensus,intra_dup,spell_correct]	morph✓
346	Caraka -> caraka	[consensus,intra_dup,spell_correct]	morph✓
346	GonA -> GoRA	[consensus,intra_dup,spell_correct]	morph✓
346	atiTI -> atiTi	[consensus,intra_dup,spell_correct]	
346	kekasI -> kEkasI	[consensus,intra_dup,spell_correct]	morph✓
346	vEtra -> vetra	[consensus,intra_dup,spell_correct]	morph✓
345	ABogya -> aBogya	[consensus,intra_dup,spell_correct]	morph✓
345	anAtyaya -> anatyaya	[consensus,intra_dup,spell_correct]	morph✓
345	anuvAha -> anuvaha	[consensus,intra_dup,spell_correct]	morph✓
345	anvAyin -> anvayin	[consensus,intra_dup,spell_correct]	morph✓
345	valanA -> valana	[consensus,intra_dup,spell_correct]	morph✓
345	valganA -> valgana	[consensus,intra_dup,spell_correct]	morph✓
344	BrAmaraka -> Bramaraka	[consensus,intra_dup,spell_correct]	morph✓
344	aMSumatPala -> aMSumatPalA	[consensus,intra_dup,spell_correct]	morph✓
344	gopucCA -> gopucCa	[consensus,intra_dup,spell_correct]	morph✓
344	jAwAmAMsI -> jawAmAMsI	[consensus,intra_dup,spell_correct]	morph✓
344	javAnI -> javanI	[consensus,intra_dup,spell_correct]	morph✓
344	kUwaSalmali -> kUwaSAlmali	[consensus,intra_dup,spell_correct]	morph✓
344	lapanA -> lapana	[consensus,intra_dup,spell_correct]	morph✓
344	muka -> mUka	[consensus,dict_vs_corpus,intra_dup]	
344	pravarDanA -> pravarDana	[consensus,intra_dup,spell_correct]	morph✓
344	rajjU -> rajju	[consensus,dict_vs_corpus,spell_correct]	
344	svAvAsinI -> svavAsinI	[consensus,intra_dup,spell_correct]	morph✓
344	vanapriyA -> vanapriya	[consensus,intra_dup,spell_correct]	morph✓
342	aRita -> amita	[consensus,dict_vs_corpus,spell_correct]	
342	aYjalIkArikA -> aYjalikArikA	[consensus,intra_dup,spell_correct]	morph✓
341	apratIGa -> apratiGa	[consensus,intra_dup,spell_correct]	morph✓
341	kaYculIkA -> kaYculikA	[consensus,intra_dup,spell_correct]	morph✓
339	atiSItA -> atiSIta	[consensus,intra_dup,spell_correct]	
338	kAkU -> kAku	[consensus,intra_dup,spell_correct]	morph✓
338	peWa -> pewa	[consensus,intra_dup,spell_correct]	morph✓
338	praSakti -> prasakti	[consensus,intra_dup,spell_correct]	morph✓
337	anOkaha -> anokaha	[consensus,intra_dup,spell_correct]	morph✓
337	kAlapfzwa -> kAlapfzWa	[consensus,intra_dup,spell_correct]	morph✓
337	kawinI -> KawinI	[consensus,intra_dup,spell_correct]	morph✓
336	AvESika -> AveSika	[consensus,intra_dup,spell_correct]	morph✓
336	aBizAdin -> avizAdin	[consensus,intra_dup,spell_correct]	morph✓
336	avipatti -> aBipatti	[consensus,intra_dup,spell_correct]	morph✓
336	bisara -> visara	[consensus,intra_dup,spell_correct]	morph✓
336	vekawika -> vEkawika	[consensus,intra_dup,spell_correct]	morph✓
335	anAkara -> anAkAra	[consensus,intra_dup,spell_correct]	morph✓
335	anapasAra -> anapasara	[consensus,intra_dup,spell_correct]	morph✓
335	vAhikA -> vAhika	[consensus,intra_dup,spell_correct]	morph✓
334	AkArin -> Akarin	[consensus,intra_dup,spell_correct]	morph✓
334	padmanetrA -> padmanetra	[consensus,intra_dup,spell_correct]	morph✓
334	prAlamBana -> pralamBana	[consensus,intra_dup,spell_correct]	morph✓
334	udAsana -> udasana	[consensus,intra_dup,spell_correct]	morph✓
334	upAliNga -> upaliNga	[consensus,intra_dup,spell_correct]	morph✓
332	Bazita -> Basita	[consensus,dict_vs_corpus,intra_dup]	
332	apAm -> apAn	[consensus,intra_dup,spell_correct]	
329	AkzaRika -> akzaRika	[consensus,intra_dup,spell_correct]	
327	atata -> atawa	[consensus,intra_dup,spell_correct]	morph✓
326	kedArika -> kEdArika	[consensus,intra_dup,spell_correct]	morph✓
326	saMdAmita -> saMdAnita	[consensus,intra_dup,spell_correct]	morph✓
325	dvAdaSavarzika -> dvAdaSavArzika	[consensus,intra_dup,spell_correct]	morph✓
324	Ak -> ak	[consensus,intra_dup,spell_correct]	morph✓
324	AtmasaMsTA -> AtmasaMsTa	[consensus,intra_dup,spell_correct]	morph✓
324	asiDAra -> asiDArA	[consensus,intra_dup,spell_correct]	morph✓
324	avanaha -> avanAha	[consensus,intra_dup,spell_correct]	morph✓
324	balAla -> balala	[consensus,intra_dup,spell_correct]	morph✓
324	ekAkara -> ekakara	[consensus,intra_dup,spell_correct]	morph✓
324	ekavarRA -> ekavarRa	[consensus,intra_dup,spell_correct]	morph✓
324	gokulikA -> gokulika	[consensus,intra_dup,spell_correct]	morph✓
324	jIvAjIva -> jIvajIva	[consensus,intra_dup,spell_correct]	morph✓
324	kAkAndI -> kAkandI	[consensus,intra_dup,spell_correct]	morph✓
324	kAkara -> kAkAra	[consensus,intra_dup,spell_correct]	morph✓
324	kutUhalitA -> kutUhalita	[consensus,intra_dup,spell_correct]	morph✓
324	pawaliman -> pAwaliman	[consensus,intra_dup,spell_correct]	morph✓
324	uccAlana -> uccalana	[consensus,intra_dup,spell_correct]	morph✓
322	atiSri -> atiSrI	[consensus,intra_dup,spell_correct]	morph✓
321	jANgalIka -> jANgalika	[consensus,intra_dup,spell_correct]	morph✓
321	rajanijala -> rajanIjala	[consensus,intra_dup,spell_correct]	morph✓
320	aDyavasAyitA -> aDyavasAyita	[consensus,intra_dup,spell_correct]	
319	anABu -> anABU	[consensus,intra_dup,spell_correct]	morph✓
319	udDuzita -> udDUzita	[consensus,intra_dup,spell_correct]	morph✓
318	ASikA -> AsikA	[consensus,intra_dup,spell_correct]	morph✓
318	kawapru -> kawaprU	[consensus,intra_dup,spell_correct]	morph✓
318	samavaSaraRa -> samavasaraRa	[consensus,intra_dup,spell_correct]	morph✓
318	viSvakadrU -> viSvakadru	[consensus,intra_dup,spell_correct]	morph✓
317	anavya -> aRavya	[consensus,intra_dup,spell_correct]	morph✓
317	baWara -> vaWara	[consensus,intra_dup,spell_correct]	morph✓
316	taNkaka -> waNkaka	[consensus,intra_dup,spell_correct]	morph✓
310	akampra -> Akampra	[consensus,intra_dup,spell_correct]	
310	kAlita -> kalita	[consensus,intra_dup,spell_correct]	
309	ADyeya -> aDyeya	[consensus,intra_dup,spell_correct]	
309	nilayin -> nilAyin	[consensus,intra_dup,spell_correct]	
304	atisvan -> atiSvan	[consensus,intra_dup,spell_correct]	
271	girI -> giri	[consensus,spell_correct]	morph✓
269	BABa -> BAva	[dict_vs_corpus,spell_correct]	morph✓
268	jAnana -> janana	[dict_vs_corpus,spell_correct]	morph✓
267	yudda -> yudDa	[consensus,spell_correct]	morph✓
266	AcCa -> acCa	[dict_vs_corpus,spell_correct]	morph✓
266	Bastra -> vastra	[consensus,spell_correct]	morph✓
266	anuttAra -> anuttara	[dict_vs_corpus,spell_correct]	morph✓
266	dArika -> dArikA	[dict_vs_corpus,spell_correct]	morph✓
266	svarRA -> svarRa	[dict_vs_corpus,spell_correct]	morph✓
266	vAhA -> vAha	[dict_vs_corpus,spell_correct]	morph✓
264	AmrA -> Amra	[consensus,spell_correct]	morph✓
264	Aruci -> aruci	[consensus,spell_correct]	morph✓
264	avasana -> avasAna	[consensus,spell_correct]	morph✓
264	guhyA -> guhya	[consensus,spell_correct]	morph✓
264	jAtAvedas -> jAtavedas	[consensus,spell_correct]	morph✓
264	samIraRA -> samIraRa	[consensus,spell_correct]	morph✓
264	svanA -> svana	[consensus,spell_correct]	morph✓
264	upadeSA -> upadeSa	[consensus,spell_correct]	morph✓
263	aramya -> araRya	[dict_vs_corpus,spell_correct]	morph✓
262	pattI -> patti	[dict_vs_corpus,spell_correct]	morph✓
261	cedI -> cedi	[consensus,spell_correct]	morph✓
261	nfpatI -> nfpati	[consensus,spell_correct]	morph✓
258	atiBft -> ativft	[dict_vs_corpus,spell_correct]	morph✓
258	kAmarupin -> kAmarUpin	[consensus,spell_correct]	morph✓
258	parAsara -> parASara	[consensus,spell_correct]	morph✓
258	pawU -> pawu	[consensus,spell_correct]	morph✓
258	smaSAna -> SmaSAna	[consensus,spell_correct]	morph✓
258	srotra -> Srotra	[consensus,spell_correct]	morph✓
258	usIra -> uSIra	[consensus,spell_correct]	morph✓
256	anulepaRa -> anulepana	[consensus,spell_correct]	morph✓
256	avala -> abala	[consensus,spell_correct]	morph✓
256	ayama -> ayana	[consensus,spell_correct]	morph✓
256	rawi -> rati	[consensus,spell_correct]	morph✓
256	sEmika -> sEnika	[consensus,spell_correct]	morph✓
255	arpaRA -> arpaRa	[consensus,spell_correct]	morph✓
255	danturA -> dantura	[consensus,spell_correct]	morph✓
255	kArawaka -> karawaka	[consensus,intra_dup]	morph✓
255	karzika -> kArzika	[consensus,spell_correct]	morph✓
255	kfzRAjinA -> kfzRAjina	[consensus,spell_correct]	morph✓
255	udAnta -> udanta	[consensus,spell_correct]	morph✓
255	upAroDa -> uparoDa	[consensus,spell_correct]	morph✓
255	utkArika -> utkArikA	[consensus,spell_correct]	morph✓
255	utsadana -> utsAdana	[consensus,spell_correct]	morph✓
254	Alana -> AlAna	[consensus,spell_correct]	morph✓
254	ApyAyanA -> ApyAyana	[consensus,spell_correct]	morph✓
254	Atasa -> atasa	[consensus,spell_correct]	morph✓
254	ahAta -> ahata	[consensus,spell_correct]	morph✓
254	amarzitA -> amarzita	[consensus,spell_correct]	morph✓
254	avicAritA -> avicArita	[consensus,spell_correct]	morph✓
254	ayoDana -> AyoDana	[consensus,spell_correct]	morph✓
254	bfhannaqA -> bfhannaqa	[consensus,spell_correct]	morph✓
254	cAndrakAnta -> candrakAnta	[consensus,spell_correct]	morph✓
254	drutA -> druta	[consensus,spell_correct]	morph✓
254	hutavAha -> hutavaha	[consensus,spell_correct]	morph✓
254	kAlaDOta -> kalaDOta	[consensus,spell_correct]	morph✓
254	kAmAcAra -> kAmacAra	[consensus,spell_correct]	morph✓
254	kurAra -> kurara	[consensus,spell_correct]	morph✓
254	mAnoBava -> manoBava	[consensus,spell_correct]	morph✓
254	melanA -> melana	[consensus,spell_correct]	morph✓
254	pAradArikA -> pAradArika	[consensus,spell_correct]	morph✓
254	paYcASara -> paYcaSara	[consensus,spell_correct]	morph✓
254	parya -> pArya	[consensus,spell_correct]	morph✓
254	prakAmya -> prAkAmya	[consensus,spell_correct]	morph✓
254	praticCAya -> praticCAyA	[consensus,spell_correct]	morph✓
254	rAjadana -> rAjAdana	[consensus,spell_correct]	morph✓
254	sAhasya -> sahasya	[consensus,spell_correct]	morph✓
254	saMkocanA -> saMkocana	[consensus,spell_correct]	morph✓
254	sahAsya -> sahasya	[consensus,spell_correct]	morph✓
254	uccAwanA -> uccAwana	[consensus,spell_correct]	morph✓
254	unmIlanA -> unmIlana	[consensus,spell_correct]	morph✓
254	vezwanA -> vezwana	[consensus,spell_correct]	morph✓
254	vivartanA -> vivartana	[consensus,spell_correct]	morph✓
252	ahina -> ahIna	[consensus,intra_dup]	morph✓
252	jAGani -> jAGanI	[consensus,spell_correct]	morph✓
252	kandali -> kandalI	[consensus,intra_dup]	morph✓
251	BArati -> BAratI	[consensus,spell_correct]	morph✓
251	SitAMSu -> SItAMSu	[consensus,spell_correct]	morph✓
251	aBivyaktI -> aBivyakti	[consensus,spell_correct]	morph✓
251	gajapippali -> gajapippalI	[consensus,spell_correct]	morph✓
251	guptI -> gupti	[consensus,spell_correct]	morph✓
251	jalaDI -> jalaDi	[consensus,spell_correct]	morph✓
251	kOSiki -> kOSikI	[consensus,spell_correct]	morph✓
251	mfganABI -> mfganABi	[consensus,spell_correct]	morph✓
251	paktI -> pakti	[consensus,spell_correct]	morph✓
251	parIBoga -> pariBoga	[consensus,spell_correct]	morph✓
251	pravAhIkA -> pravAhikA	[consensus,spell_correct]	morph✓
251	saMyAtI -> saMyAti	[consensus,spell_correct]	morph✓
251	sapatni -> sapatnI	[consensus,spell_correct]	morph✓
251	virAsana -> vIrAsana	[consensus,spell_correct]	morph✓
248	Duti -> DUti	[consensus,spell_correct]	morph✓
248	brahmabanDU -> brahmabanDu	[consensus,spell_correct]	morph✓
248	gonaSa -> gonasa	[consensus,spell_correct]	morph✓
248	kUlAla -> kulAla	[consensus,spell_correct]	morph✓
248	maYjU -> maYju	[consensus,spell_correct]	morph✓
248	pratanU -> pratanu	[consensus,spell_correct]	morph✓
247	apfzWa -> apfzwa	[consensus,spell_correct]	morph✓
247	ekaDyam -> EkaDyam	[consensus,spell_correct]	morph✓
247	kftaDAra -> kftadAra	[consensus,spell_correct]	morph✓
247	mAYjizwa -> mAYjizWa	[consensus,spell_correct]	morph✓
246	Cawaka -> cawaka	[consensus,spell_correct]	morph✓
246	JaraRa -> jaraRa	[consensus,spell_correct]	morph✓
246	kiNkinI -> kiNkiRI	[consensus,spell_correct]	morph✓
246	kzveda -> kzveqa	[consensus,spell_correct]	morph✓
246	mOza -> moza	[consensus,spell_correct]	morph✓
246	parisad -> parizad	[consensus,spell_correct]	morph✓
246	qamBodBava -> damBodBava	[consensus,spell_correct]	morph✓
246	tuSita -> tuzita	[consensus,spell_correct]	morph✓
246	upalamba -> upalamBa	[consensus,spell_correct]	morph✓
246	urubUka -> uruvUka	[consensus,spell_correct]	morph✓
246	valiBuj -> baliBuj	[consensus,spell_correct]	morph✓
246	viSrARa -> viSrAma	[consensus,spell_correct]	morph✓
245	AyamAna -> Ayamana	[consensus,spell_correct]	morph✓
245	IzADara -> IzADAra	[intra_dup,spell_correct]	morph✓
245	jAvita -> javita	[intra_dup,spell_correct]	morph✓
245	upAcaraRa -> upacaraRa	[consensus,spell_correct]	morph✓
244	Alepaka -> alepaka	[consensus,spell_correct]	morph✓
244	Amantraka -> amantraka	[consensus,spell_correct]	morph✓
244	AnuzaNgin -> anuzaNgin	[consensus,spell_correct]	morph✓
244	ArohaRikA -> ArohaRika	[consensus,spell_correct]	morph✓
244	SAkawikA -> SakawikA	[consensus,spell_correct]	morph✓
244	SAtamaKa -> SatamaKa	[consensus,spell_correct]	morph✓
244	aBartfka -> aBartfkA	[consensus,spell_correct]	morph✓
244	aByudayika -> AByudayika	[consensus,spell_correct]	morph✓
244	alIQa -> AlIQa	[consensus,spell_correct]	morph✓
244	anantarajA -> anantaraja	[consensus,spell_correct]	morph✓
244	arDAhAra -> arDahAra	[consensus,spell_correct]	morph✓
244	araya -> arAya	[consensus,spell_correct]	morph✓
244	arkakAnta -> arkakAntA	[consensus,spell_correct]	morph✓
244	ayavana -> Ayavana	[consensus,spell_correct]	morph✓
244	bazkayARI -> bazkayaRI	[consensus,spell_correct]	morph✓
244	cAturikA -> caturikA	[consensus,spell_correct]	morph✓
244	cAturmasI -> cAturmAsI	[consensus,spell_correct]	morph✓
244	citraleKa -> citraleKA	[consensus,spell_correct]	morph✓
244	devejyA -> devejya	[consensus,spell_correct]	morph✓
244	gfhameDA -> gfhameDa	[consensus,spell_correct]	morph✓
244	iDmabarhis -> iDmAbarhis	[intra_dup,spell_correct]	morph✓
244	jaGanePala -> jaGanePalA	[consensus,spell_correct]	morph✓
244	kAYcikA -> kAYcika	[consensus,spell_correct]	morph✓
244	kAlayApanA -> kAlayApana	[consensus,spell_correct]	morph✓
244	kaYcanaka -> kAYcanaka	[consensus,spell_correct]	morph✓
244	kamalin -> kAmalin	[consensus,spell_correct]	morph✓
244	karkaru -> karkAru	[consensus,spell_correct]	morph✓
244	krayaka -> krAyaka	[consensus,spell_correct]	morph✓
244	mAtsyabanDa -> matsyabanDa	[consensus,spell_correct]	morph✓
244	mahAsurA -> mahAsura	[consensus,spell_correct]	morph✓
244	nIrajaskA -> nIrajaska	[consensus,spell_correct]	morph✓
244	nagarAja -> nAgarAja	[consensus,spell_correct]	morph✓
244	nizWIvitA -> nizWIvita	[consensus,spell_correct]	morph✓
244	nizpIqanA -> nizpIqana	[consensus,spell_correct]	morph✓
244	padatrARa -> pAdatrARa	[consensus,spell_correct]	morph✓
244	prAntAra -> prAntara	[consensus,spell_correct]	morph✓
244	prabADanA -> prabADana	[consensus,spell_correct]	morph✓
244	prativarRikA -> prativarRika	[consensus,spell_correct]	morph✓
244	protsAraRA -> protsAraRa	[consensus,spell_correct]	morph✓
244	raNkA -> raNka	[consensus,spell_correct]	morph✓
244	sAmala -> samala	[consensus,spell_correct]	morph✓
244	saMSrAvaRa -> saMSravaRa	[consensus,spell_correct]	morph✓
244	samAnIka -> samanIka	[consensus,spell_correct]	morph✓
244	tAlAvacAra -> tAlAvacara	[consensus,spell_correct]	morph✓
244	tAtkAla -> tatkAla	[consensus,spell_correct]	morph✓
244	udAhara -> udAhAra	[consensus,spell_correct]	morph✓
244	uddaRqA -> uddaRqa	[consensus,spell_correct]	morph✓
244	vAgurikA -> vAgurika	[consensus,spell_correct]	morph✓
244	valAna -> valana	[consensus,spell_correct]	morph✓
244	vanAvAsa -> vanavAsa	[consensus,spell_correct]	morph✓
244	vaneja -> vanejA	[consensus,spell_correct]	morph✓
244	vidDA -> vidDa	[consensus,spell_correct]	morph✓
242	sOraBi -> sOraBI	[consensus,spell_correct]	morph✓
241	ASuSukzaRI -> ASuSukzaRi	[consensus,spell_correct]	morph✓
241	Ijya -> ijya	[consensus,spell_correct]	morph✓
241	avanatI -> avanati	[consensus,spell_correct]	morph✓
241	ganDamAMsi -> ganDamAMsI	[consensus,spell_correct]	morph✓
241	karRisuta -> karRIsuta	[consensus,spell_correct]	morph✓
241	mAnasIka -> mAnasika	[consensus,spell_correct]	morph✓
241	praRAli -> praRAlI	[consensus,spell_correct]	morph✓
241	rajanimuKa -> rajanImuKa	[consensus,spell_correct]	morph✓
241	rajanipati -> rajanIpati	[consensus,spell_correct]	morph✓
241	saBApatI -> saBApati	[consensus,spell_correct]	morph✓
241	vasatIvari -> vasatIvarI	[consensus,spell_correct]	morph✓
241	yaSomati -> yaSomatI	[consensus,spell_correct]	morph✓
240	AliNganA -> AliNgana	[consensus,intra_dup]	
240	SfNgArA -> SfNgAra	[consensus,intra_dup]	
240	alAka -> alaka	[consensus,intra_dup]	
240	avAlamba -> avalamba	[consensus,intra_dup]	
240	avaGozaRA -> avaGozaRa	[consensus,intra_dup]	
240	avapana -> Avapana	[consensus,intra_dup]	
240	avasAdanA -> avasAdana	[consensus,intra_dup]	
240	azWIla -> azWIlA	[consensus,intra_dup]	
240	bArbara -> barbara	[consensus,intra_dup]	
240	baliSa -> bAliSa	[consensus,intra_dup]	
240	kalindI -> kAlindI	[consensus,intra_dup]	
240	manota -> manotA	[consensus,intra_dup]	
240	pAYjara -> paYjara	[consensus,intra_dup]	
240	sAmakza -> samakza	[consensus,intra_dup]	
240	saMyati -> saMyAti	[consensus,intra_dup]	
240	upacaraka -> upacAraka	[consensus,intra_dup]	
240	visPuliNgA -> visPuliNga	[consensus,intra_dup]	
240	yajYadattA -> yajYadatta	[consensus,intra_dup]	
239	sAmada -> samada	[consensus,spell_correct]	
239	virahitA -> virahita	[consensus,spell_correct]	
238	aSakala -> asakala	[consensus,spell_correct]	morph✓
238	gavAsana -> gavASana	[consensus,spell_correct]	morph✓
238	jitakAsin -> jitakASin	[consensus,spell_correct]	morph✓
238	kiMsAru -> kiMSAru	[consensus,spell_correct]	morph✓
238	niHsUka -> niHSUka	[consensus,spell_correct]	morph✓
238	piRqAlU -> piRqAlu	[consensus,spell_correct]	morph✓
238	virukza -> virUkza	[consensus,spell_correct]	morph✓
237	AGAwana -> AGAtana	[consensus,spell_correct]	morph✓
237	AviD -> Avid	[consensus,spell_correct]	morph✓
237	aBilamba -> avilamba	[consensus,spell_correct]	morph✓
237	diRqika -> qiRqika	[consensus,spell_correct]	morph✓
237	sAmiDeni -> sAmiDenI	[consensus,intra_dup]	
237	vADika -> vAdika	[consensus,spell_correct]	morph✓
237	vAntI -> vAnti	[consensus,intra_dup]	
236	SeKarika -> SEKarika	[consensus,spell_correct]	morph✓
236	aBisaMvAdin -> avisaMvAdin	[consensus,spell_correct]	morph✓
236	avizpazwa -> avispazwa	[consensus,spell_correct]	morph✓
236	bahitra -> vahitra	[consensus,spell_correct]	morph✓
236	kAkanantikA -> kAkaRantikA	[consensus,spell_correct]	morph✓
236	nadIBft -> nadIvft	[consensus,spell_correct]	morph✓
236	nirGAwana -> nirGAtana	[consensus,spell_correct]	morph✓
236	padmakoza -> padmakoSa	[consensus,spell_correct]	morph✓
236	powana -> potana	[consensus,spell_correct]	morph✓
236	tOlana -> tolana	[consensus,spell_correct]	morph✓
236	vivedana -> viBedana	[consensus,spell_correct]	morph✓
235	kApotikA -> kapotikA	[consensus,spell_correct]	morph✓
235	pUrRacandrA -> pUrRacandra	[consensus,spell_correct]	morph✓
235	ullasana -> ullAsana	[consensus,intra_dup]	morph✓
234	ApasnAna -> apasnAna	[consensus,spell_correct]	morph✓
234	AryARI -> aryARI	[consensus,spell_correct]	morph✓
234	BavaBavana -> BavaBAvana	[consensus,spell_correct]	morph✓
234	DAnuza -> Danuza	[consensus,spell_correct]	morph✓
234	Sastrita -> SAstrita	[consensus,spell_correct]	morph✓
234	SivAPala -> SivAPalA	[consensus,spell_correct]	morph✓
234	UhanA -> Uhana	[consensus,spell_correct]	morph✓
234	aByAcara -> aByAcAra	[consensus,spell_correct]	morph✓
234	antarjAtA -> antarjAta	[consensus,spell_correct]	morph✓
234	apARigrahaRA -> apARigrahaRa	[consensus,spell_correct]	morph✓
234	boDakAra -> boDakara	[consensus,spell_correct]	morph✓
234	dviradantaka -> dviradAntaka	[consensus,spell_correct]	morph✓
234	kAkanIla -> kAkanIlA	[consensus,spell_correct]	morph✓
234	kuhUrAva -> kuhUrava	[consensus,spell_correct]	morph✓
234	kzvelanA -> kzvelana	[consensus,spell_correct]	morph✓
234	naKalu -> naKAlu	[consensus,spell_correct]	morph✓
234	nikaraRa -> nikAraRa	[consensus,spell_correct]	morph✓
234	patAkikA -> patAkika	[consensus,spell_correct]	morph✓
234	raNgAjIvaka -> raNgajIvaka	[consensus,spell_correct]	morph✓
234	sAmAloka -> samAloka	[consensus,spell_correct]	morph✓
234	svAduka -> svAdukA	[consensus,spell_correct]	morph✓
234	utpalavarRa -> utpalavarRA	[consensus,spell_correct]	morph✓
234	vellika -> vellikA	[consensus,spell_correct]	morph✓
233	Samada -> samada	[consensus,spell_correct]	
232	ApastamBa -> Apastamba	[consensus,intra_dup]	
