# BHS tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
355	aDyASana -> aDyaSana	[consensus,intra_dup,spell_correct]	morph✓
355	anAgArikA -> anagArikA	[consensus,intra_dup,spell_correct]	morph✓
355	anAvatapta -> anavatapta	[consensus,intra_dup,spell_correct]	morph✓
355	anayaka -> anAyaka	[consensus,intra_dup,spell_correct]	morph✓
355	anuSAsanA -> anuSAsana	[consensus,intra_dup,spell_correct]	morph✓
355	anulomika -> Anulomika	[consensus,intra_dup,spell_correct]	morph✓
355	anupAlanA -> anupAlana	[consensus,intra_dup,spell_correct]	morph✓
355	anuvartanA -> anuvartana	[consensus,intra_dup,spell_correct]	morph✓
355	apakarzaRA -> apakarzaRa	[consensus,intra_dup,spell_correct]	morph✓
355	dakzya -> dAkzya	[consensus,intra_dup,spell_correct]	morph✓
355	upADAna -> upaDAna	[consensus,intra_dup,spell_correct]	morph✓
354	ABasvara -> ABAsvara	[consensus,intra_dup,spell_correct]	morph✓
354	AnuSaMsa -> anuSaMsa	[consensus,intra_dup,spell_correct]	morph✓
354	ArUpin -> arUpin	[consensus,intra_dup,spell_correct]	morph✓
354	Atireka -> atireka	[consensus,intra_dup,spell_correct]	morph✓
354	anantarya -> Anantarya	[consensus,intra_dup,spell_correct]	morph✓
354	brahmadattA -> brahmadatta	[consensus,intra_dup,spell_correct]	morph✓
354	carakA -> caraka	[consensus,intra_dup,spell_correct]	morph✓
354	dfzwA -> dfzwa	[consensus,intra_dup,spell_correct]	morph✓
354	jatya -> jAtya	[consensus,intra_dup,spell_correct]	morph✓
354	kAwaka -> kawaka	[consensus,intra_dup,spell_correct]	morph✓
354	kokanAda -> kokanada	[consensus,intra_dup,spell_correct]	morph✓
354	mAskarin -> maskarin	[consensus,intra_dup,spell_correct]	morph✓
354	maRqavya -> mARqavya	[consensus,intra_dup,spell_correct]	morph✓
354	mahApadmA -> mahApadma	[consensus,intra_dup,spell_correct]	morph✓
354	paRqara -> pARqara	[consensus,intra_dup,spell_correct]	morph✓
354	praBakara -> praBAkara	[consensus,intra_dup,spell_correct]	morph✓
354	prajYApti -> prajYapti	[consensus,intra_dup,spell_correct]	morph✓
354	prasAdika -> prAsAdika	[consensus,intra_dup,spell_correct]	morph✓
354	rutA -> ruta	[consensus,intra_dup,spell_correct]	morph✓
354	saBikA -> saBika	[consensus,intra_dup,spell_correct]	morph✓
354	samatikrAma -> samatikrama	[consensus,intra_dup,spell_correct]	morph✓
354	sarvakAlika -> sArvakAlika	[consensus,intra_dup,spell_correct]	morph✓
354	supArSvA -> supArSva	[consensus,intra_dup,spell_correct]	morph✓
354	suprabudDA -> suprabudDa	[consensus,intra_dup,spell_correct]	morph✓
354	vajraDarA -> vajraDara	[consensus,intra_dup,spell_correct]	morph✓
354	vijYapana -> vijYApana	[consensus,intra_dup,spell_correct]	morph✓
351	cArIkA -> cArikA	[consensus,intra_dup,spell_correct]	morph✓
351	manasIkAra -> manasikAra	[consensus,intra_dup,spell_correct]	morph✓
351	nAlIkera -> nAlikera	[consensus,intra_dup,spell_correct]	morph✓
351	suSila -> suSIla	[consensus,intra_dup,spell_correct]	morph✓
350	ASIvizA -> ASIviza	[consensus,dict_vs_corpus,intra_dup]	
350	madrI -> mAdrI	[consensus,dict_vs_corpus,intra_dup]	
350	sTAvarA -> sTAvara	[consensus,dict_vs_corpus,intra_dup]	
348	duzya -> dUzya	[consensus,intra_dup,spell_correct]	morph✓
348	kUhaka -> kuhaka	[consensus,intra_dup,spell_correct]	morph✓
348	pariSara -> parisara	[consensus,intra_dup,spell_correct]	morph✓
348	saraBaNga -> SaraBaNga	[consensus,intra_dup,spell_correct]	morph✓
348	viruQaka -> virUQaka	[consensus,intra_dup,spell_correct]	morph✓
346	CaRqikA -> caRqikA	[consensus,intra_dup,spell_correct]	morph✓
346	hUma -> hURa	[consensus,intra_dup,spell_correct]	morph✓
346	hemantika -> hEmantika	[consensus,intra_dup,spell_correct]	morph✓
346	nAdikA -> nAqikA	[consensus,intra_dup,spell_correct]	morph✓
346	praRada -> pramada	[consensus,intra_dup,spell_correct]	morph✓
346	pratiBARa -> pratiBAna	[consensus,intra_dup,spell_correct]	morph✓
346	saMGata -> saMgata	[consensus,intra_dup,spell_correct]	morph✓
345	anABiBUta -> anaBiBUta	[consensus,intra_dup,spell_correct]	morph✓
345	valganA -> valgana	[consensus,intra_dup,spell_correct]	morph✓
344	Agatika -> agatika	[consensus,intra_dup,spell_correct]	morph✓
344	AvarjanA -> Avarjana	[consensus,intra_dup,spell_correct]	morph✓
344	aByudDAraRa -> aByudDaraRa	[consensus,intra_dup,spell_correct]	morph✓
344	alindA -> alinda	[consensus,intra_dup,spell_correct]	morph✓
344	avakAra -> avakara	[consensus,intra_dup,spell_correct]	morph✓
344	cundA -> cunda	[consensus,intra_dup,spell_correct]	morph✓
344	dardarA -> dardara	[consensus,intra_dup,spell_correct]	morph✓
344	drAmiqa -> dramiqa	[consensus,intra_dup,spell_correct]	morph✓
344	guRAkarA -> guRAkara	[consensus,intra_dup,spell_correct]	morph✓
344	karpAsika -> kArpAsika	[consensus,intra_dup,spell_correct]	morph✓
344	mahArAjA -> mahArAja	[consensus,intra_dup,spell_correct]	morph✓
344	pArihARa -> parihARa	[consensus,intra_dup,spell_correct]	morph✓
344	parzadya -> pArzadya	[consensus,intra_dup,spell_correct]	morph✓
344	saMgrahaka -> saMgrAhaka	[consensus,intra_dup,spell_correct]	morph✓
344	samantaBadrA -> samantaBadra	[consensus,intra_dup,spell_correct]	morph✓
344	suviSudDA -> suviSudDa	[consensus,intra_dup,spell_correct]	morph✓
344	upasaMhAraRa -> upasaMharaRa	[consensus,intra_dup,spell_correct]	morph✓
344	vasumitrA -> vasumitra	[consensus,intra_dup,spell_correct]	morph✓
344	viBUzitA -> viBUzita	[consensus,intra_dup,spell_correct]	morph✓
343	kAsi -> kASi	[consensus,intra_dup,spell_correct]	
341	vImati -> vimati	[consensus,intra_dup,spell_correct]	morph✓
339	cAri -> cari	[consensus,intra_dup,spell_correct]	
338	SAntara -> sAntara	[consensus,intra_dup,spell_correct]	morph✓
338	kOSIdya -> kOsIdya	[consensus,intra_dup,spell_correct]	morph✓
338	pariSrAvaRa -> parisrAvaRa	[consensus,intra_dup,spell_correct]	morph✓
338	parisPUwa -> parisPuwa	[consensus,intra_dup,spell_correct]	morph✓
338	suRqika -> SuRqika	[consensus,intra_dup,spell_correct]	morph✓
337	anAlamBa -> anAlamba	[consensus,intra_dup,spell_correct]	morph✓
336	opaDika -> OpaDika	[consensus,intra_dup,spell_correct]	morph✓
336	tremAsika -> trEmAsika	[consensus,intra_dup,spell_correct]	morph✓
336	vEmacitra -> vemacitra	[consensus,intra_dup,spell_correct]	morph✓
336	vaRIpaka -> vanIpaka	[consensus,intra_dup,spell_correct]	morph✓
336	vemAtra -> vEmAtra	[consensus,intra_dup,spell_correct]	morph✓
335	ajitabala -> ajitabalA	[consensus,intra_dup,spell_correct]	morph✓
335	vAhikA -> vAhika	[consensus,intra_dup,spell_correct]	morph✓
334	Ajanya -> ajanya	[consensus,intra_dup,spell_correct]	morph✓
334	bahuSrutya -> bAhuSrutya	[consensus,intra_dup,spell_correct]	morph✓
334	upaSAntA -> upaSAnta	[consensus,intra_dup,spell_correct]	morph✓
334	utpalAvarRA -> utpalavarRA	[consensus,intra_dup,spell_correct]	morph✓
331	citrikAra -> citrIkAra	[consensus,intra_dup,spell_correct]	morph✓
331	nIGa -> niGa	[consensus,intra_dup,spell_correct]	morph✓
331	nandIGoza -> nandiGoza	[consensus,intra_dup,spell_correct]	morph✓
329	lAqita -> laqita	[consensus,intra_dup,spell_correct]	
328	usIragiri -> uSIragiri	[consensus,intra_dup,spell_correct]	morph✓
326	golika -> gOlika	[consensus,intra_dup,spell_correct]	morph✓
326	vindusAra -> bindusAra	[consensus,intra_dup,spell_correct]	morph✓
325	akAca -> akaca	[consensus,intra_dup,spell_correct]	morph✓
325	anantavikrAmin -> anantavikramin	[consensus,intra_dup,spell_correct]	morph✓
325	atimAyA -> atimAya	[consensus,intra_dup,spell_correct]	morph✓
324	AnuSAsti -> anuSAsti	[consensus,intra_dup,spell_correct]	morph✓
324	DArmarAjikA -> DarmarAjikA	[consensus,intra_dup,spell_correct]	morph✓
324	DvajAgrakeyUrA -> DvajAgrakeyUra	[consensus,intra_dup,spell_correct]	morph✓
324	Opanayika -> OpanAyika	[consensus,intra_dup,spell_correct]	morph✓
324	SantaSrI -> SAntaSrI	[consensus,intra_dup,spell_correct]	morph✓
324	aByavakASika -> AByavakASika	[consensus,intra_dup,spell_correct]	morph✓
324	gavA -> gava	[consensus,intra_dup,spell_correct]	morph✓
324	hAkkAra -> hakkAra	[consensus,intra_dup,spell_correct]	morph✓
324	jAnayati -> janayati	[consensus,intra_dup,spell_correct]	morph✓
324	jyotizpraBA -> jyotizpraBa	[consensus,intra_dup,spell_correct]	morph✓
324	kaSyapIya -> kASyapIya	[consensus,intra_dup,spell_correct]	morph✓
324	kambojaka -> kAmbojaka	[consensus,intra_dup,spell_correct]	morph✓
324	netrikA -> netrika	[consensus,intra_dup,spell_correct]	morph✓
324	nirupADiSeza -> nirupaDiSeza	[consensus,intra_dup,spell_correct]	morph✓
324	pArihAraka -> parihAraka	[consensus,intra_dup,spell_correct]	morph✓
324	paYcacIrA -> paYcacIra	[consensus,intra_dup,spell_correct]	morph✓
324	paYcagatika -> pAYcagatika	[consensus,intra_dup,spell_correct]	morph✓
324	prAhita -> prahita	[consensus,intra_dup,spell_correct]	morph✓
324	ratnamudra -> ratnamudrA	[consensus,intra_dup,spell_correct]	morph✓
324	samantapraBA -> samantapraBa	[consensus,intra_dup,spell_correct]	morph✓
324	samutkarzika -> sAmutkarzika	[consensus,intra_dup,spell_correct]	morph✓
324	suKAvahA -> suKAvaha	[consensus,intra_dup,spell_correct]	morph✓
324	vaSIBUtA -> vaSIBUta	[consensus,intra_dup,spell_correct]	morph✓
324	vardala -> vArdala	[consensus,intra_dup,spell_correct]	morph✓
324	vastuvidyA -> vAstuvidyA	[consensus,intra_dup,spell_correct]	morph✓
324	yaTAsaMstarika -> yATAsaMstarika	[consensus,intra_dup,spell_correct]	morph✓
321	SItiBAva -> SItIBAva	[consensus,intra_dup,spell_correct]	morph✓
321	hirI -> hiri	[consensus,intra_dup,spell_correct]	morph✓
321	sIMhaka -> siMhaka	[consensus,intra_dup,spell_correct]	morph✓
319	samAdapaka -> samAdApaka	[consensus,intra_dup,spell_correct]	
316	EkAsanika -> ekAsanika	[consensus,intra_dup,spell_correct]	morph✓
316	araRemi -> aranemi	[consensus,intra_dup,spell_correct]	morph✓
316	dEvakulika -> devakulika	[consensus,intra_dup,spell_correct]	morph✓
316	lokAkza -> lOkAkza	[consensus,intra_dup,spell_correct]	morph✓
316	naNgula -> maNgula	[consensus,intra_dup,spell_correct]	morph✓
316	rOruka -> roruka	[consensus,intra_dup,spell_correct]	morph✓
316	soratya -> sOratya	[consensus,intra_dup,spell_correct]	morph✓
316	todeya -> tOdeya	[consensus,intra_dup,spell_correct]	morph✓
316	velu -> Belu	[consensus,intra_dup,spell_correct]	morph✓
316	vfsikA -> bfsikA	[consensus,intra_dup,spell_correct]	morph✓
316	viniSrita -> vimiSrita	[consensus,intra_dup,spell_correct]	morph✓
311	koqa -> Koqa	[consensus,intra_dup,spell_correct]	
309	AntraguRa -> antraguRa	[consensus,intra_dup,spell_correct]	
309	rAjanIya -> rajanIya	[consensus,intra_dup,spell_correct]	
309	saMparAyika -> sAMparAyika	[consensus,intra_dup,spell_correct]	
303	saMButa -> saMBUta	[consensus,intra_dup,spell_correct]	
303	saMDUkzita -> saMDukzita	[consensus,intra_dup,spell_correct]	
302	kaRqita -> KaRqita	[consensus,intra_dup,spell_correct]	
274	karaRA -> karaRa	[consensus,spell_correct]	morph✓
274	mantrA -> mantra	[consensus,spell_correct]	morph✓
271	dvitiya -> dvitIya	[consensus,spell_correct]	morph✓
268	jAnana -> janana	[dict_vs_corpus,spell_correct]	morph✓
266	dArika -> dArikA	[dict_vs_corpus,spell_correct]	morph✓
266	metra -> netra	[consensus,spell_correct]	morph✓
266	vudDi -> budDi	[consensus,spell_correct]	morph✓
264	AntaHpura -> antaHpura	[consensus,spell_correct]	morph✓
264	BUzaRA -> BUzaRa	[consensus,spell_correct]	morph✓
264	DUpA -> DUpa	[consensus,spell_correct]	morph✓
264	aBiya -> aBiyA	[consensus,spell_correct]	morph✓
264	aByantarA -> aByantara	[consensus,spell_correct]	morph✓
264	apratimA -> apratima	[consensus,spell_correct]	morph✓
264	cAkzuzya -> cakzuzya	[consensus,spell_correct]	morph✓
264	cAtuzpada -> catuzpada	[consensus,spell_correct]	morph✓
264	ekAdaSA -> ekAdaSa	[consensus,spell_correct]	morph✓
264	jaNgamA -> jaNgama	[consensus,spell_correct]	morph✓
264	jambUnada -> jAmbUnada	[consensus,spell_correct]	morph✓
264	kAluza -> kaluza	[consensus,spell_correct]	morph✓
264	kAruRa -> karuRa	[consensus,spell_correct]	morph✓
264	kacCapA -> kacCapa	[consensus,spell_correct]	morph✓
264	lABA -> lABa	[consensus,spell_correct]	morph✓
264	leKanA -> leKana	[consensus,spell_correct]	morph✓
264	mArgaRA -> mArgaRa	[consensus,spell_correct]	morph✓
264	mArjara -> mArjAra	[consensus,spell_correct]	morph✓
264	mEtrA -> mEtra	[consensus,spell_correct]	morph✓
264	namaskara -> namaskAra	[consensus,spell_correct]	morph✓
264	nftyA -> nftya	[consensus,spell_correct]	morph✓
264	niBA -> niBa	[consensus,spell_correct]	morph✓
264	niSAcarA -> niSAcara	[consensus,spell_correct]	morph✓
264	pUjanA -> pUjana	[consensus,spell_correct]	morph✓
264	praBUtA -> praBUta	[consensus,spell_correct]	morph✓
264	praharzA -> praharza	[consensus,spell_correct]	morph✓
264	sUdanA -> sUdana	[consensus,spell_correct]	morph✓
264	toraRA -> toraRa	[consensus,spell_correct]	morph✓
264	valayA -> valaya	[consensus,spell_correct]	morph✓
261	SoRIta -> SoRita	[consensus,spell_correct]	morph✓
261	darSaniya -> darSanIya	[consensus,spell_correct]	morph✓
261	izwI -> izwi	[consensus,spell_correct]	morph✓
261	kulina -> kulIna	[consensus,spell_correct]	morph✓
261	tftiya -> tftIya	[consensus,spell_correct]	morph✓
257	dOmya -> DOmya	[consensus,spell_correct]	morph✓
257	rikza -> fkza	[consensus,dict_vs_corpus]	morph✓
257	ritu -> ftu	[dict_vs_corpus,spell_correct]	morph✓
257	sUDana -> sUdana	[consensus,spell_correct]	morph✓
256	BelA -> velA	[consensus,spell_correct]	morph✓
256	GAwin -> GAtin	[consensus,spell_correct]	morph✓
256	bfNga -> BfNga	[consensus,spell_correct]	morph✓
256	magara -> nagara	[consensus,spell_correct]	morph✓
256	rocama -> rocana	[consensus,spell_correct]	morph✓
256	upaGAwa -> upaGAta	[consensus,spell_correct]	morph✓
256	utsuKa -> utsuka	[consensus,spell_correct]	morph✓
255	aDikArika -> ADikArika	[consensus,spell_correct]	morph✓
255	arpaRA -> arpaRa	[consensus,spell_correct]	morph✓
255	danturA -> dantura	[consensus,spell_correct]	morph✓
255	karzika -> kArzika	[consensus,spell_correct]	morph✓
255	kfzRAjinA -> kfzRAjina	[consensus,spell_correct]	morph✓
255	pfcCa -> pfcCA	[consensus,spell_correct]	morph✓
255	udAnta -> udanta	[consensus,spell_correct]	morph✓
255	utkArika -> utkArikA	[consensus,spell_correct]	morph✓
255	vAcikA -> vAcika	[consensus,spell_correct]	morph✓
254	AgfhIta -> agfhIta	[consensus,spell_correct]	morph✓
254	AkarzaRA -> AkarzaRa	[consensus,spell_correct]	morph✓
254	Alambuza -> alambuza	[consensus,spell_correct]	morph✓
254	ArAjaka -> arAjaka	[consensus,spell_correct]	morph✓
254	ArUpa -> arUpa	[consensus,spell_correct]	morph✓
254	AsPuwa -> asPuwa	[consensus,spell_correct]	morph✓
254	AwavikA -> Awavika	[consensus,spell_correct]	morph✓
254	OdumbarA -> Odumbara	[consensus,spell_correct]	morph✓
254	SAdvalA -> SAdvala	[consensus,spell_correct]	morph✓
254	SlIpAda -> SlIpada	[consensus,spell_correct]	morph✓
254	SuSrUzaRA -> SuSrUzaRa	[consensus,spell_correct]	morph✓
254	aBayaMkarA -> aBayaMkara	[consensus,spell_correct]	morph✓
254	aBivAdanA -> aBivAdana	[consensus,spell_correct]	morph✓
254	aNgulIyakA -> aNgulIyaka	[consensus,spell_correct]	morph✓
254	apanAya -> apanaya	[consensus,spell_correct]	morph✓
254	avalambA -> avalamba	[consensus,spell_correct]	morph✓
254	avalambanA -> avalambana	[consensus,spell_correct]	morph✓
254	cApAlya -> cApalya	[consensus,spell_correct]	morph✓
254	caturASIti -> caturaSIti	[consensus,spell_correct]	morph✓
254	catvAra -> catvara	[consensus,spell_correct]	morph✓
254	ganDarvika -> gAnDarvika	[consensus,spell_correct]	morph✓
254	hAha -> hAhA	[consensus,spell_correct]	morph✓
254	jAnatA -> janatA	[consensus,spell_correct]	morph✓
254	jIvika -> jIvikA	[consensus,spell_correct]	morph✓
254	kAriRI -> kariRI	[consensus,spell_correct]	morph✓
254	kArika -> kArikA	[consensus,spell_correct]	morph✓
254	kArzikA -> kArzika	[consensus,spell_correct]	morph✓
254	muRqanA -> muRqana	[consensus,spell_correct]	morph✓
254	mukulitA -> mukulita	[consensus,spell_correct]	morph✓
254	nAlada -> nalada	[consensus,spell_correct]	morph✓
254	nadin -> nAdin	[consensus,spell_correct]	morph✓
254	pArihARi -> parihARi	[consensus,spell_correct]	morph✓
254	pUrvAhRikA -> pUrvAhRika	[consensus,spell_correct]	morph✓
254	prAkawa -> prakawa	[consensus,spell_correct]	morph✓
254	prapata -> prapAta	[consensus,spell_correct]	morph✓
254	pratisAra -> pratisara	[consensus,spell_correct]	morph✓
254	sAhoQa -> sahoQa	[consensus,spell_correct]	morph✓
254	samagrya -> sAmagrya	[consensus,spell_correct]	morph✓
254	sraMsanA -> sraMsana	[consensus,spell_correct]	morph✓
254	suvIrA -> suvIra	[consensus,spell_correct]	morph✓
254	tAqanA -> tAqana	[consensus,spell_correct]	morph✓
254	takzARa -> takzaRa	[consensus,spell_correct]	morph✓
254	tozaRA -> tozaRa	[consensus,spell_correct]	morph✓
254	ukara -> ukAra	[consensus,spell_correct]	morph✓
254	vicarcika -> vicarcikA	[consensus,spell_correct]	morph✓
254	vidvezaRA -> vidvezaRa	[consensus,spell_correct]	morph✓
254	vilambA -> vilamba	[consensus,spell_correct]	morph✓
254	vilepanA -> vilepana	[consensus,spell_correct]	morph✓
254	vismApanA -> vismApana	[consensus,spell_correct]	morph✓
254	vivarjanA -> vivarjana	[consensus,spell_correct]	morph✓
252	vEjayanti -> vEjayantI	[consensus,spell_correct]	morph✓
251	AvArI -> AvAri	[consensus,spell_correct]	morph✓
251	SIti -> Siti	[consensus,spell_correct]	morph✓
251	Sayin -> SAyin	[dict_vs_corpus,spell_correct]	
251	aNgulIkA -> aNgulikA	[consensus,spell_correct]	morph✓
251	biBatsa -> bIBatsa	[consensus,spell_correct]	morph✓
251	bimbi -> bimbI	[consensus,spell_correct]	morph✓
251	gaBira -> gaBIra	[consensus,spell_correct]	morph✓
251	jAtiya -> jAtIya	[consensus,intra_dup]	morph✓
251	jyotizmati -> jyotizmatI	[consensus,spell_correct]	morph✓
251	kzitiSa -> kzitISa	[consensus,spell_correct]	morph✓
251	praviRa -> pravIRa	[consensus,spell_correct]	morph✓
251	turiya -> turIya	[consensus,spell_correct]	morph✓
251	vItaTa -> vitaTa	[consensus,spell_correct]	morph✓
249	SakyA -> Sakya	[consensus,spell_correct]	
248	aSvasTa -> asvasTa	[consensus,spell_correct]	morph✓
248	sAntika -> SAntika	[consensus,spell_correct]	morph✓
248	samula -> samUla	[consensus,spell_correct]	morph✓
248	tAlUka -> tAluka	[consensus,spell_correct]	morph✓
248	viduzaka -> vidUzaka	[consensus,spell_correct]	morph✓
247	trikaRWaka -> trikaRwaka	[consensus,spell_correct]	morph✓
246	Cana -> cana	[consensus,spell_correct]	morph✓
246	Karta -> karta	[consensus,spell_correct]	morph✓
246	SunaKa -> Sunaka	[consensus,spell_correct]	morph✓
246	cAwaka -> cAtaka	[consensus,spell_correct]	morph✓
246	ekAhika -> EkAhika	[consensus,spell_correct]	morph✓
246	kopIna -> kOpIna	[consensus,spell_correct]	morph✓
246	lawikA -> latikA	[consensus,spell_correct]	morph✓
246	mAnAtva -> nAnAtva	[consensus,spell_correct]	morph✓
246	mAnavaka -> mARavaka	[consensus,spell_correct]	morph✓
246	odumbara -> Odumbara	[consensus,spell_correct]	morph✓
246	orasa -> Orasa	[consensus,spell_correct]	morph✓
246	osa -> oza	[consensus,spell_correct]	morph✓
246	purusakAra -> puruzakAra	[consensus,spell_correct]	morph✓
246	vetAlika -> vEtAlika	[consensus,spell_correct]	morph✓
246	viDUna -> viDUma	[consensus,spell_correct]	morph✓
246	viKala -> vikala	[consensus,spell_correct]	morph✓
246	vukta -> Bukta	[consensus,spell_correct]	morph✓
245	IzADara -> IzADAra	[intra_dup,spell_correct]	morph✓
245	aSleza -> aSlezA	[consensus,intra_dup]	morph✓
245	anurakzaRA -> anurakzaRa	[intra_dup,spell_correct]	morph✓
245	jAvita -> javita	[intra_dup,spell_correct]	morph✓
245	mahantaka -> mahAntaka	[intra_dup,spell_correct]	morph✓
245	nizpAdanA -> nizpAdana	[consensus,spell_correct]	morph✓
244	ABakzaRa -> aBakzaRa	[consensus,spell_correct]	morph✓
244	ASravaRa -> aSravaRa	[consensus,spell_correct]	morph✓
244	AbanDya -> abanDya	[consensus,spell_correct]	morph✓
244	AdeSanA -> AdeSana	[consensus,spell_correct]	morph✓
244	Apaskara -> apaskara	[consensus,spell_correct]	morph✓
244	Asupta -> asupta	[consensus,spell_correct]	morph✓
244	aByanta -> aByAnta	[consensus,spell_correct]	morph✓
244	aByudDara -> aByudDAra	[intra_dup,spell_correct]	morph✓
244	aTarvaRika -> ATarvaRika	[consensus,spell_correct]	morph✓
244	apacitA -> apacita	[consensus,spell_correct]	morph✓
244	avaskandanA -> avaskandana	[consensus,spell_correct]	morph✓
244	azwamika -> azwamikA	[consensus,spell_correct]	morph✓
244	durAvagAha -> duravagAha	[consensus,spell_correct]	morph✓
244	dvIpika -> dvIpikA	[consensus,spell_correct]	morph✓
244	dvipadaka -> dvipAdaka	[intra_dup,spell_correct]	morph✓
244	dvyahika -> dvyAhika	[consensus,spell_correct]	morph✓
244	iryA -> irya	[consensus,spell_correct]	morph✓
244	jAmbAla -> jambAla	[consensus,spell_correct]	morph✓
244	jijYAsanA -> jijYAsana	[consensus,spell_correct]	morph✓
244	jugupsanA -> jugupsana	[consensus,spell_correct]	morph✓
244	kavita -> kavitA	[consensus,spell_correct]	morph✓
244	kimpaka -> kimpAka	[consensus,spell_correct]	morph✓
244	krandanA -> krandana	[consensus,spell_correct]	morph✓
244	lAlAwikA -> lalAwikA	[consensus,spell_correct]	morph✓
244	maRqavI -> mARqavI	[consensus,spell_correct]	morph✓
244	mahABEravA -> mahABErava	[consensus,spell_correct]	morph✓
244	marzaRA -> marzaRa	[consensus,spell_correct]	morph✓
244	muktahastA -> muktahasta	[consensus,spell_correct]	morph✓
244	nimantraRA -> nimantraRa	[consensus,spell_correct]	morph✓
