# BHS -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 294 headwords that LOOK like misspellings but which BHS records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS BHS.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the BHS entry text

# ===== WRONG-READING (6) =====
camu           -> camU           | {@camu, camū@}, ({@1@}) as in Skt., {%host, army%}, but with masc. ending (otherwise only fem.): mārasya jetuṃ camūn LV 〔276.6〕 (end of stanza; no v.l.); ({@2@}
caturASIti     -> caturaSIti     | {@caturāśīti@} (= Pali ˚sīti, AMg. caurāsīiṃ, Pischel 〔446〕; see 〔§ 19.35〕), {%eighty-four%}: in prose, Mv 〔iii.450.13〕 (v.l. ˚aśīti); Gv 〔389.16〕 (note in 22 b
dAGa           -> daGa           | {@dāgha@}, m. (recorded only for Pkt. in Hem. 〔1.264〕, but cf. Skt. nidāgha), {%burning, conflagration%}: (geha-)dāghā vā kṛtā bhavanti vana-dāghā … Mv 〔i.23.1〕
dakziReya      -> dAkziReya      | {@dakṣiṇeya@}, adj. (= {@˚ṇīya@}; also {@dākṣ˚@}; closer to Pali dakkhiṇeyya, but in BHS noted only in Mv and rare there), {%worthy of veneration%}: Mv 〔ii.295.
ekAdaSA        -> ekAdaSa        | {@Ekādaśā@} (by em.), ({@1@}) n. of a devakumārikā in the west: LV 〔390.6〕; mss. Ekāhaṃśa-, Ekāndaśā, ˚dasā; in parallel Mv 〔iii.308.9〕 mss. Ekānavā (v.l. ˚naṃ-
gUhati         -> guhati         | {@gūhati, gūhayati@} (perhaps connected with Skt. Gr. gumpha(ya)ti, Pali ogumpheti; see {@avagūhayati@}), {%winds%} (garlands): Mv 〔ii.426.19〕 mālāṃ gūhayati; 〔
gfhAvAsa       -> gfhavAsa       | {@gṛhāvāsa@}, m. (= Pali gharāvāsa; cf. Skt. gṛha-vāsa), {%living at home, in the householderʼs state%}, contrasted with ascetic life: RP 〔12.16〕 (prose), where
hUma           -> hURa           | {@hūma@}, nt. (Mironov ḍūma; v.l. both edd. hama), a high number: Mvy 〔7711〕 = Tib. zam zim; also corresp. to {@poma@}, q.v.
jAnatA         -> janatA         | [{@jānatā@} LV 〔264.1〕 (prose), na me paścimā ˚tānukampitā syāt, read janatā, {%people%}, with v.l.; Tib. skye bo; cf. in the verse account 〔270.22〕 no … anukam
jAneya         -> jAmeya         | [{@jāneya@}, in puruṣa-j˚, v.l. -jāna, Mv 〔ii.133.8〕 (prose), read puruṣājāneya; see s.v. {@ājanya@}.]
jAva           -> java           | {@jāva@}, m. (to java, but nowhere recorded), {%speed, swiftness%}: ˚vaḥ Mvy 〔2003〕 = Tib. mgyogs pa. So also Mironov; no v.l. Follows yogaḥ and precedes anukra
jijYAsanA      -> jijYAsana      | {@jijñāsanā@} (cf. Skt. ˚na, nt., and jijñāsā, f.; perh. a blend of these two), {%test, trial%}: yūyaṃ kanyakā (Māra speaks to his daughters) … bodhisattvasya j
jugupsanA      -> jugupsana      | {@jugupsanā, ˚na@} (?nt.), {@˚na-tā@} (Skt. Lex. ˚na, nt.; Pali jigucchana, nt.), {%loathing, condition of abhorrence%}, with loc. or in comp.: kāmeṣu … ˚nā utp
kAruRa         -> karuRa         | {@kāruṇa@} (nowhere recorded), ({@1@}) adj. (= Skt. kāruṇika), {%compassionate%}: Mv 〔i.179.6〕 (vs, metr. indifferent) tato lokānukampārthaṃ kāruṇo (mss. ˚ṇā) m
kAwaka         -> kawaka         | {@-kāṭaka@}, nt., in pātra-kāṭakam Mvy 〔8952〕, {%ring%} or which the almsbowl is fastened, = Tib. lhuṅ gzed (bzed) gzhag paḥi gdu bu, {%ring for putting almsbow
kaRqarika      -> kaRqarIka      | [{@kaṇḍarika@}, v.l. for {@kāṇḍ˚@}, q.v.]
karmira        -> karmIra        | ? {@Karmira@}, v.l. for {@Kampila@}, q.v.
katIya         -> kAtIya         | {@katīya@}, adj. (from kati, with suffix īya, cf. dvitīya, tṛtīya, and tadīya etc.), {%amounting to how much?%}: Karmav 〔70.10〕 ˚yaṃ mahārāja gṛhapater dravyaṃ 
koqa           -> Koqa           | {@koḍa@}, MIndic for kroḍa, {%breast%}: koḍa-sakkino SP 〔95.3〕 (vs), so both edd. and most mss. (v.l. kroḍa˚). See also s.v. {@kola@} (2).
mArjara        -> mArjAra        | {@mārjara@}, m. (cf. Pkt. maṃjara; Skt. mārjāra), {%cat%}: Mvy 〔4790〕 (so also Mironov, with v.l. mārjāra).
mEtrA          -> mEtra          | {@maitrā@} (rarely {@maitryā@}, q.v.; = Pali mettā; the Skt. equivalent maitrī is also extensively used, notably instead of this as one of the {@apramāṇa@}; Skt
mahArAjA       -> mahArAja       | ? {@mahārājā@}, adj. or subst. f., used (if text is right) with fem. entities: LV 〔391.4〕 (vs) upasthitā mahārājā (but v.l. mahāvālā) Āśā Śraddhā Hirī Śirī (fou
marja          -> mArja          | {@marj(j)a@}, if to be kept with Senart and mss., is hyper-Skt. for majja(n), {%marrow%}: asthi-marj(j)aṃ (acc. sg.) Mv 〔i.20.2〕 (v.l. ˚rjja; one ms., only, rep
meruwu         -> meruwU         | {@meruṭu@} (vv.ll. meruhu, merutū; but Mironov ˚ṭu, no v.l.), m. or f., a high number: Mvy 〔7786〕 = Tib. lhun yas = {@mirava@} (˚pha), q.v.
nAganadI       -> naganadI       | {@nāga-nadī@}, {%‘river of nāgas (serpent-demons)’%}, epithet of the Nairañjanā, given to it because nāgas lived in it (LV 〔270.2 ff.〕), as in the Pali (see 1 N
nAlIkera       -> nAlikera       | {@nālīkera@}, nt. (cf. {@nāḍīkerī@}, and Skt. nālikera, nārīkela), {%cocoanut, the fruit of the cocoa-palm%}: Mv 〔ii.475.15〕 ˚rāṇi (v.l. ˚lāni).
nAlada         -> nalada         | {@Nālada@}, ({@1@}) v.l. in Mv 〔ii.43.2〕 for Nārada (3), q.v., referring to {@Nālaka@}; prob. the same person is meant by the sthavira Nālada Av 〔i.274.6 ff.〕; 
pAMSukrIqana   -> pAMsukrIqana   | {@pāṃśukrīḍana@}, m. adj. or subst. (in Skt. cited only as nt. n. act.; cf. next, and {@saha-pāṃśu-krīḍanaka@}; Bloomfield, Mūladeva, Proc. Am. Philos. Soc. 〔52
pARqarA        -> pARqara        | {@Pāṇḍarā@} (in Dharmas 〔4〕 text Pāṇḍurā, v.l. ˚arā which prob. read), n. of a Buddhist goddess, associated with Tārā, and prob. identical with prec.: Sādh 〔18.
pArSvakA       -> pArSvaka       | {@pārśvakā@} (see s.vv. {@pārśukā, pārśvika@}), {%rib%}: Śikṣ 〔228.13〕 (ed. note suggests reading pārśukā); v.l. in some mss. for pārśukā LV 〔254.9, 11〕; 〔255.2
pAraloka       -> paraloka       | ? {@pāraloka@} (m., = AMg. pāraloga, acc. to Ratnach.; Skt. paraloka), {%the other world%}: imaṃ lokaṃ ˚kaṃ (acc.) Mv 〔i.9.2〕 (vs; v.l. pala˚; first part of ślo
parApata       -> pArApata       | {@parāpata@}, m. (vv.ll. pārāp˚, pārāvata, both Skt., see on the first Schmidt, Nachträge; Mironov parāpata with no v.l.), {%pigeon%}: Mvy 〔4902〕 = Tib. phug ro
parikANkzin    -> pArikANkzin    | {@-parikāṅkṣin@}, adj., in a-pari˚, {%(not) desiring%}: Mv 〔i.134.3〕, see s.v. {@nirvṛti@} 2. (There is a v.l. a-pratikāṅkṣ˚.)
pavara         -> pAvara         | {@pavara@} (= Pali id., MIndic for Skt. pravara), {%excellent%}: so if text is right, Dbh.g. 〔12(348).17〕 yāvattareṇa pavararṣiṇa (v.l. parikarṣiṇa) jñānalābhas
prAkawa        -> prakawa        | {@prākaṭa@}, adj. (= Pali pākaṭa, ˚ta; semi-MIndic for Skt. prākṛta, cf. next), {%vulgar, low, common%}: upāsikās ca varjeta prākaṭā yā avasthitāḥ SP 〔279.6〕 (v
praharzA       -> praharza       | {@praharṣā@}, f. (Skt. ˚ṣa, m.), or (v.l.) ˚ṣa-tā, {%(state of) joy%}: tayā ˚ṣa(ta)yā Suv 〔181.11〕 (prose).
prasAdika      -> prAsAdika      | {@prasādika@}, ({@1@}) adj. = {@prāsādika@} (1), q.v.: so mss. at Mv 〔i.3.4〕, applied to a past Buddha; Senart em. prā˚; ({@2@}) v.l. for {@prāsādika@} (2), q.v
pratiBARita    -> pratiBaRita    | {@pratibhāṇita@}, ppp., m.c. for ˚bhaṇita (to pratibhaṇ-, recorded in Skt. only in a single artificial passage; not in Pali; AMg. paḍibhaṇai), {%answered, respo
puni           -> pUni           | {@puni@}, in LV 〔151.8〕 (vs) seemingly m.c. for *pune, certainly represents punar, {%but%}; both edd. read so, no v.l. No *pune seems to be recorded, even in a 
ratnamudra     -> ratnamudrA     | {@Rat(a)namudra@}, v.l. Rat(a)nasamudra, n. of a former Buddha: Mv 〔i.138.10〕.
rutA           -> ruta           | {@rutā@} = {@ruta@}, {%voice, speech%}: in LV 〔286.20—21〕 (prose) read, ekarutā-(Lefm. ˚tāṃ, misprint?)-sarva-ruta-ravaṇī (Lefm. ˚racanī, v.l. ˚ramaṇī; our read
sAlamBa        -> sAlamba        | {@sālambha@}, m. (may be specialized use of {@sārambha@} = Pali id., which so far as I know is not recorded of physical fighting; in some LV mss. v.l. sār˚ occu
sAmam          -> samam          | {@sāmam@}, indecl. pron. (= Pali sāmaṃ; in mg. = Skt. svayam; see {@sāmato@} and {@svāmam, ˚ma@}), {%self, oneself%}: na … Ghaṭikāro kumbhakāro sāmaṃ (mss. soma
sAntika        -> SAntika        | {@sāntika@}, in adv. forms ˚ke and ˚kāt (= Pali santike, ˚kā; see {@santika, ˚ke@}, of which this may well be a secondary Sktization; but it reveals the true or
sPAritra       -> sParitra       | {@sphāritra@}, nt. (Mironov sphar˚, v.l. spār˚, sic!), {%oar%}: Mvy 〔5894〕 = Tib. gru skya, {%oar%} (Das gives Skt. as sphāritra).
sPuwika        -> sPuwikA        | {@sphuṭika@}, adj. (read ˚ṭaka ?), = {@sphuṭa@}, {%full, filled%} (-ka perh. m.c.): te cāsya kṣetra sphuṭikā (v.l. sphuṭā, unmetr.; Tib. Chin. said to mean {%fu
samasama       -> samAsama       | {@sama-sama@}, adj. (āmreḍita of sama; = Pali id.), {%quite equal%} or {%equivalent, exactly alike%}: sarvadharmāḥ samāḥ sarve samāḥ samasamāḥ sadā SP 〔143.5〕 (
saraBaNga      -> SaraBaNga      | {@Sarabhaṅga@}, see {@Śara˚@}. The colophon Mv 〔iii.375.12〕 reads Sarabhaṃgajātakam in Senart (v.l. Śara˚).
sarvarUpasaMdarSanA -> sarvarUpasaMdarSana | {@Sarvarūpasaṃdarśanā@}, n. of the lokadhātu of the Buddha Meghadundubhisvararāja: SP 〔431.9〕. So both edd.; both Transl. Sarvabuddhasaṃ˚, which is not cited fr
stIna          -> stIma          | {@stīna@} (= Pali thīna; 〔§ 3.115〕) = {@styāna@}, q.v.: -middhaṃ, v.l. of Kashgar rec. for SP 〔335.6〕 (vs).
supana         -> supAna         | {@supana@}, acc. to Senartʼs note for more usual {@supina@}, q.v., = Skt. svapna: (kāyo …) ucchādana-(so read, Senart em. ācchā˚)-parimardana-supana-(v.l. sū˚)-
suveDa         -> suveda         | {@suvedha@}, adj., {%having a good aim, hitting the mark%}: Mv 〔iii.285.8〕 (vs); the corresp. Pali, SN 〔i.127.5〕, has anoko (v.l. aneko); the passage is corrupt
tAyaRa         -> tAyana         | {@tāyaṇa, ˚na@} (nt.; MIndic, = {@trāyaṇa@}, q.v.), (act of) {%saving%}: jaga-tāyanaṃ smarati Dbh.g. 〔2(338).7〕; jagatāyaṇārthaṃ (v.l. ˚trāy˚) 〔16(352).12〕.
todeya         -> tOdeya         | {@Todeya@}, v.l. for {@Tau˚@}, q.v.
trElAwA        -> trElAwa        | {@trailāṭā@} (so text, also Mironov with v.l. ˚ṭāka; Kyōtō ed. Index with BR ˚ṭa; cf. prec.), a kind of {%fly%}: Mvy 〔4861〕; ˚ṭāḥ, pl., MSV 〔iv.74.22〕.
tremAsika      -> trEmAsika      | {@tremāsika@}, adj. (= Skt. trai˚; cf. {@traimāsa@} and {@dvemāsika@}), (suitable) {%for three months%}: ˚kaṃ (v.l. trai˚) vā bhaktaṃ Mv 〔ii.462.6〕.
turiya         -> turIya         | {@turiya@} (nt. or m.; = Pali id., MIndic for Skt. tūrya), {%musical instrument%}; common in vss of LV, e.g. 〔54.6〕 (v.l. tūry˚); 〔161.17〕 (v.l. tūry˚); 〔164.20
udArika        -> udarika        | {@udārika@}, adj. = {@audārika 2@} (if reading is correct), {%exalted, abundant%}: SP 〔164.3〕 mahataś codārikasyāvabhāsasya (both edd., no v.l., but perhaps rea
udGawitajYa    -> udGAwitajYa    | {@udghaṭita-jña@}, adj. or subst. m. (= Pali ugghaṭitaññu; see Wogihara, Lex. 〔19〕: ‘das Geöffnete kennend’ = ‘sich auf das Offenliegende d.h. auf eine kurze Da
ukara          -> ukAra          | ? {@ukara-@} (v.l. udakara-, utkara-; cf. {@ugra-lipi@}), in Mv 〔i.135.6〕 (prose) ukara-madhura-darada-cīṇa- (etc.), sc. lipi, a list of various kinds of writin
uluka          -> ulUka          | {@Uluka@}, v.l. for {@Huluka@}, q.v.
utkArika       -> utkArikA       | {@utkārika@}, m., {%the expression evam%}: Mvy 〔7618〕 = Tib. de bzhin no zhes bya ba (Chin. similarly). There is a var. udgārikaḥ (cf. Skt. udgāra, {%sound, utt
vAnArasI       -> vARArasI       | {@Vānārasī@} (prob. intends Vāṇā˚ = the commoner, with Skt., Vārāṇasī), {%Benares%}: ˚syām (v.l. Vārāṇ˚) Mv 〔i.174.2〕.
viBUzitA       -> viBUzita       | {@vibhūṣitā@}, ({@1@}) (? to Skt. vibhūṣin plus -tā), {%magnificence, splendor, ornate condition%}: na śraddadhī mahyam imāṃ vibhūṣitāṃ SP 〔113.10〕 (vs), {%he h
vicarcika      -> vicarcikA      | {@vicarcika@}, adj. (cf. Skt. ˚kā, {%mange%}), {%mangy%}: (na … kaṇḍūlo vā kacchulo vā) ˚ko vā anyo vā kiṃcid amanāpaṃ … tiṣṭheyā Mv 〔ii.150.10〕; 〔152.3〕; (by S
vilambA        -> vilamba        | {@Vilambā@}, ({@1@}) n. of a rākṣasī: SP 〔400.4〕 (Burnouf [Page498-b] Pralambā, citing a var. Vilambā; two mss. reported in KN as reading first Vilambā, then Pr
vyUhA          -> vyUha          | {@vyūhā, viyūhā@}, = {@vyūha@} (2): mahatyā rājavyūhayā Suv 〔79.13〕 (prose); about half the mss. mahatā ˚vyūhena; (mahatā rājānubhāvena mahatā rāja-ṛddhīye) mah

# ===== IN-COMPOSITION (2) =====
ASItakI        -> AsItakI        | {@āśītakī@}, or {@ās˚@}, also written aśītaka, aśīta, aśitaka, asita, the a-stems being prob. m. (Mv 〔ii.231.13〕); the Pali equivalent is āsītika, m. (not ˚kā, 
dArika         -> dArikA         | ? {@dārika@} (= Skt. dāraka), and acc. to text ˚kā(in comp.), {%boy%}: dvātriṃśad-dārikā-sahasrāṇi LV 〔128.11〕 (prose), all mss. acc. to Lefm.; dārikebhiḥ LV 〔1

# ===== CROSS-REFERENCE (138) =====
Agatika        -> agatika        | {@-āgatika@} (= Skt. āgati, at end of Bahuvrīhis), see {@an-āgatika@}.
Akampya        -> akampya        | {@Ākampya@} Mvy 〔739〕, see {@Akampya@}.
AnantarIya     -> anantarIya     | [{@ānantarīya@}, nt., ˚yāṇi, Mvy 〔2323〕; but prob. read with Mironov {@ānantarya@}, q.v. Cf. however next.]
AntarikA       -> antarikA       | {@āntarikā@} (= {@ant˚@}, q.v.; some cases there cited may belong here), {%space between, interval, interstice%}: LV 〔254.11〕 gopānasy-āntarikāś (n. pl.), {%int
AntraguRa      -> antraguRa      | {@āntra-guṇa@}, m. (pl.), = {@antra-guṇa@}, q.v.: ŚsP 〔1430.21〕; 〔1431.11〕; read in both (āntram) āntraguṇā(ḥ). (In Gv 〔328.19〕 could be intended as well as ant
AnuSaMsa       -> anuSaMsa       | {@ānuśaṃsa@}, m., and {@˚sā@}, f., = {@anu˚@}, q.v.; {@ānuśaṃsaka@}, see {@-anu˚@}.
AsparSa        -> asparSa        | [{@āsparśa@}, supposedly {%contact%}, assumed by Senart in a cpd. Mv 〔ii.115.12〕; but see {@sparśita@}.]
DArmarAjikA    -> DarmarAjikA    | {@dhārmarājikā@} = {@dharmarājikā@}, q.v.: Divy 〔368.28〕.
DarmA          -> Darma          | {@dharmā-(kathā)@}, see s.v. 3 {@dharma@}.
EkAsanika      -> ekAsanika      | {@aikāsanika@}, Mvy 〔1132〕, = {@ekās˚@}, q.v.
GAtyA          -> GAtya          | {@-ghātyā@}, see {@nala-gh˚@}.
ISADAra        -> IzADAra        | {@Īśādhāra@}, ({@1@}) n. of a nāga, Mironovʼs reading for {@Iśā˚@} Mvy 〔3333〕; ({@2@}) m. pl., n. of a range of mountains (= Īṣā˚; see under {@Īṣādhara@}): Śikṣ
PalaKa         -> Palaka         | {@phalakha@}, see {@phalaha@}.
SAntara        -> sAntara        | [{@śāntara@}, corrupt, in defective vs Mv 〔i.164.15〕; Senart, yathecchakaṃ (mss. yate˚) araṇa-samādhi śāntara (read śānta ca ? cf. Pali santaṃ samādhiṃ araṇaṃ, 
SAtAgiri       -> sAtAgiri       | {@Śātāgiri@}, see {@Sātā˚@}.
SItiBAva       -> SItIBAva       | {@śīti-bhāva, -bhūta@}, see {@śītī˚@}.
SardUla        -> SArdUla        | [{@śardūla@}, LV 〔207.17〕; read with some mss. {@gardūla@}, q.v.]
Sarita         -> SArita         | {@śarita@}, see {@sarita@} 3.
SlIpAda        -> SlIpada        | [{@ślīpāda@}, m., {%elephantiasis%}: Mvy 〔9521〕; read (Skt.) ślīpada with Mironov and Bhīk 〔17a.2〕; cf. ślīpadin Mvy 〔8792〕.]
SoRIta         -> SoRita         | {@śoṇīta@}, m.c. for Skt. śoṇita, {%blood%}: LV 〔208.14〕 (vs); also AMg. soṇīya, Ācār. (Schubring) 〔39.10〕 (Smith, see 〔§ 1.38〕 〔fn. 15, p. 12〕).
SunaKa         -> Sunaka         | {@śunakha@}, see {@su˚@}.
aBirADanA      -> aBirADana      | {@abhirādhanā@} (cf. prec. and next; Skt. ˚dhana, Pali an-abhirādhana), {%winning favor, conciliation%}: Mvy 〔2944〕.
aKalita        -> akalita        | {@a-khalita@}, see 2 {@khalita@}.
aNgulIkA       -> aNgulikA       | {@aṅgulīkā@}, see {@aṅgulikā@} (2).
agAha          -> aGAha          | {@a-gāha@}, see {@gāha@}.
agneya         -> Agneya         | [{@agneya, Agneyī@}, read {@Āg˚@}, q.v.]
akUhaka        -> akuhaka        | {@a-kūhaka@}, see {@kūhaka@}.
amrapAlI       -> AmrapAlI       | {@Amrapālī@}, see {@Āmra˚@}.
anAgArikA      -> anagArikA      | {@anāgārikā@} = {@anagārikā@}, q.v.
anAvatapta     -> anavatapta     | {@Anāvatapta@}, m.c. for {@Anava˚@} (2), q.v.: LV 〔219.9〕.
anUpalipta     -> anupalipta     | {@anūpalipta@} (= Pali ˚litta) m.c. for {@anupa˚@}, see also {@anopa˚@}, {%unstained%}: SP 〔313.3〕 (vs).
anantariya     -> anantarIya     | {@anantariya@}, subst. nt. = ān˚, {%crime bearing immediate fruition, deadly sin%} (one of five): ˚riyāṇi (pañca) Bhad 〔51〕. Cf. {@ānantarīya@}, and {@˚tarya@};
anantaryasamADi -> AnantaryasamADi | [{@Anantaryasamādhi@}, misprint in Mvy 〔901〕 for {@Ānant˚@}, q.v.; corrected in Index.]
apranihita     -> apraRihita     | {@a-pranihita@} = {@a-praṇihita@}, q.v.
avalambA       -> avalamba       | {@Avalambā@}, see {@Olambā@}.
avikzaRa       -> avIkzaRa       | ({@avikṣaṇa@}, nt.; see s.v. {@abhibhakṣaṇa@}).
bAlavyaYjana   -> vAlavyaYjana   | {@bālavyañjana@}, see {@vāla˚@}.
boDipAkzika    -> boDipakzika    | {@bodhipākṣika@}, adj. (= Pali ˚pakkhika; cf. {@˚pakṣika, ˚pakṣya, ˚pakṣa@}) = {@bodhipakṣya@}, q.v.; usually with dharma, {%the%} (37) {%conditions favorable t
cARqikA        -> caRqikA        | {@Cāṇḍikā@} (cf. Skt. Caṇḍikā), n. of a yoginī: Dharmas 〔13〕 (misprint or error ?).
cArIkA         -> cArikA         | {@cārīkā@}, m.c. for {@cārikā@}, q.v., Gv 〔57.15〕.
cAri           -> cari           | {@cāri@} (m.c. for {@cari@}, q.v.), {%conduct%}, in Bhvr. cpds.: sugatasya putrān … śāntapraśāntacārīn SP 〔12.14〕 (vs), {%… of calm, peaceful conduct%}; paripūr
cAwaka         -> cAtaka         | ? {@cāṭaka@}, read prob. {@cāṭuka@} (= Skt. cāṭu, and once cāṭuka, which in the passage cited in BR may be an adj.; in Rājat. 〔1.213〕, cited in pw s.v. cāṭu, fo
citrikAra      -> citrIkAra      | {@citrikāra@}, see {@citrīkāra@}.
dahuka         -> dAhuka         | ? {@dahuka@}, so mss. of Divy 〔475.17〕 (ed. em. dakṣaka), [Page263-b] ep. of children, see {@taruṇaka@}. Prob. read dahara(ka), or dahraka, = next.
dardarA        -> dardara        | [{@dardarā@}, see {@dardurā@}.]
duHk           -> duHK           | {@duḥ-k-@}, see {@duṣ-k-@}.
dunduBikA      -> dunduBika      | {@-dundubhikā@}, see {@mukha-du˚@},
durAvagAha     -> duravagAha     | {@durāvagāha@}, adj. (for durava˚), {%hard to fathom%}: samudrakalpa … gambhīra-durāvagāhatvāt LV 〔424.11〕 (prose). See 〔§ 3.10〕. This is ignored by Weller 〔39〕
duzya          -> dUzya          | 1 {@duṣya@}, adj., {%evil%}, = Skt. dūṣya, which Senartʼs note would read by em.: ye 'duṣyadharmasaṃpannāḥ Mv 〔iii.320.12〕, {%who are not endowed with evil char
dvitiya        -> dvitIya        | {@dvitiya@}, adj. (cf. Pali dutiya, for Skt. dvitīya; 〔§ 3.41〕), {%second%}; rare and only m.c. in BHS (so also {@tṛtiya@}, q.v.); in many of the following case
dvyahika       -> dvyAhika       | {@dvyahika@}, see {@dvīhika@}.
ekotIBAva      -> ekotiBAva      | {@ekotī-bhāva, -bhūta@}, see {@ekoti˚@}.
fkta           -> fkTa           | {@ṛkta-@}, hyper-Skt. for rikta-, in tucchata ṛktato 'sārato Śāl 〔88.14〕, cited Śikṣ 〔227.6〕; ṛkta- LV 〔212.14〕 (prose); 〔214.8〕; and see {@riktamuṣṭi@}.
hAkkAra        -> hakkAra        | {@hākkāra@} = {@hakkāra@}, q.v., {%sound of admiration%} or {%applause%}: udānam udānayan ˚raṃ kurvan Gv 〔99.22〕 (prose), cited Śikṣ 〔36.11〕.
harzya         -> harzyA         | [{@harṣya@}, see {@saharṣya@}.]
hirI           -> hiri           | {@Hirī@}, see {@Hrī@}.
