# MW tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
350	sAkASa -> sakASa	[consensus,dict_vs_corpus,intra_dup]	
350	sTAvarA -> sTAvara	[consensus,dict_vs_corpus,intra_dup]	
350	salilA -> salila	[consensus,dict_vs_corpus,intra_dup]	
350	saman -> sAman	[consensus,dict_vs_corpus,intra_dup]	
350	sarvajYA -> sarvajYa	[consensus,dict_vs_corpus,intra_dup]	
350	sayujya -> sAyujya	[consensus,dict_vs_corpus,intra_dup]	
350	udvahA -> udvaha	[consensus,dict_vs_corpus,intra_dup]	
350	upA -> upa	[consensus,dict_vs_corpus,intra_dup]	
350	viSala -> viSAla	[consensus,dict_vs_corpus,intra_dup]	
350	vigrAha -> vigraha	[consensus,dict_vs_corpus,intra_dup]	
350	vijAna -> vijana	[consensus,dict_vs_corpus,intra_dup]	
350	vinDyA -> vinDya	[consensus,dict_vs_corpus,intra_dup]	
350	vitAnA -> vitAna	[consensus,dict_vs_corpus,intra_dup]	
350	yAzwi -> yazwi	[consensus,dict_vs_corpus,intra_dup]	
347	Aviz -> Avis	[consensus,dict_vs_corpus,intra_dup]	morph✓
347	haritakI -> harItakI	[consensus,dict_vs_corpus,intra_dup]	
347	kumAri -> kumArI	[consensus,dict_vs_corpus,intra_dup]	
347	mAdri -> mAdrI	[consensus,dict_vs_corpus,intra_dup]	
347	mOlI -> mOli	[consensus,dict_vs_corpus,intra_dup]	
347	mahipati -> mahIpati	[consensus,dict_vs_corpus,intra_dup]	
347	mahizi -> mahizI	[consensus,dict_vs_corpus,intra_dup]	
347	marIcI -> marIci	[consensus,dict_vs_corpus,intra_dup]	
347	nIvid -> nivid	[consensus,dict_vs_corpus,intra_dup]	
347	nirguRqi -> nirguRqI	[consensus,dict_vs_corpus,intra_dup]	
347	pAYcAli -> pAYcAlI	[consensus,dict_vs_corpus,intra_dup]	
347	suganDI -> suganDi	[consensus,dict_vs_corpus,intra_dup]	
345	valanA -> valana	[consensus,intra_dup,spell_correct]	morph✓
344	maDurI -> mADurI	[consensus,intra_dup,spell_correct]	morph✓
344	muka -> mUka	[consensus,dict_vs_corpus,intra_dup]	
344	praSad -> prasad	[consensus,dict_vs_corpus,intra_dup]	
344	tUlA -> tulA	[consensus,dict_vs_corpus,intra_dup]	
344	vinAsa -> vinASa	[consensus,dict_vs_corpus,intra_dup]	
343	DAyin -> dAyin	[consensus,dict_vs_corpus,intra_dup]	
342	Braja -> vraja	[consensus,dict_vs_corpus,intra_dup]	
342	avimAna -> aBimAna	[consensus,dict_vs_corpus,intra_dup]	
342	cattra -> Cattra	[consensus,dict_vs_corpus,intra_dup]	
342	gOpa -> gopa	[consensus,dict_vs_corpus,intra_dup]	
342	hiramya -> hiraRya	[consensus,dict_vs_corpus,intra_dup]	
342	kaRqa -> KaRqa	[consensus,dict_vs_corpus,intra_dup]	
342	nirbARa -> nirvARa	[consensus,dict_vs_corpus,intra_dup]	
334	sAkala -> SAkala	[consensus,dict_vs_corpus,intra_dup]	
332	Bazita -> Basita	[consensus,dict_vs_corpus,intra_dup]	
329	jIviteSA -> jIviteSa	[consensus,intra_dup,spell_correct]	
324	saMdeSaharA -> saMdeSahara	[consensus,intra_dup,spell_correct]	morph✓
316	quRQi -> QuRQi	[consensus,intra_dup,spell_correct]	morph✓
274	pArama -> parama	[consensus,intra_dup]	morph✓
274	rATa -> raTa	[consensus,intra_dup]	morph✓
274	smA -> sma	[consensus,intra_dup]	morph✓
274	yATA -> yaTA	[consensus,intra_dup]	morph✓
274	yaTa -> yaTA	[consensus,intra_dup]	morph✓
268	BUyaS -> BUyas	[consensus,intra_dup]	morph✓
268	SiraS -> Siras	[consensus,intra_dup]	morph✓
268	cakzuS -> cakzus	[consensus,intra_dup]	morph✓
268	payaS -> payas	[consensus,intra_dup]	morph✓
268	puMS -> puMs	[consensus,intra_dup]	morph✓
268	sarvataS -> sarvatas	[consensus,intra_dup]	morph✓
268	yaSaS -> yaSas	[consensus,intra_dup]	morph✓
266	Ayuz -> Ayus	[consensus,intra_dup]	morph✓
266	Bizaya -> vizaya	[consensus,intra_dup]	morph✓
266	Danuz -> Danus	[consensus,intra_dup]	morph✓
266	biza -> viza	[consensus,intra_dup]	morph✓
266	cakzuz -> cakzus	[consensus,intra_dup]	morph✓
266	hF -> hf	[consensus,intra_dup]	morph✓
266	sarpiz -> sarpis	[consensus,intra_dup]	morph✓
264	pAdavI -> padavI	[consensus,intra_dup]	morph✓
264	pAtnI -> patnI	[consensus,intra_dup]	morph✓
264	sAmAna -> samAna	[consensus,intra_dup]	morph✓
264	upAyuj -> upayuj	[consensus,intra_dup]	morph✓
261	nalini -> nalinI	[consensus,intra_dup]	morph✓
261	pariRi -> pariRI	[consensus,intra_dup]	morph✓
259	AjamI|a -> ajamI|a	[charset,intra_dup]	
259	BAvat -> Bavat	[consensus,intra_dup]	
259	BogA -> Boga	[consensus,intra_dup]	
259	gAja -> gaja	[consensus,intra_dup]	
259	hfdayA -> hfdaya	[consensus,intra_dup]	
259	kuSalA -> kuSala	[consensus,intra_dup]	
259	kzayA -> kzaya	[consensus,intra_dup]	
259	vedA -> veda	[consensus,intra_dup]	
258	CandaS -> Candas	[consensus,intra_dup]	morph✓
258	ayaS -> ayas	[consensus,intra_dup]	morph✓
258	bahiS -> bahis	[consensus,intra_dup]	morph✓
258	jyotiS -> jyotis	[consensus,intra_dup]	morph✓
258	medaS -> medas	[consensus,intra_dup]	morph✓
258	naBaS -> naBas	[consensus,intra_dup]	morph✓
258	prAyaS -> prAyas	[consensus,intra_dup]	morph✓
258	puraS -> puras	[consensus,intra_dup]	morph✓
258	sadyaS -> sadyas	[consensus,intra_dup]	morph✓
258	uBayataS -> uBayatas	[consensus,intra_dup]	morph✓
258	uraS -> uras	[consensus,intra_dup]	morph✓
258	vakzaS -> vakzas	[consensus,intra_dup]	morph✓
258	viSvataS -> viSvatas	[consensus,intra_dup]	morph✓
257	niraR -> niram	[dict_vs_corpus,intra_dup]	morph✓
257	viDvas -> vidvas	[consensus,intra_dup]	morph✓
257	vikfS -> vikfz	[dict_vs_corpus,intra_dup]	morph✓
256	SIrzaR -> SIrzan	[consensus,intra_dup]	morph✓
256	Sociz -> Socis	[consensus,intra_dup]	morph✓
256	Sonita -> SoRita	[consensus,intra_dup]	morph✓
256	bahiz -> bahis	[consensus,intra_dup]	morph✓
256	barhiz -> barhis	[consensus,intra_dup]	morph✓
256	bfhaw -> bfhat	[consensus,intra_dup]	morph✓
256	cIt -> cit	[consensus,intra_dup]	
256	haviz -> havis	[consensus,intra_dup]	morph✓
256	jyotiz -> jyotis	[consensus,intra_dup]	morph✓
256	munI -> muni	[consensus,intra_dup]	
256	pUzaR -> pUzan	[consensus,intra_dup]	morph✓
256	udBij -> udvij	[consensus,intra_dup]	morph✓
256	vapuz -> vapus	[consensus,intra_dup]	morph✓
256	vfzaR -> vfzan	[consensus,intra_dup]	morph✓
256	viDI -> viDi	[consensus,intra_dup]	
256	yajuz -> yajus	[consensus,intra_dup]	morph✓
255	Atapta -> atapta	[consensus,intra_dup]	morph✓
255	Sasitf -> SAsitf	[consensus,intra_dup]	morph✓
255	Svapaka -> SvapAka	[consensus,intra_dup]	morph✓
255	aBiKya -> aBiKyA	[consensus,intra_dup]	morph✓
255	acCAyA -> acCAya	[consensus,intra_dup]	morph✓
255	avat -> Avat	[consensus,intra_dup]	morph✓
255	cakraDAra -> cakraDara	[consensus,intra_dup]	morph✓
255	candramasa -> cAndramasa	[consensus,intra_dup]	morph✓
255	cawacawa -> cawacawA	[consensus,intra_dup]	morph✓
255	kalaya -> kalAya	[consensus,intra_dup]	morph✓
255	puYjikAsTalA -> puYjikasTalA	[consensus,intra_dup]	morph✓
254	ABUta -> aBUta	[consensus,intra_dup]	morph✓
254	Arakzita -> arakzita	[consensus,intra_dup]	morph✓
254	avAruh -> avaruh	[consensus,intra_dup]	morph✓
254	avAsic -> avasic	[consensus,intra_dup]	morph✓
254	mahitvanA -> mahitvana	[consensus,intra_dup]	morph✓
254	pravrAjita -> pravrajita	[consensus,intra_dup]	morph✓
254	raSana -> raSanA	[consensus,intra_dup]	morph✓
254	upAvah -> upavah	[consensus,intra_dup]	morph✓
252	ahina -> ahIna	[consensus,intra_dup]	morph✓
252	kandali -> kandalI	[consensus,intra_dup]	morph✓
252	nAndi -> nAndI	[consensus,intra_dup]	morph✓
252	tAmraparRi -> tAmraparRI	[consensus,intra_dup]	morph✓
252	tuvI -> tuvi	[consensus,intra_dup]	morph✓
252	vajri -> vajrI	[consensus,intra_dup]	morph✓
251	ASIr -> ASir	[consensus,intra_dup]	morph✓
251	SvEta -> Sveta	[consensus,intra_dup]	
251	atiSi -> atiSI	[consensus,intra_dup]	morph✓
251	kAna -> kAma	[consensus,intra_dup]	
251	parIdA -> paridA	[consensus,intra_dup]	morph✓
251	sAnasI -> sAnasi	[consensus,intra_dup]	morph✓
251	sarasi -> sarasI	[consensus,intra_dup]	morph✓
249	AlApA -> AlApa	[consensus,intra_dup]	
249	AtiTyA -> AtiTya	[consensus,intra_dup]	
249	AtreyA -> Atreya	[consensus,intra_dup]	
249	DUmA -> DUma	[consensus,intra_dup]	
249	PalakA -> Palaka	[consensus,intra_dup]	
249	SArvarI -> SarvarI	[consensus,intra_dup]	
249	SIrzA -> SIrza	[consensus,intra_dup]	
249	SamA -> Sama	[consensus,intra_dup]	
249	SinIvAlI -> sinIvAlI	[consensus,intra_dup]	morph✓
249	SvitrA -> Svitra	[consensus,intra_dup]	
249	akftA -> akfta	[consensus,intra_dup]	
249	ayuDa -> AyuDa	[consensus,intra_dup]	
249	caRqAlA -> caRqAla	[consensus,intra_dup]	
249	dUrA -> dUra	[consensus,intra_dup]	
249	darSanIyA -> darSanIya	[consensus,intra_dup]	
249	drumA -> druma	[consensus,intra_dup]	
249	durbalA -> durbala	[consensus,intra_dup]	
249	gAtrA -> gAtra	[consensus,intra_dup]	
249	gErikA -> gErika	[consensus,intra_dup]	
249	gozWA -> gozWa	[consensus,intra_dup]	
249	grIzmA -> grIzma	[consensus,intra_dup]	
249	hani -> hAni	[consensus,intra_dup]	
249	hradA -> hrada	[consensus,intra_dup]	
249	hutASanA -> hutASana	[consensus,intra_dup]	
249	jAtA -> jAta	[consensus,intra_dup]	
249	jagannATA -> jagannATa	[consensus,intra_dup]	
249	kUzmARqA -> kUzmARqa	[consensus,intra_dup]	
249	kaSyapA -> kaSyapa	[consensus,intra_dup]	
249	kaliNgA -> kaliNga	[consensus,intra_dup]	
249	kesarA -> kesara	[consensus,intra_dup]	
249	kevalA -> kevala	[consensus,intra_dup]	
249	kravyAdA -> kravyAda	[consensus,intra_dup]	
249	kuRqA -> kuRqa	[consensus,intra_dup]	
249	kulInA -> kulIna	[consensus,intra_dup]	
249	kzatA -> kzata	[consensus,intra_dup]	
249	kzetrajYA -> kzetrajYa	[consensus,intra_dup]	
249	layA -> laya	[consensus,intra_dup]	
249	mArutA -> mAruta	[consensus,intra_dup]	
249	mUkA -> mUka	[consensus,intra_dup]	
249	mahArasA -> mahArasa	[consensus,intra_dup]	
249	manoraTA -> manoraTa	[consensus,intra_dup]	
249	manujA -> manuja	[consensus,intra_dup]	
249	manvantarA -> manvantara	[consensus,intra_dup]	
249	nakulA -> nakula	[consensus,intra_dup]	
249	nayanA -> nayana	[consensus,intra_dup]	
249	nizkA -> nizka	[consensus,intra_dup]	
249	oMkArA -> oMkAra	[consensus,intra_dup]	
249	paryAyA -> paryAya	[consensus,intra_dup]	
249	plavaMgamA -> plavaMgama	[consensus,intra_dup]	
249	plavagA -> plavaga	[consensus,intra_dup]	
249	prAtiBA -> pratiBA	[consensus,intra_dup]	
249	prAyam -> prayam	[consensus,intra_dup]	
249	prUz -> pruz	[consensus,intra_dup]	morph✓
249	puraMdarA -> puraMdara	[consensus,intra_dup]	
249	rUpyA -> rUpya	[consensus,intra_dup]	
249	rakzaRA -> rakzaRa	[consensus,intra_dup]	
249	ramaRIyA -> ramaRIya	[consensus,intra_dup]	
249	rasnA -> rAsnA	[consensus,intra_dup]	
249	sOvarcalA -> sOvarcala	[consensus,intra_dup]	
249	sTura -> sTUra	[consensus,intra_dup]	morph✓
249	saMtozA -> saMtoza	[consensus,intra_dup]	
249	samUhA -> samUha	[consensus,intra_dup]	
249	somadattA -> somadatta	[consensus,intra_dup]	
249	sparSAna -> sparSana	[consensus,intra_dup]	
249	svarUpA -> svarUpa	[consensus,intra_dup]	
249	tAlA -> tAla	[consensus,intra_dup]	
249	talpA -> talpa	[consensus,intra_dup]	
249	tatparA -> tatpara	[consensus,intra_dup]	
249	ulbaRA -> ulbaRa	[consensus,intra_dup]	
249	vartulA -> vartula	[consensus,intra_dup]	
249	vfzARa -> vfzaRa	[consensus,intra_dup]	
249	vistarA -> vistara	[consensus,intra_dup]	
249	vittA -> vitta	[consensus,intra_dup]	
249	yakzA -> yakza	[consensus,intra_dup]	
248	ApaS -> Apas	[consensus,intra_dup]	morph✓
248	SvAvid -> SvAviD	[consensus,intra_dup]	morph✓
248	SvaDiti -> svaDiti	[consensus,intra_dup]	morph✓
248	paraS -> paras	[consensus,intra_dup]	morph✓
248	upavaD -> upavad	[consensus,intra_dup]	morph✓
248	vivaD -> vivad	[consensus,intra_dup]	morph✓
248	vyavadA -> vyavaDA	[consensus,intra_dup]	morph✓
247	BetAla -> vetAla	[consensus,intra_dup]	morph✓
247	SUrpanaKA -> SUrpaRaKA	[consensus,intra_dup]	morph✓
247	Saravana -> SaravaRa	[consensus,intra_dup]	morph✓
247	binda -> vinda	[consensus,intra_dup]	morph✓
247	daditTa -> daDitTa	[consensus,intra_dup]	morph✓
247	duHzparSa -> duHsparSa	[consensus,intra_dup]	morph✓
247	grAmIna -> grAmIRa	[consensus,intra_dup]	morph✓
247	kuwuka -> kutuka	[consensus,intra_dup]	morph✓
247	mfn -> mfR	[consensus,intra_dup]	morph✓
247	nimad -> ninad	[consensus,intra_dup]	morph✓
247	prAn -> prAR	[consensus,intra_dup]	morph✓
247	pragaR -> pragam	[consensus,intra_dup]	morph✓
247	prahAna -> prahARa	[consensus,intra_dup]	morph✓
247	sanad -> samad	[consensus,intra_dup]	morph✓
247	unmI -> unnI	[consensus,intra_dup]	morph✓
247	valasUdana -> balasUdana	[consensus,intra_dup]	morph✓
246	Amah -> Anah	[consensus,intra_dup]	morph✓
246	PalguRI -> PalgunI	[consensus,intra_dup]	morph✓
246	dEvatIrTa -> devatIrTa	[consensus,intra_dup]	morph✓
246	hvF -> hvf	[consensus,intra_dup]	morph✓
246	kakub -> kakuB	[consensus,intra_dup]	morph✓
246	sTf -> stf	[consensus,intra_dup]	morph✓
246	senAvindu -> senAbindu	[consensus,intra_dup]	morph✓
246	udaN -> udan	[consensus,intra_dup]	morph✓
246	vaDira -> baDira	[consensus,intra_dup]	morph✓
246	vastI -> vasti	[consensus,intra_dup]	
245	Atapas -> atapas	[consensus,intra_dup]	morph✓
245	AvartamAna -> avartamAna	[consensus,intra_dup]	morph✓
245	DanvA -> Danva	[consensus,intra_dup]	morph✓
245	aSvaya -> aSvayA	[consensus,intra_dup]	morph✓
245	kAzaRa -> kazaRa	[consensus,intra_dup]	morph✓
245	kftaSrAma -> kftaSrama	[consensus,intra_dup]	morph✓
245	magaDaka -> mAgaDaka	[consensus,intra_dup]	morph✓
245	niHSAs -> niHSas	[consensus,intra_dup]	morph✓
245	plIha -> plIhA	[consensus,intra_dup]	morph✓
245	stavAna -> stavana	[consensus,intra_dup]	morph✓
245	svAyamBU -> svayamBU	[consensus,intra_dup]	morph✓
245	varzarAtra -> varzArAtra	[consensus,intra_dup]	morph✓
245	vilApita -> vilapita	[consensus,intra_dup]	morph✓
244	SAradatilaka -> SAradAtilaka	[consensus,intra_dup]	morph✓
244	SaradAtilaka -> SAradAtilaka	[consensus,intra_dup]	morph✓
244	praBAvAt -> praBAvat	[consensus,intra_dup]	morph✓
244	praSAsta -> praSasta	[consensus,intra_dup]	morph✓
244	sampraharzaRA -> sampraharzaRa	[intra_dup,spell_correct]	morph✓
244	sukratUya -> sukratUyA	[consensus,intra_dup]	morph✓
244	uBA -> uBa	[consensus,intra_dup]	morph✓
244	udAj -> udaj	[consensus,intra_dup]	morph✓
244	vasUya -> vasUyA	[consensus,intra_dup]	morph✓
243	SampAta -> sampAta	[consensus,intra_dup]	
243	SanES -> SanEs	[consensus,intra_dup]	
242	SiKaRqi -> SiKaRqI	[consensus,intra_dup]	morph✓
242	anvADI -> anvADi	[consensus,intra_dup]	morph✓
242	cIvillikA -> civillikA	[consensus,intra_dup]	morph✓
242	samAkF -> samAkf	[dict_vs_corpus,intra_dup]	
241	BidaTa -> vidaTa	[consensus,intra_dup]	
241	ElA -> elA	[consensus,intra_dup]	
241	SamBara -> Sambara	[consensus,intra_dup]	
241	ftI -> fti	[consensus,intra_dup]	morph✓
241	kAzi -> kASi	[consensus,intra_dup]	
241	kaRwaki -> kaRwakI	[consensus,intra_dup]	morph✓
241	kzayadvira -> kzayadvIra	[consensus,intra_dup]	morph✓
241	sTava -> stava	[consensus,intra_dup]	
241	upaviz -> upaviS	[consensus,intra_dup]	
241	vfNga -> BfNga	[consensus,intra_dup]	
240	AlambA -> Alamba	[consensus,intra_dup]	
240	AliNganA -> AliNgana	[consensus,intra_dup]	
240	Apeya -> apeya	[consensus,intra_dup]	
240	AvArya -> avArya	[consensus,intra_dup]	
240	BAgavatI -> BagavatI	[consensus,intra_dup]	
240	BUmijA -> BUmija	[consensus,intra_dup]	
240	BagaDeya -> BAgaDeya	[consensus,intra_dup]	
240	DAnuzkA -> DAnuzka	[consensus,intra_dup]	
240	DruvakA -> Druvaka	[consensus,intra_dup]	
240	KARqaka -> KaRqaka	[consensus,intra_dup]	
240	KaYjA -> KaYja	[consensus,intra_dup]	
240	SatikA -> Satika	[consensus,intra_dup]	
240	SfNgArA -> SfNgAra	[consensus,intra_dup]	
240	SuktA -> Sukta	[consensus,intra_dup]	
240	akulA -> akula	[consensus,intra_dup]	
240	akzoByA -> akzoBya	[consensus,intra_dup]	
240	alAka -> alaka	[consensus,intra_dup]	
240	anUkA -> anUka	[consensus,intra_dup]	
240	anakadunduBi -> AnakadunduBi	[consensus,intra_dup]	
240	apapa -> apApa	[consensus,intra_dup]	
240	aprasUtA -> aprasUta	[consensus,intra_dup]	
240	avAlamba -> avalamba	[consensus,intra_dup]	
240	avaGozaRA -> avaGozaRa	[consensus,intra_dup]	
240	avapana -> Avapana	[consensus,intra_dup]	
240	avarya -> avArya	[consensus,intra_dup]	
240	avasAdanA -> avasAdana	[consensus,intra_dup]	
240	azWIla -> azWIlA	[consensus,intra_dup]	
240	azwakapAla -> azwAkapAla	[consensus,intra_dup]	
240	bArbara -> barbara	[consensus,intra_dup]	
240	baliSa -> bAliSa	[consensus,intra_dup]	
240	banDurA -> banDura	[consensus,intra_dup]	
240	brahmizWA -> brahmizWa	[consensus,intra_dup]	
240	cARqikA -> caRqikA	[consensus,intra_dup]	
240	cAtuzpaTa -> catuzpaTa	[consensus,intra_dup]	
240	caRqika -> caRqikA	[consensus,intra_dup]	
240	carATa -> caraTa	[consensus,intra_dup]	
240	caritrA -> caritra	[consensus,intra_dup]	
240	caturaNgA -> caturaNga	[consensus,intra_dup]	
240	cawulA -> cawula	[consensus,intra_dup]	
240	dAtta -> datta	[consensus,intra_dup]	
240	dEvajYA -> dEvajYa	[consensus,intra_dup]	
240	dIrGavfntA -> dIrGavfnta	[consensus,intra_dup]	
240	dattA -> datta	[consensus,intra_dup]	
240	dohA -> doha	[consensus,intra_dup]	
240	ekaSfNgA -> ekaSfNga	[consensus,intra_dup]	
240	ekalavyA -> ekalavya	[consensus,intra_dup]	
240	gaRqakA -> gaRqaka	[consensus,intra_dup]	
240	gargA -> garga	[consensus,intra_dup]	
240	hAhava -> hahava	[consensus,intra_dup]	
240	hayagrIvA -> hayagrIva	[consensus,intra_dup]	
240	jAlapada -> jAlapAda	[consensus,intra_dup]	
240	kalindI -> kAlindI	[consensus,intra_dup]	
240	karRaDArA -> karRaDAra	[consensus,intra_dup]	
240	kftAntA -> kftAnta	[consensus,intra_dup]	
240	kuSikA -> kuSika	[consensus,intra_dup]	
240	kuvalayA -> kuvalaya	[consensus,intra_dup]	
240	kvaTitA -> kvaTita	[consensus,intra_dup]	
240	lUta -> lUtA	[consensus,intra_dup]	
240	mahasena -> mahAsena	[consensus,intra_dup]	
240	manAna -> manana	[consensus,intra_dup]	
240	manota -> manotA	[consensus,intra_dup]	
