# PD tier-A correction candidates (unified engine) — score	wrong -> right	detectors	morph
355	anuyAtrA -> anuyAtra	[consensus,intra_dup,spell_correct]	morph✓
355	apakarzaRA -> apakarzaRa	[consensus,intra_dup,spell_correct]	morph✓
355	atitaram -> atitarAm	[consensus,intra_dup,spell_correct]	morph✓
355	awwahAsA -> awwahAsa	[consensus,intra_dup,spell_correct]	morph✓
354	aDISA -> aDISa	[consensus,intra_dup,spell_correct]	morph✓
354	aDISvarA -> aDISvara	[consensus,intra_dup,spell_correct]	morph✓
354	aDidevata -> aDidevatA	[consensus,intra_dup,spell_correct]	morph✓
354	aDyApanA -> aDyApana	[consensus,intra_dup,spell_correct]	morph✓
354	aDyarDA -> aDyarDa	[consensus,intra_dup,spell_correct]	morph✓
354	aKaRqA -> aKaRqa	[consensus,intra_dup,spell_correct]	morph✓
354	adAByA -> adABya	[consensus,intra_dup,spell_correct]	morph✓
354	adDa -> adDA	[consensus,intra_dup,spell_correct]	morph✓
354	adaRqA -> adaRqa	[consensus,intra_dup,spell_correct]	morph✓
354	advitIyA -> advitIya	[consensus,intra_dup,spell_correct]	morph✓
354	agamA -> agama	[consensus,intra_dup,spell_correct]	morph✓
354	agnikuRqA -> agnikuRqa	[consensus,intra_dup,spell_correct]	morph✓
354	agnimanTA -> agnimanTa	[consensus,intra_dup,spell_correct]	morph✓
354	agrAhyA -> agrAhya	[consensus,intra_dup,spell_correct]	morph✓
354	ajAna -> ajana	[consensus,intra_dup,spell_correct]	morph✓
354	ajAvikA -> ajAvika	[consensus,intra_dup,spell_correct]	morph✓
354	akalmazA -> akalmaza	[consensus,intra_dup,spell_correct]	morph✓
354	akrUrA -> akrUra	[consensus,intra_dup,spell_correct]	morph✓
354	akroDA -> akroDa	[consensus,intra_dup,spell_correct]	morph✓
354	anADyAya -> anaDyAya	[consensus,intra_dup,spell_correct]	morph✓
354	anAdiniDanA -> anAdiniDana	[consensus,intra_dup,spell_correct]	morph✓
354	anAgamin -> anAgAmin	[consensus,intra_dup,spell_correct]	morph✓
354	anAhatA -> anAhata	[consensus,intra_dup,spell_correct]	morph✓
354	anAvApta -> anavApta	[consensus,intra_dup,spell_correct]	morph✓
354	anDatAmisrA -> anDatAmisra	[consensus,intra_dup,spell_correct]	morph✓
354	anaSanA -> anaSana	[consensus,intra_dup,spell_correct]	morph✓
354	analpA -> analpa	[consensus,intra_dup,spell_correct]	morph✓
354	anasUyakA -> anasUyaka	[consensus,intra_dup,spell_correct]	morph✓
354	anavAra -> anavara	[consensus,intra_dup,spell_correct]	morph✓
354	anfRA -> anfRa	[consensus,intra_dup,spell_correct]	morph✓
354	antyajA -> antyaja	[consensus,intra_dup,spell_correct]	morph✓
354	anuSaMsA -> anuSaMsa	[consensus,intra_dup,spell_correct]	morph✓
354	anunAsikA -> anunAsika	[consensus,intra_dup,spell_correct]	morph✓
354	anurasA -> anurasa	[consensus,intra_dup,spell_correct]	morph✓
354	anuroDA -> anuroDa	[consensus,intra_dup,spell_correct]	morph✓
354	anusAraRa -> anusaraRa	[consensus,intra_dup,spell_correct]	morph✓
354	anusaMDa -> anusaMDA	[consensus,intra_dup,spell_correct]	morph✓
354	anuvaMSA -> anuvaMSa	[consensus,intra_dup,spell_correct]	morph✓
354	anuvindA -> anuvinda	[consensus,intra_dup,spell_correct]	morph✓
354	anuvratA -> anuvrata	[consensus,intra_dup,spell_correct]	morph✓
354	anvAsanA -> anvAsana	[consensus,intra_dup,spell_correct]	morph✓
354	anvasana -> anvAsana	[consensus,intra_dup,spell_correct]	morph✓
354	anyUnA -> anyUna	[consensus,intra_dup,spell_correct]	morph✓
354	anyadIyA -> anyadIya	[consensus,intra_dup,spell_correct]	morph✓
354	anyada -> anyadA	[consensus,intra_dup,spell_correct]	morph✓
354	atAla -> atala	[consensus,intra_dup,spell_correct]	morph✓
354	atikrAma -> atikrama	[consensus,intra_dup,spell_correct]	morph✓
354	atikrAmaRa -> atikramaRa	[consensus,intra_dup,spell_correct]	morph✓
354	atikramaRA -> atikramaRa	[consensus,intra_dup,spell_correct]	morph✓
354	atimuktakA -> atimuktaka	[consensus,intra_dup,spell_correct]	morph✓
354	atitIkzRA -> atitIkzRa	[consensus,intra_dup,spell_correct]	morph✓
354	ativfdDA -> ativfdDa	[consensus,intra_dup,spell_correct]	morph✓
354	atyA -> atya	[consensus,intra_dup,spell_correct]	morph✓
354	awwahasa -> awwahAsa	[consensus,intra_dup,spell_correct]	morph✓
354	awwalaka -> awwAlaka	[consensus,intra_dup,spell_correct]	morph✓
351	aMSumati -> aMSumatI	[consensus,intra_dup,spell_correct]	morph✓
351	akzarapaNktI -> akzarapaNkti	[consensus,intra_dup,spell_correct]	morph✓
351	anumatI -> anumati	[consensus,intra_dup,spell_correct]	morph✓
351	atIdeSa -> atideSa	[consensus,intra_dup,spell_correct]	morph✓
351	atIruc -> atiruc	[consensus,intra_dup,spell_correct]	morph✓
350	aDarmA -> aDarma	[consensus,dict_vs_corpus,intra_dup]	
350	ajirA -> ajira	[consensus,dict_vs_corpus,intra_dup]	
350	anucarA -> anucara	[consensus,dict_vs_corpus,intra_dup]	
349	anvAh -> anvah	[consensus,intra_dup,spell_correct]	
348	aDyasana -> aDyaSana	[consensus,intra_dup,spell_correct]	morph✓
348	akUla -> akula	[consensus,intra_dup,spell_correct]	morph✓
348	anAdfzwa -> anADfzwa	[consensus,intra_dup,spell_correct]	morph✓
348	anAdfzwi -> anADfzwi	[consensus,intra_dup,spell_correct]	morph✓
348	anUcita -> anucita	[consensus,intra_dup,spell_correct]	morph✓
348	anUkAra -> anukAra	[consensus,intra_dup,spell_correct]	morph✓
348	anUpama -> anupama	[consensus,intra_dup,spell_correct]	morph✓
348	anUvAka -> anuvAka	[consensus,intra_dup,spell_correct]	morph✓
348	anUvAkyA -> anuvAkyA	[consensus,intra_dup,spell_correct]	morph✓
347	aDAtf -> adAtf	[consensus,intra_dup,spell_correct]	morph✓
347	akaRqita -> aKaRqita	[consensus,intra_dup,spell_correct]	morph✓
347	akzoWa -> akzowa	[consensus,intra_dup,spell_correct]	morph✓
347	anekadA -> anekaDA	[consensus,intra_dup,spell_correct]	morph✓
347	anugAnin -> anugAmin	[consensus,intra_dup,spell_correct]	morph✓
347	anuveda -> anuveDa	[consensus,intra_dup,spell_correct]	morph✓
347	anyaDA -> anyadA	[consensus,intra_dup,spell_correct]	morph✓
346	aDirata -> aDiraTa	[consensus,intra_dup,spell_correct]	morph✓
346	aGAra -> agAra	[consensus,intra_dup,spell_correct]	morph✓
346	aRAdyanta -> anAdyanta	[consensus,intra_dup,spell_correct]	morph✓
346	aRaDikAra -> anaDikAra	[consensus,intra_dup,spell_correct]	morph✓
346	aRukalpa -> anukalpa	[consensus,intra_dup,spell_correct]	morph✓
346	aRupraveSa -> anupraveSa	[consensus,intra_dup,spell_correct]	morph✓
346	aRutpatti -> anutpatti	[consensus,intra_dup,spell_correct]	morph✓
346	aRuvAda -> anuvAda	[consensus,intra_dup,spell_correct]	morph✓
346	aRvarTa -> anvarTa	[consensus,intra_dup,spell_correct]	morph✓
346	ajekapAd -> ajEkapAd	[consensus,intra_dup,spell_correct]	morph✓
346	akaRqa -> aKaRqa	[consensus,intra_dup,spell_correct]	morph✓
346	anAramba -> anAramBa	[consensus,intra_dup,spell_correct]	morph✓
346	anIyas -> aRIyas	[consensus,intra_dup,spell_correct]	morph✓
346	anirBiRRa -> anirviRRa	[consensus,intra_dup,spell_correct]	morph✓
346	antarE -> antare	[consensus,intra_dup,spell_correct]	morph✓
346	anubinda -> anuvinda	[consensus,intra_dup,spell_correct]	morph✓
346	anugaRa -> anugama	[consensus,intra_dup,spell_correct]	morph✓
346	anumAsika -> anunAsika	[consensus,intra_dup,spell_correct]	morph✓
346	atirata -> atiraTa	[consensus,intra_dup,spell_correct]	morph✓
346	awya -> atya	[consensus,intra_dup,spell_correct]	morph✓
345	aDidAnta -> aDidanta	[consensus,intra_dup,spell_correct]	morph✓
345	aGfRA -> aGfRa	[consensus,intra_dup,spell_correct]	morph✓
345	akzasUtrA -> akzasUtra	[consensus,intra_dup,spell_correct]	morph✓
345	anABiBUta -> anaBiBUta	[consensus,intra_dup,spell_correct]	morph✓
345	anapAyA -> anapAya	[consensus,intra_dup,spell_correct]	morph✓
345	anuvAha -> anuvaha	[consensus,intra_dup,spell_correct]	morph✓
345	anvAyin -> anvayin	[consensus,intra_dup,spell_correct]	morph✓
344	aDAnya -> aDanya	[consensus,intra_dup,spell_correct]	morph✓
344	aDijihvA -> aDijihva	[consensus,intra_dup,spell_correct]	morph✓
344	aDyADIna -> aDyaDIna	[consensus,intra_dup,spell_correct]	morph✓
344	aMsaPalakA -> aMsaPalaka	[consensus,intra_dup,spell_correct]	morph✓
344	acaru -> acAru	[consensus,intra_dup,spell_correct]	morph✓
344	acezwA -> acezwa	[consensus,intra_dup,spell_correct]	morph✓
344	adayA -> adaya	[consensus,intra_dup,spell_correct]	morph✓
344	agUQaganDA -> agUQaganDa	[consensus,intra_dup,spell_correct]	morph✓
344	agnimuKA -> agnimuKa	[consensus,intra_dup,spell_correct]	morph✓
344	agnipraBa -> agnipraBA	[consensus,intra_dup,spell_correct]	morph✓
344	agnivallaBA -> agnivallaBa	[consensus,intra_dup,spell_correct]	morph✓
344	agragaRyA -> agragaRya	[consensus,intra_dup,spell_correct]	morph✓
344	ajApa -> ajapa	[consensus,intra_dup,spell_correct]	morph✓
344	ajArya -> ajarya	[consensus,intra_dup,spell_correct]	morph✓
344	akA -> aka	[consensus,intra_dup,spell_correct]	morph✓
344	akalaNkA -> akalaNka	[consensus,intra_dup,spell_correct]	morph✓
344	akfzwapacyA -> akfzwapacya	[consensus,intra_dup,spell_correct]	morph✓
344	akzAvapa -> akzAvApa	[consensus,intra_dup,spell_correct]	morph✓
344	anADizWita -> anaDizWita	[consensus,intra_dup,spell_correct]	morph✓
344	anAdeyA -> anAdeya	[consensus,intra_dup,spell_correct]	morph✓
344	anAgastva -> anAgAstva	[consensus,intra_dup,spell_correct]	morph✓
344	anAkza -> anakza	[consensus,intra_dup,spell_correct]	morph✓
344	anAparADin -> anaparADin	[consensus,intra_dup,spell_correct]	morph✓
344	anAyatA -> anAyata	[consensus,intra_dup,spell_correct]	morph✓
344	anDakAritA -> anDakArita	[consensus,intra_dup,spell_correct]	morph✓
344	anaMSA -> anaMSa	[consensus,intra_dup,spell_correct]	morph✓
344	anaYjanA -> anaYjana	[consensus,intra_dup,spell_correct]	morph✓
344	analapraBa -> analapraBA	[consensus,intra_dup,spell_correct]	morph✓
344	anantarAja -> anantaraja	[consensus,intra_dup,spell_correct]	morph✓
344	anantyA -> anantya	[consensus,intra_dup,spell_correct]	morph✓
344	ananuyAjA -> ananuyAja	[consensus,intra_dup,spell_correct]	morph✓
344	anapAkriyA -> anapakriyA	[consensus,intra_dup,spell_correct]	morph✓
344	animezA -> animeza	[consensus,intra_dup,spell_correct]	morph✓
344	antaScAra -> antaScara	[consensus,intra_dup,spell_correct]	morph✓
344	antaraBakta -> antarABakta	[consensus,intra_dup,spell_correct]	morph✓
344	antaragAra -> antarAgAra	[consensus,intra_dup,spell_correct]	morph✓
344	anuSrAva -> anuSrava	[consensus,intra_dup,spell_correct]	morph✓
344	anugrA -> anugra	[consensus,intra_dup,spell_correct]	morph✓
344	anujiGfkza -> anujiGfkzA	[consensus,intra_dup,spell_correct]	morph✓
344	anukampanA -> anukampana	[consensus,intra_dup,spell_correct]	morph✓
344	anunAdA -> anunAda	[consensus,intra_dup,spell_correct]	morph✓
344	anupAlaByamAna -> anupalaByamAna	[consensus,intra_dup,spell_correct]	morph✓
344	anupalamBanA -> anupalamBana	[consensus,intra_dup,spell_correct]	morph✓
344	anutpadya -> anutpAdya	[consensus,intra_dup,spell_correct]	morph✓
344	anuvakrA -> anuvakra	[consensus,intra_dup,spell_correct]	morph✓
344	anvADeyA -> anvADeya	[consensus,intra_dup,spell_correct]	morph✓
344	anyaTABava -> anyaTABAva	[consensus,intra_dup,spell_correct]	morph✓
344	anyadfS -> anyAdfS	[consensus,intra_dup,spell_correct]	morph✓
344	anyapUrva -> anyapUrvA	[consensus,intra_dup,spell_correct]	morph✓
344	anyapuzwA -> anyapuzwa	[consensus,intra_dup,spell_correct]	morph✓
344	apagamanA -> apagamana	[consensus,intra_dup,spell_correct]	morph✓
344	apakfzwA -> apakfzwa	[consensus,intra_dup,spell_correct]	morph✓
344	atiduHKitA -> atiduHKita	[consensus,intra_dup,spell_correct]	morph✓
344	atimoda -> atimodA	[consensus,intra_dup,spell_correct]	morph✓
344	atimuktA -> atimukta	[consensus,intra_dup,spell_correct]	morph✓
344	atisaMvatsara -> atisAMvatsara	[consensus,intra_dup,spell_correct]	morph✓
344	ativelA -> ativela	[consensus,intra_dup,spell_correct]	morph✓
344	atizWa -> atizWA	[consensus,intra_dup,spell_correct]	morph✓
344	atrapA -> atrapa	[consensus,intra_dup,spell_correct]	morph✓
344	atyahita -> atyAhita	[consensus,intra_dup,spell_correct]	morph✓
344	atyantaBAva -> atyantABAva	[consensus,intra_dup,spell_correct]	morph✓
344	awwAwwahAsA -> awwAwwahAsa	[consensus,intra_dup,spell_correct]	morph✓
343	anuSf -> anusf	[consensus,intra_dup,spell_correct]	
342	aRimARqavya -> aRImARqavya	[consensus,intra_dup,spell_correct]	morph✓
342	aRita -> amita	[consensus,dict_vs_corpus,spell_correct]	
342	ajavITi -> ajavITI	[consensus,intra_dup,spell_correct]	morph✓
341	aDIkfta -> aDikfta	[consensus,intra_dup,spell_correct]	morph✓
341	aDirohiRi -> aDirohiRI	[consensus,intra_dup,spell_correct]	morph✓
341	aDiyAna -> aDIyAna	[consensus,intra_dup,spell_correct]	morph✓
341	acIram -> aciram	[consensus,intra_dup,spell_correct]	morph✓
341	agnIBU -> agniBU	[consensus,intra_dup,spell_correct]	morph✓
341	anIna -> anina	[consensus,intra_dup,spell_correct]	morph✓
341	ananvIta -> ananvita	[consensus,intra_dup,spell_correct]	morph✓
341	antarDI -> antarDi	[consensus,intra_dup,spell_correct]	morph✓
341	antarIkzya -> antarikzya	[consensus,intra_dup,spell_correct]	morph✓
341	anukramaRi -> anukramaRI	[consensus,intra_dup,spell_correct]	morph✓
341	anusamI -> anusami	[consensus,intra_dup,spell_correct]	morph✓
341	atISeza -> atiSeza	[consensus,intra_dup,spell_correct]	morph✓
341	atijagati -> atijagatI	[consensus,intra_dup,spell_correct]	morph✓
339	akfzRA -> akfzRa	[consensus,intra_dup,spell_correct]	
339	akzU -> akzu	[consensus,intra_dup,spell_correct]	morph✓
339	anDU -> anDu	[consensus,intra_dup,spell_correct]	morph✓
339	anuSItam -> anusItam	[consensus,intra_dup,spell_correct]	morph✓
339	anulomapratilomA -> anulomapratiloma	[consensus,intra_dup,spell_correct]	
339	ativegA -> ativega	[consensus,intra_dup,spell_correct]	
338	aNkUrita -> aNkurita	[consensus,intra_dup,spell_correct]	morph✓
338	adASa -> adAsa	[consensus,intra_dup,spell_correct]	morph✓
338	anUpeta -> anupeta	[consensus,intra_dup,spell_correct]	morph✓
338	anUroha -> anuroha	[consensus,intra_dup,spell_correct]	morph✓
338	antarAMSa -> antarAMsa	[consensus,intra_dup,spell_correct]	morph✓
338	atyasana -> atyaSana	[consensus,intra_dup,spell_correct]	morph✓
337	adInatva -> aDInatva	[consensus,intra_dup,spell_correct]	morph✓
337	agnidAna -> agniDAna	[consensus,intra_dup,spell_correct]	morph✓
337	anADeya -> anAdeya	[consensus,intra_dup,spell_correct]	morph✓
337	anAlamBa -> anAlamba	[consensus,intra_dup,spell_correct]	morph✓
337	anavadAna -> anavaDAna	[consensus,intra_dup,spell_correct]	morph✓
337	aniDAna -> anidAna	[consensus,intra_dup,spell_correct]	morph✓
337	anurodana -> anuroDana	[consensus,intra_dup,spell_correct]	morph✓
337	anvAdi -> anvADi	[consensus,intra_dup,spell_correct]	morph✓
337	anyatABAva -> anyaTABAva	[consensus,intra_dup,spell_correct]	morph✓
336	aDigaRana -> aDigamana	[consensus,intra_dup,spell_correct]	morph✓
336	aGaja -> agaja	[consensus,intra_dup,spell_correct]	morph✓
336	aGu -> agu	[consensus,intra_dup,spell_correct]	morph✓
336	aKa -> aka	[consensus,intra_dup,spell_correct]	morph✓
336	aNgasaNGa -> aNgasaNga	[consensus,intra_dup,spell_correct]	morph✓
336	aNkaRa -> aNkana	[consensus,intra_dup,spell_correct]	morph✓
336	aRaMSa -> anaMSa	[consensus,intra_dup,spell_correct]	morph✓
336	aRudeSa -> anudeSa	[consensus,intra_dup,spell_correct]	morph✓
336	aRumArga -> anumArga	[consensus,intra_dup,spell_correct]	morph✓
336	aRurUpatas -> anurUpatas	[consensus,intra_dup,spell_correct]	morph✓
336	aRuvacana -> anuvacana	[consensus,intra_dup,spell_correct]	morph✓
336	aTanu -> atanu	[consensus,intra_dup,spell_correct]	morph✓
336	agrasTa -> agrasta	[consensus,intra_dup,spell_correct]	morph✓
336	agreya -> aGreya	[consensus,intra_dup,spell_correct]	morph✓
336	akzipaT -> akzipat	[consensus,intra_dup,spell_correct]	morph✓
336	akzoda -> akzoqa	[consensus,intra_dup,spell_correct]	morph✓
336	anEkAntavAda -> anekAntavAda	[consensus,intra_dup,spell_correct]	morph✓
336	anEkAntavAdin -> anekAntavAdin	[consensus,intra_dup,spell_correct]	morph✓
336	antaryARa -> antaryAma	[consensus,intra_dup,spell_correct]	morph✓
336	anupari -> anuparI	[consensus,intra_dup,spell_correct]	
336	anuvyan -> anuvyam	[consensus,intra_dup,spell_correct]	morph✓
336	apakFt -> apakft	[consensus,intra_dup,spell_correct]	morph✓
336	atiSaNKA -> atiSaNkA	[consensus,intra_dup,spell_correct]	morph✓
336	atiSita -> atiSIta	[consensus,intra_dup,spell_correct]	
336	atyaDvam -> atyaDvan	[consensus,intra_dup,spell_correct]	morph✓
335	aNgirA -> aNgira	[consensus,intra_dup,spell_correct]	morph✓
335	ajitabala -> ajitabalA	[consensus,intra_dup,spell_correct]	morph✓
335	anAkara -> anAkAra	[consensus,intra_dup,spell_correct]	morph✓
335	anapasAra -> anapasara	[consensus,intra_dup,spell_correct]	morph✓
334	aDyaRqa -> aDyaRqA	[consensus,intra_dup,spell_correct]	morph✓
334	aGahara -> aGahAra	[consensus,intra_dup,spell_correct]	morph✓
334	aGozA -> aGoza	[consensus,intra_dup,spell_correct]	morph✓
334	aKaRqanA -> aKaRqana	[consensus,intra_dup,spell_correct]	morph✓
334	aMSaprakalpana -> aMSaprakalpanA	[consensus,intra_dup,spell_correct]	morph✓
334	aYjanavatI -> aYjanAvatI	[consensus,intra_dup,spell_correct]	morph✓
334	adaridrA -> adaridra	[consensus,intra_dup,spell_correct]	morph✓
334	adrikIla -> adrikIlA	[consensus,intra_dup,spell_correct]	morph✓
334	aduzwAtva -> aduzwatva	[consensus,intra_dup,spell_correct]	morph✓
334	agamyagamanIya -> agamyAgamanIya	[consensus,intra_dup,spell_correct]	morph✓
334	agnicitya -> agnicityA	[consensus,intra_dup,spell_correct]	morph✓
334	ajaBakzA -> ajaBakza	[consensus,intra_dup,spell_correct]	morph✓
334	ajanyA -> ajanya	[consensus,intra_dup,spell_correct]	morph✓
334	ajarAyu -> ajarayu	[consensus,intra_dup,spell_correct]	morph✓
334	aklamA -> aklama	[consensus,intra_dup,spell_correct]	morph✓
334	akzAtra -> akzatra	[consensus,intra_dup,spell_correct]	morph✓
334	akzitavasu -> akzitAvasu	[consensus,intra_dup,spell_correct]	morph✓
334	anAli -> anali	[consensus,intra_dup,spell_correct]	morph✓
334	anakAra -> anAkAra	[consensus,intra_dup,spell_correct]	morph✓
334	anantapara -> anantapAra	[consensus,intra_dup,spell_correct]	morph✓
334	ananuBUti -> anAnuBUti	[consensus,intra_dup,spell_correct]	morph✓
334	anavagrAha -> anavagraha	[consensus,intra_dup,spell_correct]	morph✓
334	andukA -> anduka	[consensus,intra_dup,spell_correct]	morph✓
334	anityasamA -> anityasama	[consensus,intra_dup,spell_correct]	morph✓
334	antarAsTa -> antarasTa	[consensus,intra_dup,spell_correct]	morph✓
334	antarikzacAra -> antarikzacara	[consensus,intra_dup,spell_correct]	morph✓
334	antaryA -> antarya	[consensus,intra_dup,spell_correct]	morph✓
334	antisumnA -> antisumna	[consensus,intra_dup,spell_correct]	morph✓
334	anupalabDisamA -> anupalabDisama	[consensus,intra_dup,spell_correct]	morph✓
334	anusama -> anusAma	[consensus,intra_dup,spell_correct]	morph✓
334	anutpattisamA -> anutpattisama	[consensus,intra_dup,spell_correct]	morph✓
334	anyABAva -> anyaBAva	[consensus,intra_dup,spell_correct]	morph✓
334	anyaBava -> anyaBAva	[consensus,intra_dup,spell_correct]	morph✓
334	anyaTAsidDA -> anyaTAsidDa	[consensus,intra_dup,spell_correct]	morph✓
334	apakrAntA -> apakrAnta	[consensus,intra_dup,spell_correct]	morph✓
334	apakriya -> apakriyA	[consensus,intra_dup,spell_correct]	morph✓
334	atipattrA -> atipattra	[consensus,intra_dup,spell_correct]	morph✓
334	ativESasA -> ativESasa	[consensus,intra_dup,spell_correct]	morph✓
334	ativyaTa -> ativyaTA	[consensus,intra_dup,spell_correct]	morph✓
333	ajUrya -> ajurya	[consensus,intra_dup,spell_correct]	
333	anuvaS -> anuvas	[consensus,intra_dup,spell_correct]	
332	anuviD -> anuvid	[consensus,intra_dup,spell_correct]	
331	aDImanTana -> aDimanTana	[consensus,intra_dup,spell_correct]	morph✓
